band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,KCBR,90.7,FAIRBANKS,AK,,64.87872222222222,148.05630555555555,C1,,,"CHRISTIAN BROADCASTING, INC.",10.0,479.0,,,,,,,,765200.0
FM,KCGV,93.3,PALMER,AK,,61.61372222222222,149.01638888888888,D,,,"VOICE FOR CHRIST MINISTRIES, INC.",0.09,-90.0,,,,,,,,761557.0
FM,KCHU-FM,91.3,VALDEZ,AK,,61.13041666666667,146.35227777777777,A,VARIETY,,"TERMINAL RADIO, INC.",1.0,-512.0,,,,,,,,764670.0
FM,KFAQ,97.7,WASILLA,AK,,61.60330555555556,149.4488611111111,D,,,MATSU HOPE RADIO,0.099,-13.0,,,,,,,,777952.0
FM,KGAA,91.3,GLENNALLEN,AK,,62.10763888888889,145.85827777777777,A,,,ADVENTIST RADIO ALASKA CORPORATION,2.9,66.0,,,,,,,,765992.0
FM,KJLK,89.9,SOLDOTNA,AK,,60.508805555555554,150.91294444444446,A,,,"CHRISTIAN BROADCASTING, INC.",5.0,59.0,,,,,,,,765211.0
FM,KKON,91.9,GALENA,AK,,64.74080555555555,156.87602777777778,D,,,BIG RIVER PUBLIC BROADCASTING CORPORATION,0.09,11.0,,,,,,,,776126.0
FM,KKQA,88.1,AKUTAN,AK,,54.135,165.7727777777778,D,VARIETY,,"ALEUTIAN PENINSULA BROADCASTING, INC.",0.09,-102.0,,,,,,,,757242.0
FM,KLIU,89.9,UNALAKLEET,AK,,63.87222222222222,160.7905,A,,,,0.4,-24.0,,,,,,,,766787.0
FM,KLMC-LP,102.5,WASILLA,AK,,61.582055555555556,149.48999999999998,LP100,RELIGIOUS,,LIFE MINISTRY INTERNATIONAL,0.1,10.0,,,,,,,,779267.0
FM,KPOL,91.3,DILLINGHAM,AK,,59.04277777777778,158.49138888888888,A,,,,1.0,34.0,,,,,,,,767691.0
FM,KPWI,94.9,CRAIG,AK,,55.47669444444445,133.1481111111111,D,,,,0.09,-86.0,,,,,,,,775237.0
FM,KRAK,102.1,ANCHORAGE,AK,,61.11944444444445,149.8974722222222,C3,CLASSIC HITS,OLDIES 102.1,OMG FCC LICENSES LLC,23.0,25.0,,,,,,,,28647.0
FM,KSUV,91.5,TALKEETNA,AK,,62.325583333333334,150.03233333333336,A,,,ALASKA ADVENTIST RADIO NETWORK,0.15,-34.0,,,,,,,,764847.0
FM,KTUY,101.7,TOGIAK,AK,,59.05638888888888,160.38305555555556,D,,,,0.09,-33.0,,,,,,,,761866.0
FM,KVGR,94.3,KIANA,AK,,66.97525,160.42583333333332,D,,,"VISIONALASKA, INC., ALASKA BRETHREN MINISTRIES",0.099,0.0,,,,,,,,777549.0
FM,KXAK,99.3,FAIRBANKS,AK,,64.85858333333333,147.8923888888889,D,,,,0.099,-50.0,,,,,,,,789564.0
FM,KZGR,94.3,KOTZEBUE,AK,,66.89819444444446,162.59955555555555,D,,,,0.099,3.0,,,,,,,,791787.0
FM,K201AG,88.1,NUIQSUT,AK,,70.21383333333334,150.99058333333332,D,VARIETY/NEWS/TALK,TOP OF THE WORLD RADIO,"SILAKKUAGVIK COMMUNICATIONS, INC.",0.2,,,,,,,,,60379.0
FM,K201AH,88.1,KAKTOVIK,AK,,70.12647222222222,143.62166666666667,D,VARIETY/NEWS/TALK,TOP OF THE WORLD RADIO,"SILAKKUAGVIK COMMUNICATIONS, INC.",0.039,,,,,,,,,60378.0
FM,K201AL,88.1,PORT PROTECTION,AK,,56.320750000000004,133.02919444444447,D,NEWS/VARIETY,KFSK ALASKA RADIO,NARROWS BROADCASTING CORPORATION,0.054,,,,,,,,,47412.0
FM,K201AM,88.1,GUSTAVUS,AK,,58.41741666666666,135.71013888888888,D,NEWS/TALK,LIVE AND LOCAL,KTOO PUBLIC MEDIA,0.051,,,,,,,,,8654.0
FM,K201AO,88.1,SEWARD,AK,,60.10275,149.43880555555555,D,NEWS/TALK/JAZZ,ALASKA PUBLIC MEDIA,"PUFFIN PUBLIC BROADCASTING, INC.",0.049,,,,,,,,,53867.0
