band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W209CU,89.7,HUNTSVILLE,AL,,34.68055555555555,86.51527777777778,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.01,,,,,,,,,92936.0
FM,W212CR,90.3,FORT PAYNE,AL,,34.39775,85.74502777777778,D,Contemporary Christian,THE MESSAGE,"IMMANUEL BROADCASTING NETWORK, INC.",0.01,204.0,,,,,,,,92631.0
FM,W217CM,91.3,EUFAULA,AL,,31.90861111111111,85.16416666666667,D,Religious Teaching,FAITH RADIO,"FAITH BROADCASTING, INC.",0.027,94.0,,,,,,,,76475.0
FM,W236DX,95.1,CENTREVILLE,AL,,33.16277777777778,86.87666666666667,D,Regional Mexican,WBIB RADIO,International J A D E Group Inc,0.04,,,,,,,,,201413.0
FM,W251DE,98.1,OZARK,AL,,31.30063888888889,85.58452777777778,D,Urban AC,THE BIG KD,"Autaugaville Radio, Inc.",0.25,,,,,,,,,201294.0
FM,W266DZ,101.1,TALLASSEE,AL,,32.55961111111111,85.9225,D,Sports/Talk,1300 WTLS TALLASSEE,"MICHAEL BUTLER BROADCASTING, LLC",0.25,,,,,,,,,141195.0
FM,W280GD,103.9,SCOTTSBORO,AL,,34.71177777777778,85.88058333333332,D,News/Talk/Classical,YOUR NPR NEWS STATION,"SCOTTSBORO BROADCASTING CO., INC.",0.25,,,,,,,,,151327.0
FM,W295BB,106.9,SPANISH FORT,AL,,30.679444444444446,87.83999999999999,D,Southern Gospel,WLPR 960 AM,"GOFORTH MEDIA, INC.",0.099,,,,,,,,,151023.0
FM,W300EK,107.9,FLORENCE,AL,,34.69277777777778,87.79694444444445,D,Urban Contemporary,SOUL OF THE SHOALS,,0.25,51.9,,,,,,,,146208.0
FM,WADA-LP,103.1,DOTHAN,AL,,31.224444444444444,85.39833333333334,LP100,Contemporary Christian,ARK RADIO,Ark Dothan Inc.,0.1,30.0,,,,,,,,786505.0
FM,WAOJ,107.7,LISMAN,AL,,32.09097222222223,88.23252777777778,A,Urban AC,"MORE THAN MUSIC, WHAT RADIO SHOULD BE","The Augustus Foundation, Inc.",6.0,100.0,,,,,,,,82197.0
FM,WDAB,100.5,SLOCOMB,AL,,31.192666666666668,85.4118888888889,C3,Rock,100.5 THE BEAR,"Kensington Digital Media of Alabama, L.L.C.",10.0,132.3,,,,,,,,60591.0
FM,WDND-LP,101.7,HUNTSVILLE,AL,,34.725833333333334,86.65472222222223,LP100,Variety,,Alabama School of Cyber Technology and Engineering,0.1,3.0,,,,,,,,778352.0
FM,WDZK-LP,106.7,PRICEVILLE,AL,,34.51244444444445,86.848,LP100,,,Emmanuel Charismatic Episcopal Church,0.01,93.0,,,,,,,,784995.0
FM,WERH,90.1,HAMILTON,AL,,34.11269444444444,88.02347222222222,C3,,,"BIG SOUTH COMMUNITY BROADCASTING, INC.",6.5,75.0,,,,,,,,768230.0
FM,WHGR,91.5,HURTSBORO,AL,,32.21991666666667,85.52630555555555,A,,,Uchee Pines Institute,3.0,50.0,,,,,,,,764892.0
FM,WIAR-LP,92.7,FORT PAYNE,AL,,34.436388888888885,85.72194444444445,LP100,Religious,,"CPC OF THE WMM-FORT PAYNE, AL-ONE, INC.",0.1,-70.0,,,,,,,,788128.0
FM,WIJL,100.1,ANNISTON,AL,,33.6815,85.81580555555556,C3,Religious Teaching,,"Elijah Radio, Inc.",5.4,216.0,,,,,,,,184996.0
FM,WKYD,106.3,MAPLESVILLE,AL,,32.73244722222223,86.84361666666666,A,,,WKLF LLC,1.5,58.0,,,,,,,,762462.0
FM,WLBJ,93.5,BUTLER,AL,,32.15736111111111,88.48808333333334,C2,Contemporary Christian,K-LOVE,"K-LOVE, Inc.",32.0,186.0,,,,,,,,7903.0
FM,WLDQ,102.5,DOTHAN,AL,,31.192666666666668,85.4118888888889,C3,Classic Hits,102.5 THE Q,"Kensington Digital Media of Alabama, L.L.C.",10.0,132.3,,,,,,,,6891.0
FM,WLGO,90.1,SAWYERVILLE,AL,,32.70794444444445,87.70986111111111,C2,Religious,NAPS RADIO,,30.0,79.0,,,,,,,,767542.0
FM,WLJL,91.7,LINCOLN,AL,,33.462611111111116,86.12374999999999,A,,,,0.155,248.0,,,,,,,,764082.0
FM,WQJL,90.5,ELKMONT,AL,,34.87,87.16677777777778,C3,,,"Elijah Radio, Inc.",17.5,104.0,,,,,,,,765751.0
FM,WSHF,92.7,HALEYVILLE,AL,,34.23341666666667,87.62555555555555,A,Adult Contemporary,PARADISE 92.7,"Haleyville Broadcasting Company, LLC",3.9,73.0,,,,,,,,25851.0
FM,WVEQ-LP,98.7,Lanett,AL,,32.87388888888889,85.18611111111112,LP100,,,West Point Praise LLC,0.1,-14.0,,,,,,,,785330.0
FM,WXKI-LP,100.7,BATTLEGROUND,AL,,34.29833333333333,87.01555555555555,LP100,Country,X-101,North Alabama Community Broadcasting,0.008,104.0,,,,,,,,784759.0
FM,WYLS,104.9,YORK,AL,,32.28180555555556,88.25638888888889,C2,Sports,FOX SPORTS,"GRANTELL BROADCASTING, LLC",50.0,150.0,,,,,,,,24820.0
FM,WZJL,91.7,DALEVILLE,AL,,31.570527777777777,85.75247222222222,C3,Religious Teaching,ELIJAH  RADIO,,6.4,142.0,,,,,,,,764081.0
FM,WVMB-LP,107.9,MADISON,AL,,34.73361111111111,86.7286111111111,LP100,,,,0.003,164.0,Huntsville,104.0,"538,200",,,,,784803.0
FM,KRLE,89.7,CARBON HILL,AL,,34.033722222222224,87.6133611111111,C1,Contemporary Christian,K-LOVE,"K-LOVE, Inc.",79.0,154.0,,,,,,,,91901.0
FM,W203DJ,88.5,RAINBOW MOUNTAIN HTS,AL,,34.735083333333336,86.72888888888889,D,Contemporary Christian,AMERICAN FAMILY RADIO,AMERICAN FAMILY ASSOCIATION,0.01,156.9,Huntsville,104.0,"538,200",,,,,93976.0
FM,W205BX,88.9,EUFAULA,AL,,31.933777777777777,85.20605555555557,D,Religious Teaching,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.013,117.0,,,,,,,,122238.0
FM,W209CN,89.7,ANDALUSIA,AL,,31.302666666666667,86.52525,D,Religious Teaching,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.019,76.7,,,,,,,,93630.0
