band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K208GP,89.5,HOT SPRINGS,AR,,34.40383333333333,93.12124999999999,D,Religious Teaching,RADIO BY GRACE,"COMMUNITY BROADCASTING, INC.",0.028,,,,,,,,,92408.0
FM,K276CO,103.1,FAYETTEVILLE,AR,,36.14722222222222,94.18722222222223,D,Spanish Hits Baladas,LA MAXXIMA,THE BAKER FAMILY TRUST,0.14,,,,,,,,,22406.0
FM,K294DP,106.7,WALNUT RIDGE,AR,,35.95388888888889,90.69472222222223,D,Oldies,OLDIES 1320,"EAST ARKANSAS BROADCASTERS OF JONESBORO, LLC",0.21,66.8,,,,,,,,142879.0
FM,K281DJ,104.1,BENTON,AR,,34.5075,92.54694444444445,D,Sports,FOX SPORTS RADIO ARKANSAS,"High Plains Radio Network, LLC, Debtor in Possession",0.25,,,,,,,,,150843.0
FM,K294DM,106.7,FORT SMITH,AR,,35.35438888888889,94.43169444444445,D,Country,RED DIRT 96.7,"M&M Media, LLC",0.25,,,,,,,,,148870.0
FM,KARH,104.3,FOUKE,AR,,33.35152777777778,93.84491666666666,A,Contemporary Christian,AIR1,"K-LOVE, INC.",5.0,110.0,,,,,,,,87570.0
FM,KAWX-LP,93.1,Mena,AR,,34.59291666666667,94.24152777777778,LP100,Religious,,"Community Radio, Inc.",0.1,29.0,,,,,,,,785620.0
FM,KCVL-FM,91.9,CLARKSVILLE,AR,,35.458444444444446,93.49213888888889,A,,,"Community Broadcasting, Inc.",6.0,24.0,,,,,,,,767530.0
FM,KDCY,89.1,EUDORA,AR,,33.103944444444444,91.26641666666667,A,,,Environmental Education Center for Conservation of Natural Resources,1.5,42.0,,,,,,,,763544.0
FM,KERL,103.9,EARLE,AR,,35.450361111111114,90.70316666666668,C3,Classic Rock,ROCK 104,Bobby D. Caldwell Revocable Trust,12.5,143.0,,,,,,,,78214.0
FM,KEUD,89.9,EUDORA,AR,,33.10941666666667,91.26022222222223,C2,,,Labor Neighbor Research & Training Center,50.0,52.0,,,,,,,,766248.0
FM,KFFH-LP,93.7,NORTH LITTLE ROCK,AR,,34.76801944444444,92.35073055555554,LP100,Gospel Music,THE SOUND OF THE LAMB,,0.013,80.0,,,,,,,,788545.0
FM,KGPW,91.9,CADDO VALLEY,AR,,34.352583333333335,93.15711111111112,C3,,,"Ouachita Ministries, Inc.",4.8,233.0,,,,,,,,767676.0
FM,KIJA,88.5,SULPHUR SPRINGS,AR,,36.448055555555555,94.49305555555556,C3,,,"Gentry Communications Network, Inc",4.2,151.0,,,,,,,,768016.0
FM,KMVM,106.9,CLARKSVILLE,AR,,35.551944444444445,93.40944444444445,A,Country,106.9 THE MAVERICK,"EAB OF CLARKSVILLE, LLC",6.0,34.0,,,,,,,,29496.0
FM,KOJC-LP,97.1,SPRINGDALE,AR,,36.18,94.08611111111111,LP100,Religious,,,0.012,87.0,,,,,,,,785906.0
FM,KOSE-FM,107.3,OSCEOLA,AR,,35.76647222222222,89.92869444444445,A,Unknown,,Bobby D. Caldwell Revocable Trust,1.6,102.0,,,,,,,,52904.0
