band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K206EX,89.1,SAFFORD,AZ,,32.64980555555555,109.84880555555556,D,CLASSICAL,CLASSICAL 90.5,ARIZONA BOARD OF REGENTS FOR BENEFIT OF UNIVERSITY OF ARIZ.,0.051,1298.0,,,,,,,,3384.0
FM,K215FW,90.9,TUCSON,AZ,,32.21405555555556,111.00577777777778,D,CLASSICAL,CLASSICAL 90.5,ARIZONA BOARD OF REGENTS FOR BENEFIT OF UNIVERSITY OF ARIZ.,0.25,172.0,,,,,,,,2726.0
FM,K211GH,90.1,CAMP VERDE,AZ,,34.469277777777776,111.87522222222222,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,701.0,,,,,,,,86642.0
FM,K226DC,93.1,WICKENBURG,AZ,,34.49001388888889,112.53373055555555,D,CONTEMPORARY CHRISTIAN,K-LOVE,CATZ & DAWGZ,0.155,,,,,,,,,141164.0
FM,K262DP,100.3,PRESCOTT,AZ,,34.49005555555556,112.53388888888888,D,ADULT HITS,94.7 JACK FM,"ITM, LLC",0.2,,,,,,,,,145014.0
FM,K277DW,103.3,CORONA DE TUCSON,AZ,,31.927583333333335,110.6331111111111,D,OLDIES,,DESERT WEST AIR RANCHERS CORPORATION,0.25,117.0,,,,,,,,157329.0
FM,K258DY,99.5,LAKE HAVASU CITY,AZ,,34.55,114.19466666666668,D,COUNTRY,NASH 102.3,,0.16,,,,,,,,,38312.0
FM,K258DX,99.5,PAGE,AZ,,37.010222222222225,111.68086111111111,D,COUNTRY,KIX 98.3,"SOUTHWEST BROADCASTING, LLC",0.25,,,,,,,,,40853.0
FM,K278DE,103.5,TAYLOR,AZ,,34.206138888888894,109.94286111111111,D,CONTEMPORARY HIT RADIO,103.5 THE VIBE,NEW STAR BROADCASTING LLC,0.25,,,,,,,,,201056.0
FM,K281DK,104.1,LAKE HAVASU CITY,AZ,,34.55138888888889,114.1943888888889,D,CLASSIC ROCK,LUCKY 98,TOWER COMMUNICATIONS,0.25,815.7,,,,,,,,67363.0
FM,K289CU,105.7,LAKE HAVASU CITY,AZ,,34.486111111111114,114.21966666666667,D,CLASSIC HITS,KRAZY FM,"AIRCRAFT STORAGE SOLUTIONS, LLC",0.25,,,,,,,,,156808.0
FM,K298DI,107.5,KINGMAN,AZ,,35.11138888888889,113.88633333333334,D,CLASSIC ROCK,LUCKY 98,"CAMERON BROADCASTING, INC.",0.099,1083.0,,,,,,,,9036.0
FM,KAWQ,90.1,QUARTZSITE,AZ,,33.57,114.35,C2,,,ARIZONA WESTERN COLLEGE,0.45,673.0,,,,,,,,766433.0
FM,KDHH,89.5,KAIBITO,AZ,,36.35861111111111,111.20269444444445,C2,RELIGION/TALK,,"GOOD NEWS BROADCASTING NETWORK, INC.",6.2,333.0,,,,,,,,768197.0
FM,KDHP,91.9,PINON,AZ,,36.352222222222224,109.83311111111111,C1,,,"GOOD NEWS BROADCASTING NETWORK, INC.",16.0,527.0,,,,,,,,768196.0
FM,KDHQ-LP,99.5,GILBERT,AZ,,33.30475,111.77891666666666,LP100,,,ARIZONA CATHOLIC RADIO INC,0.1,26.0,,,,,,,,786250.0
FM,KDXU-FM,106.1,COLORADO CITY,AZ,,37.09469444444445,113.18577777777779,C1,NEWS/TALK,NEWS TALK 106.1,"TOWNSQUARE LICENSE, LLC",35.0,347.0,,,,,,,,69623.0
FM,KFUE,106.7,BUCKEYE,AZ,,33.45027777777778,112.59944444444444,A,REGIONAL MEXICAN,RADIO LA SUAVECITA,"ENTRAVISION HOLDINGS, LLC",6.0,93.0,,,,,,,,2750.0
FM,KHTO,92.5,WILLCOX,AZ,,32.26705555555556,109.8338611111111,C3,VARIETY,,APACHE LEAP MEDIA,12.0,10.0,,,,,,,,184846.0
FM,KIZY,91.5,FORTUNA FOOTHILLS,AZ,,32.652027777777775,114.3993888888889,A,,,ACTIVIST SAN DIEGO,0.1,0.0,,,,,,,,768413.0
FM,KJXL-FM,94.7,BLUE RIDGE,AZ,,34.96888888888889,111.50861111111111,C1,VARIETY HITS,94.7 JACK FM,,10.0,446.0,,,,,,,,762491.0
FM,KLMN-LP,106.9,MOUNT LEMMON,AZ,,32.44222222222222,110.75472222222223,LP100,,,MOUNT LEMMON RADIO CLUB,0.001,878.0,,,,,,,,779170.0
FM,KLPZ,90.7,SALOME,AZ,,33.759972222222224,113.65188888888889,A,,,,2.5,11.0,,,,,,,,766539.0
FM,KODD,90.9,BULLHEAD CITY,AZ,,35.24675,114.74375,C3,,,"ONDAS DE VIDA, INC.",0.12,682.0,,,,,,,,768265.0
FM,KRSN-LP,99.7,SHOW LOW,AZ,,34.20586111111111,109.94286111111111,LP100,OLDIES,,SHOW LOW COMMUNITY RADIO,0.002,244.0,,,,,,,,196788.0
FM,KRXS,88.3,TUSAYAN,AZ,,35.97513888888889,112.1245,A,,,,0.04,88.0,,,,,,,,766523.0
FM,KSNJ,91.7,MCNARY,AZ,,34.07477777777778,109.86141666666666,A,,,"ADVANCE MINISTRIES, INC.",0.2,32.0,,,,,,,,768603.0
FM,KTHO,88.1,DEWEY-HUMBOLDT,AZ,,34.490072222222224,112.53381388888889,C2,,,"ADVANCE MINISTRIES, INC.",3.3,491.0,,,,,,,,768270.0
FM,KUAE-FM,91.7,SAFFORD,AZ,,32.64958333333333,109.84913888888889,C2,,,,0.125,1330.0,,,,,,,,768297.0
FM,KUUA-FM,89.1,ST. JOHNS,AZ,,34.249583333333334,109.5868611111111,C1,,,ARIZONA BOARD OF REGENTS FOR BENEFIT OF UNIVERSITY OF ARIZ.,13.0,361.0,,,,,,,,762768.0
FM,KWSQ-LP,99.5,MESA,AZ,,33.49238888888889,111.6406388888889,LP100,ADULT ALTERNATIVE,KWSS 93.9 FM & 99.5,KWSQ RADIO,0.002,260.0,,,,,,,,192016.0
FM,KXSL-FM,100.9,TAYLOR,AZ,,34.20616666666667,109.94288888888889,C3,COUNTRY,K-BEAR 100.9,NEW STAR BROADCASTING LLC,1.2,262.0,,,,,,,,171004.0
FM,KYLN,91.3,QUARTZSITE,AZ,,33.57,114.35,C2,,,"ADVANCE MINISTRIES, INC.",0.9,674.0,,,,,,,,767962.0
FM,KZOM,96.5,CLAYPOOL,AZ,,33.28894444444444,110.82980555555555,C,REGIONAL MEXICAN,LA Z 96.5,OROZCO BROADCASTING LLC,30.0,966.0,,,,,,,,11894.0
FM,KZXO,93.9,BLUEWATER,AZ,,34.141194444444444,114.29988888888889,C3,,,,7.6,-45.0,,,,,,,,762493.0
FM,K294CW,106.7,PHOENIX,AZ,,33.59419444444445,112.08624999999999,D,,,KASA RADIO HOGAR,0.001,,PHOENIX,14.0,"3,779,500",,,,,148238.0
FM,KPJM,88.1,PAYSON,AZ,,34.28780555555555,111.19344444444445,A,ROCK,THE BRIDGE,"KPJM-LP, INC.",0.1,268.0,,,,,,,,767421.0
FM,K201ER,88.1,HOLBROOK,AZ,,34.91808333333333,110.14094444444446,D,RELIGIOUS TEACHING,,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL",0.05,29.0,,,,,,,,89665.0
FM,K201IB,88.1,HEBER-OVERGAARD,AZ,,34.42225,110.56622222222222,D,RELIGIOUS TEACHING,,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL",0.205,,,,,,,,,146233.0
FM,K202BU,88.1,QUARTZSITE,AZ,,33.66752777777778,114.05991666666667,D,RELIGIOUS TEACHING,,"ADVANCE MINISTRIES, INC. D/B/A  NEW LIFE CHRISTIAN SCHOOL",0.013,,,,,,,,,16763.0
FM,K202EM,88.3,BISBEE-DOUGLAS,AZ,,31.47261111111111,109.95452777777778,D,NEWS/TALK/JAZZ,NPR 89.1,ARIZONA BOARD OF REGENTS FOR BENEFIT OF UNIVERSITY OF ARIZ.,0.07,,,,,,,,,3391.0
FM,K205FQ,88.9,WHITERIVER,AZ,,33.78919444444444,109.96980555555555,D,RELIGIOUS TEACHING,,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL",0.25,-242.4,,,,,,,,151270.0
FM,K206BT,89.1,FREDONIA,AZ,,36.98719444444445,112.50297222222223,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.175,-11.0,,,,,,,,1666.0
FM,K206DH,89.1,WINSLOW,AZ,,35.02363888888889,110.62819444444443,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.15,,,,,,,,,88571.0
FM,K206DK,89.1,BULLHEAD CITY,AZ,,35.24677777777778,114.74366666666667,D,RELIGIOUS TEACHING,YOUR CELEBRATION STATION,"ADVANCE MINISTRIES, INC.",0.25,678.9,LAS VEGAS,29.0,"1,999,500",,,,,50785.0
FM,K206EL,89.1,WILLIAMS,AZ,,35.24027777777778,111.59766666666667,D,RELIGIOUS TEACHING,,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL",0.25,589.1,,,,,,,,140383.0
FM,K207DX,89.3,KINGMAN,AZ,,35.10416666666667,113.88411111111112,D,NEWS/CLASSICAL,ARIZONA PUBLIC RADIO,ARIZONA BOARD OF REGENTS FOR/ON BEHALF OF NORTHERN AZ UNIV.,0.09,625.3,,,,,,,,3379.0
