band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K210EZ,89.9,YREKA,CA,,41.73413888888889,122.74858333333333,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,717.1,,,,,,,,92613.0
FM,K201JG,88.1,SUSANVILLE,CA,,40.453250000000004,120.57102777777777,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL INC.,0.011,-145.3,,,,,,,,8422.0
FM,K208AM,89.5,NEWPORT BEACH,CA,,33.62475,117.92977777777779,D,JAZZ/VARIETY,JAZZ FM,SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT,0.075,32.0,,,,,,,,58525.0
FM,K209GF,89.7,MARYSVILLE,CA,,39.205555555555556,121.82055555555556,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,,,,,,,,,142345.0
FM,K219MC,91.7,BARSTOW,CA,,34.97080555555556,117.04002777777778,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,,,,,,,,,8427.0
FM,K214FT,90.7,WESTWOOD,CA,,40.23261111111111,121.01908333333333,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,904.0,,,,,,,,92870.0
FM,K205GJ,88.9,VICTORVILLE,CA,,34.61025,117.28836111111112,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,,,,,,,,,76689.0
FM,K212GM,90.3,"CRESCENT CITY, ETC.",CA,,41.7535,124.17516666666667,D,CLASSICAL/NEWS/TALK,JEFFERSON PUBLIC RADIO,"EDUCATIONAL RADIO FOUNDATION OF EAST TEXAS, INC.",0.25,-37.0,,,,,,,,62069.0
FM,K201JE,88.1,RICHVALE,CA,,39.205555555555556,121.82055555555556,D,CHRISTIAN CHR,EFFECT RADIO,CSN INTERNATIONAL,0.01,588.0,,,,,,,,20776.0
FM,K209GD,89.7,CHICO,CA,,39.72694444444445,121.68027777777779,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,,,,,,,,,92826.0
FM,K203FV,88.5,LOMPOC,CA,,34.73052777777778,120.43458333333334,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.007,127.0,,,,,,,,71998.0
FM,K215FX,90.9,COALINGA,CA,,36.305611111111105,120.40327777777779,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,668.9,,,,,,,,78540.0
FM,K215GA,90.9,LOS GATOS,CA,,37.216,121.96022222222223,D,CLASSICAL,K-LOVE,COMMON COMMUNICATIONS SOUTHERN CALIFORNIA,0.005,267.2,,,,,,,,51716.0
FM,K218FP,91.5,HAYFORK,CA,,40.56766666666667,123.1926388888889,D,CHRISTIAN CHR,EFFECT RADIO,"CSN INTERNATIONAL, INC.",0.25,-215.5,,,,,,,,138679.0
FM,K219ME,91.7,SAN LUIS OBISPO,CA,,35.36033333333334,120.65586111111112,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,501.8,,,,,,,,77025.0
