band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K204GY,88.7,BRUSH,CO,,40.275555555555556,103.64291666666668,D,Contemporary Christian,LIGHT PRAISE RADIO,"Educational Communications of Colorado Springs, Inc.",0.25,49.7,,,,,,,,92692.0
FM,K212GP,90.3,LAMAR,CO,,38.127916666666664,102.5315,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.25,70.9,,,,,,,,92416.0
FM,K208GN,89.5,MONTROSE,CO,,38.38747222222222,107.67588888888889,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,478.0,,,,,,,,88127.0
FM,K214FO,90.7,BUENA VISTA,CO,,38.745666666666665,106.19847222222222,D,Variety,THUNDER 89.7,"MOUNTAIN COMMUNITY TRANSLATORS, LLC",0.01,,,,,,,,,12352.0
FM,K214FQ,90.7,CRAIG,CO,,40.56383333333333,107.612,D,Contemporary Christian,K-LOVE,"K-LOVE, Inc.",0.051,276.5,,,,,,,,12337.0
FM,K217GO,91.3,LIMON,CO,,39.376194444444444,103.69525,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.115,,,,,,,,,92414.0
FM,K221GW,92.1,Colorado Springs,CO,,38.810249999999996,104.88213888888889,D,Country,KCEG 780,,0.099,,,,,,,,,148097.0
FM,K222DS,92.3,FORT COLLINS,CO,,40.54636111111111,105.19855555555556,D,Unknown,,"CEDAR COVE BROADCASTING, INC",0.015,,,,,,,,,6511.0
FM,K298DK,106.7,OLD SNOWMASS,CO,,39.315527777777774,106.9595,D,Adult Alternative,THE MAMMOTH KSNO,Roaring Fork Broadcasting Company LLC,0.25,66.8,,,,,,,,156568.0
FM,K236CZ,95.1,DURANGO,CO,,37.36277777777778,107.79505555555555,D,Contemporary Christian,THE PASSION 95.7 FM,PROCLAIMING CHRIST'S LOVE MINISTRIES,0.01,39.0,,,,,,,,53615.0
FM,K223DM,92.5,COLORADO SPRINGS,CO,,38.810249999999996,104.88219444444444,D,Contemporary Christian,AIR1,"K-LOVE, Inc.",0.21,,,,,,,,,139085.0
FM,K203FQ,88.5,DENVER,CO,,39.743611111111115,104.9888888888889,D,Variety,,"BOULDER COMMUNITY BROADCAST ASSOCIATION, INC.",0.25,,,,,,,,,155203.0
FM,K277DV,103.3,PAGOSA SPRINGS,CO,,37.19222222222222,107.09919444444444,D,Contemporary Christian,PASSION 95.7 FM,PROCLAIMING CHRIST'S LOVE MINISTRIES,0.013,388.0,,,,,,,,53617.0
FM,K282CH,104.3,COLORADO SPRINGS,CO,,38.810111111111105,104.88216666666666,D,Religious Teaching,CATHOLIC RADIO,"Catholic Radio Network, Inc.",0.23,,,,,,,,,148039.0
FM,K210FD,89.9,BRECKENRIDGE,CO,,39.63016666666667,106.04752777777777,D,Contemporary Christian,K-LOVE,"MOUNTAIN COMMUNITY TRANSLATORS, LLC",0.04,-51.7,,,,,,,,12331.0
FM,KACM,91.3,Loghill Village,CO,,38.3875,107.67444444444445,C3,,,,0.27,497.0,,,,,,,,763591.0
FM,KBWB,92.7,STRATTON,CO,,39.29472222222222,102.26083333333334,C1,,,,65.0,107.0,,,,,,,,762372.0
FM,KCGX,91.1,CRAIG,CO,,40.565444444444445,107.61166666666666,A,,,,0.1,283.0,,,,,,,,767297.0
FM,KFII,92.3,Hugo,CO,,39.277138888888885,103.49638888888889,A,Classic Hits,,,3.5,96.0,,,,,,,,762662.0
FM,KGCB,89.5,WRAY,CO,,40.05433333333333,102.22647222222223,A,Southern Gospel,KEEPING HIM CLOSE BY,,0.4,76.0,,,,,,,,767456.0
FM,KGCY,89.1,CHEYENNE WELLS,CO,,38.824444444444445,102.35297222222222,A,,,,0.22,28.0,,,,,,,,767457.0
FM,KJLB,89.7,LAMAR,CO,,38.03611111111111,102.5996111111111,A,Contemporary Christian,YOU'RE WITH FAMILY,,1.4,70.0,,,,,,,,764002.0
FM,KKBV,90.3,BUENA VISTA,CO,,38.745555555555555,106.19861111111112,A,Contemporary Christian,K-LOVE,"K-LOVE, Inc.",0.25,345.0,,,,,,,,766822.0
FM,KLMR-FM,93.5,LAMAR,CO,,38.03611111111111,102.59991666666666,C1,Classic Hits,KOOL 93.5,"Riverside Communications, LLC",100.0,146.0,,,,,,,,175.0
FM,KOOK,90.3,RIDGWAY,CO,,38.04244444444444,107.67361111111111,A,,,,0.32,-339.0,,,,,,,,765006.0
FM,KQCO,91.9,LOG LANE VILLAGE,CO,,40.249583333333334,103.79986111111111,A,,,Prairie Community Radio,0.1,1.0,,,,,,,,766816.0
FM,KRDF,88.7,Red Feather Lakes,CO,,40.8675,105.64333333333335,A,,,"Ridgeline Radio, Inc.",0.005,246.0,,,,,,,,764211.0
FM,KRNX-FM,104.9,RYE,CO,,37.94444444444444,104.99944444444445,C3,Contemporary Christian,AIR1,"K-LOVE, INC.",25.0,55.0,,,,,,,,164276.0
