band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W234DS,94.7,Old Saybrook,CT,,41.30983055555555,72.39756944444446,D,Classical,FINE ARTS RADIO,"Town of Monroe, Connecticut",0.038,40.0,,,,,,,,83375.0
FM,W270DZ,101.9,New London,CT,,41.35308333333334,72.11425,D,Classical,FINE ARTS RADIO,"Town of Monroe, Connecticut",0.055,31.0,,,,,,,,79107.0
FM,W271DT,102.1,Bridgeport,CT,,41.27897222222222,73.18511111111111,D,News,,Sun Signals LLC,0.25,,,,,,,,,156144.0
FM,WDSK,88.3,SOUTH KENT,CT,,41.68175,73.4865,A,,,"Fine Arts Radio, Inc.",0.099,10.0,,,,,,,,768354.0
FM,WICC-FM,95.9,SOUTHPORT,CT,,41.11566666666667,73.43455555555556,A,News/Talk,,"CONNOISSEUR MEDIA LICENSES, LLC",3.0,91.0,,,,,,,,14379.0
FM,W206BW,89.1,WESTVILLE,CT,,41.34966666666667,72.97241666666667,D,News/Talk,WNPR PUBLIC RADIO,"CONNECTICUT PUBLIC BROADCASTING, INC.",0.01,,New Haven,126.0,"435,700",,,,,123260.0
FM,W211AI,90.1,STAMFORD,CT,,41.04694444444444,73.5261111111111,D,News,NPR NEWS & CLASSICAL MUSIC,"SACRED HEART UNIVERSITY, INC.",0.25,29.0,Metro Fairfield County,74.0,"753,100",,,,,58518.0
FM,W218AV,91.5,WARREN,CT,,41.736472222222226,73.354,D,Classical,FINE ARTS RADIO,"TOWN OF MONROE, CONNECTICUT",0.25,163.0,,,,,,,,77590.0
FM,W220AC,91.9,FAIRFIELD,CT,,41.14813888888889,73.25094444444444,D,Classical,FINE ARTS RADIO,"TOWN OF MONROE, CONNECTICUT",0.019,0.6,Metro Fairfield County,74.0,"753,100",,,,,43526.0
FM,W220CE,91.9,MIDDLEFIELD,CT,,41.513777777777776,72.74627777777778,D,Classical,FINE ARTS RADIO,"TOWN OF MONROE, CONNECTICUT",0.01,,,,,,,,,90254.0
