band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W236EA,95.1,WILMINGTON,DE,,39.695361111111104,75.29819444444445,D,ROCK,95.1 WSNJ,LOUD MEDIA NJ LLC,0.017,,,,,,,,,151086.0
FM,W238DJ,95.5,MILFORD,DE,,38.92805555555555,75.48861111111111,D,CLASSIC HITS,COOL 102.1FM 930AM,FOREVER MEDIA,0.24,,,,,,,,,151295.0
FM,W219BZ,91.7,LEWES,DE,,38.72511111111111,75.18241666666667,D,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.17,34.0,SALISBURY-OCEAN CITY,133.0,"383,200",,,,,89007.0
FM,W226CW,93.1,GEORGETOWN,DE,,38.626111111111115,75.23361111111112,D,REGIONAL MEXICAN,LA RAZA 93.1 & 106.7,"THE VOICE RADIO, LLC",0.13,,SALISBURY-OCEAN CITY,133.0,"383,200",,,,,151579.0
FM,W230CO,93.9,SEAFORD,DE,,38.613166666666665,75.58630555555555,D,CONTEMPORARY HIT RADIO,LA Z MX RADIO,RUBY J. LOPEZ,0.25,,SALISBURY-OCEAN CITY,133.0,"383,200",,,,,146617.0
FM,W245CJ,96.9,WILMINGTON,DE,,39.81561111111111,75.53,D,COUNTRY,WXCY 103.7 AND 96.9,"WBOC, INC.",0.25,,WILMINGTON,85.0,"636,200",,,,,139424.0
FM,W246BI,97.1,MIDDLETOWN,DE,,39.534555555555556,75.70994444444445,D,RELIGIOUS TEACHING,HOPE 94.5,FRANCIS TAFELSKI,0.08,50.5,WILMINGTON,85.0,"636,200",,,,,156585.0
FM,W253CQ,98.5,WILMINGTON,DE,,39.70872222222223,75.56602777777778,D,TRAVEL INFO,,DELAWARE DEPARTMENT OF TRANSPORTATION,0.1,,WILMINGTON,85.0,"636,200",,,,,201388.0
FM,W277AH,103.3,DOVER,DE,,39.163333333333334,75.53527777777778,D,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",0.08,,,,,,,,,21076.0
FM,W286BS,105.1,MILFORD,DE,,39.19333333333333,75.54388888888889,D,ADULT ALTERNATIVE,DELMARVA'S ALBUM MUSIC SOURCE,"EKO MEDIA GROUP, INC.",0.25,84.8,,,,,,,,150268.0
FM,W294BN,106.7,DOVER,DE,,39.19344444444444,75.54380555555555,D,URBAN GOSPEL,REACH RADIO GOSPEL,"PRIORITY RADIO, INC.",0.055,69.8,,,,,,,,37037.0
FM,W294CH,106.7,GEORGETOWN,DE,,38.654444444444444,75.61083333333333,D,REGIONAL MEXICAN,LA RAZA 93.1 & 106.7,"THE VOICE RADIO, LLC",0.25,,SALISBURY-OCEAN CITY,133.0,"383,200",,,,,200516.0
FM,W297CA,107.3,WILMINGTON,DE,,39.834,75.52380555555555,D,URBAN GOSPEL,REACH RADIO GOSPEL,"PRIORITY RADIO, INC.",0.185,,WILMINGTON,85.0,"636,200",,,,,151209.0
FM,W299BH,107.7,MARSHALLTON,DE,,39.70861111111111,75.56611111111111,D,CLASSICAL/JAZZ,TEMPLE UNIVERSITY PUBLIC RADIO,TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER ED,0.25,49.5,WILMINGTON,85.0,"636,200",,,,,142393.0
FM,WAFL,97.7,MILFORD,DE,,38.92761111111111,75.48852777777778,A,HOT AC,EAGLE 97.7,FOREVER MEDIA,3.0,100.0,,,,Eagles,,,,53482.0
FM,WCHK-FM,101.3,MILFORD,DE,,38.85613888888889,75.48272222222222,A,COUNTRY,CHICKEN 101.3,FOREVER MEDIA,6.0,93.5,SALISBURY-OCEAN CITY,133.0,"383,200",,,,,58763.0
FM,WDDE,91.1,DOVER,DE,,38.98361111111111,75.55361111111111,B1,NEWS/TALK,DELAWARE'S NPR NEWS STATION,DELAWARE PUBLIC MEDIA CORPORATION,6.0,117.0,,,,,,,,175387.0
FM,WDSD,94.7,DOVER,DE,,39.200944444444445,75.56491666666666,B,COUNTRY,WDSD 94.7,IHEARTMEDIA,50.0,115.0,,,,,,,,4669.0
FM,WGMD,92.7,REHOBOTH BEACH,DE,,38.70411111111111,75.19980555555556,A,TALK,THE TALK OF DELMARVA,DATATECH DIGITAL LLC,2.6,132.0,SALISBURY-OCEAN CITY,133.0,"383,200",Ravens,,,Orioles,55906.0
FM,WHGE-LP,95.3,WILMINGTON,DE,,39.742111111111114,75.54191666666667,LP100,VARIETY,,AFRO-AMERICAN HISTORICAL SOCIETY OF DELAWARE,0.05,9.175406,WILMINGTON,85.0,"636,200",,,,,196732.0
FM,WIHW-LP,96.1,DOVER,DE,,39.135666666666665,75.53963888888889,LP100,RELIGIOUS TEACHING,WINNING OTHERS TO JESUS,CAPITOL BAPTIST CHURCH,0.1,26.0,,,,,,,,132040.0
FM,WIZU-LP,99.9,NEWARK,DE,,39.66430555555555,75.75958333333334,LP100,VARIETY,,NEWARK COMMUNITY RADIO INC,0.085,-1.0,WILMINGTON,85.0,"636,200",,,,,193728.0
FM,WJKI-FM,103.5,BETHANY BEACH,DE,,38.572611111111115,75.11572222222222,A,CLASSIC ROCK,THE VAULT 103.5,"THE VOICE RADIO, LLC",1.45,146.0,SALISBURY-OCEAN CITY,133.0,"383,200",,,,,30858.0
FM,WKDB,95.3,LAUREL,DE,,38.50344444444445,75.66047222222223,A,CONTEMPORARY HIT RADIO,MAXIMA 95.3,"THE VOICE RADIO, LLC",6.0,100.0,SALISBURY-OCEAN CITY,133.0,"383,200",,,,,16661.0
FM,WKNZ,88.7,HARRINGTON,DE,,38.891666666666666,75.57972222222222,B1,CONTEMPORARY CHRISTIAN,88.7 THE BRIDGE,"THE BRIDGE OF HOPE, INC.",25.0,98.1,,,,,,,,90270.0
FM,WLBW,92.1,FENWICK ISLAND,DE,,38.422333333333334,75.13936111111111,A,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",3.0,143.0,SALISBURY-OCEAN CITY,133.0,"383,200",,,,,28170.0
FM,WMHS,88.1,PIKE CREEK,DE,,39.75761111111111,75.66686111111112,A,CLASSIC HITS,THE EDGE,RED CLAY CONSOLIDATED SCHOOL DISTRICT,0.088,,WILMINGTON,85.0,"636,200",,,,,90384.0
FM,WMPH,91.7,WILMINGTON,DE,,39.77316666666667,75.50658333333334,A,VARIETY,SUPER 91.7,"BRANDYWINE SCHOOL DIST, BRD OF EDUC",0.1,,WILMINGTON,85.0,"636,200",,,,,6650.0
FM,WNJD,102.3,HARTLY,DE,,39.092555555555556,75.67319444444445,A,TALK,FINE DAY RADIO,MIGHTY VOICE BROADCASTING,1.4,100.0,ATLANTIC CITY-CAPE MAY,153.0,"321,300",,,,,37475.0
FM,WOCM,98.1,SELBYVILLE,DE,,38.422333333333334,75.13936111111111,A,ADULT ALTERNATIVE,OCEAN 98.1,"IRIE RADIO, INC.",3.0,143.0,SALISBURY-OCEAN CITY,133.0,"383,200",,,,,2200.0
