band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W225DO,92.9,WEST PALM BEACH,FL,PALM BEACH,26.677222222222223,80.04944444444445,D,,,EDUCATIONAL MEDIA FOUNDATION,0.05,113.0,,,,,,,,21103.0
FM,W256EG,99.1,LAKE CITY,FL,SUWANNEE,30.284333333333336,82.77927777777778,D,,,"DOCKINS COMMUNICATIONS, INC.",0.25,,,,,,,,,146781.0
FM,W204CV,88.7,KEY WEST,FL,MONROE,24.57172222222222,81.73872222222222,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.08,32.0,,,,,,,,78766.0
FM,W229CV,93.7,PENSACOLA,FL,ESCAMBIA,30.439944444444446,87.23372222222223,D,URBAN GOSPEL/URBAN CONTEMPORARY,CHOICE 106.9,BOM PLUSTEAMING LLC,0.25,,,,,,,,,150909.0
FM,W284DV,104.7,DAYTONA BEACH,FL,VOLUSIA,29.173694444444447,81.15700000000001,D,RHYTHMIC CHR,HOT 94.1,"SOUTHERN STONE COMMUNICATIONS, LLC",0.02,,,,,,,,,140187.0
FM,W236DY,95.1,DAYTONA BEACH,FL,VOLUSIA,29.232555555555553,81.03708333333333,D,TALK,THE TALK OF DAYTONA,"DUVALL MEDIA GROUP, LLC",0.25,87.2,,,,,,,,151352.0
FM,W237FO,95.3,LAKELAND,FL,POLK,28.032694444444445,81.95652777777778,D,CONTEMPORARY CHRISTIAN,Z-88,"CENTRAL FLORIDA EDUCATIONAL FOUNDATION, INC.",0.055,,,,,,,,,142414.0
FM,W241DH,96.1,RIVERVIEW,FL,MANATEE,27.54530555555556,82.57397222222222,D,ETHNIC,RADIO NOUVELLE LUMIERE,"TAMPA RADIO, INC.",0.1,46.1,,,,,,,,83547.0
FM,W249EH,97.7,DAYTONA BEACH,FL,VOLUSIA,29.137055555555555,81.07791666666667,D,CLASSIC HIP-HOP,102 JAMS,"CENTRAL FLORIDA EDUCATIONAL FOUNDATION, INC.",0.23,,,,,,,,,142468.0
FM,W253DI,98.5,DAYTONA BEACH,FL,VOLUSIA,29.173694444444447,81.15700000000001,D,NEWS,NEWSDAYTONABEACH.COM,"SOUTHERN STONE COMMUNICATIONS, LLC",0.25,,,,,,,,,202222.0
FM,W268DQ,101.5,DUNNELLON,FL,MARION,29.135666666666665,82.18697222222222,D,SPANISH HITS,LA FIESTA 101.5,"JVC MEDIA OF FLORIDA, LLC",0.25,71.2,,,,,,,,155456.0
FM,W294DA,106.7,PENSACOLA,FL,ESCAMBIA,30.439944444444446,87.23372222222223,D,RELIGIOUS TEACHING,LA PROMESA,LA PROMESA FOUNDATION,0.25,123.6,,,,,,,,150816.0
FM,W282CC,104.3,ZEPHYR HILLS,FL,PASCO,28.281944444444445,82.2081388888889,D,VARIETY,BOSS HOG RADIO,"WALCO ENTERPRISES, INC.",0.25,,,,,,,,Rays,151732.0
FM,W298CB,107.5,FORT MYERS,FL,LEE,26.639527777777776,81.86397222222222,D,URBAN AC,1350 & 107.5 JAMZ,"GENESIS MULTIMEDIA GROUP, LLC",0.099,,,,,,,,,150277.0
FM,WBGY,90.3,EVERGLADES CITY,FL,COLLIER,25.844166666666663,81.37333333333332,A,80'S HITS,98.1 FM,KOL HALEV 2020 CORPORATION,0.25,18.0,,,,,,,,47386.0
FM,WBIT-LP,95.3,PEMBROKE PINES,FL,BROWARD,26.031916666666667,80.37647222222222,LP100,,,"AMERICAN ISRAEL COMMITTEE TO STOP ANTISEMITISM, INC.",0.075,24.0,,,,,,,,782012.0
FM,WBOE,97.7,BONIFAY,FL,BAY,30.511555555555557,85.48991666666667,C1,ROCK,97 X,"JVC MEDIA OF FLORIDA, LLC",100.0,253.0,,,,,,,,25412.0
FM,WBSI-LP,99.3,PORT ST LUCIE,FL,MARTIN,27.27638888888889,80.2863888888889,LP100,REGGAE,,"PROXITY CULTURAL, INC.",0.1,29.0,,,,,,,,782936.0
FM,WCCL-LP,106.3,LEESBURG,FL,LAKE,28.84261111111111,81.77380555555555,LP100,,,,0.04,31.0,,,,,,,,788076.0
FM,WCFN-LP,91.9,ORLANDO,FL,ORANGE,28.574444444444445,81.46277777777777,LP100,,,,0.025,59.0,,,,,,,,788644.0
FM,WDAE-FM,95.7,CLEARWATER,FL,PINELLAS,27.86711111111111,82.62386111111111,C1,SPORTS,95.7 WDAE,IHEARTMEDIA,100.0,185.0,,,,,,,,41382.0
FM,WDRD-LP,100.3,TAMPA,FL,HILLSBOROUGH,27.918633333333336,82.3947388888889,LP100,,,IGLESIA CRISTIANA DE TAMPA CORPORATION,0.056,40.0,,,,,,,,788319.0
FM,WEKI,88.1,WEEKI WACHEE,FL,HERNANDO,28.582166666666662,82.52894444444445,A,,,"CALL COMMUNICATIONS GROUP, INC.",5.0,111.0,,,,,,,,768626.0
FM,WELA-LP,91.7,POMPANO BEACH,FL,PALM BEACH,26.37027777777778,80.17277777777778,LP100,,,"CENTRE HAITIEN D'ACTION HUMANITAIRE, INC.",0.042,46.0,,,,,,,,782964.0
FM,WEYS-LD,87.7,MIAMI,FL,MIAMI-DADE,25.97111111111111,80.20861111111111,,SPANISH RELIGIOUS,ALMAVISION,"ALMA VISION HISPANIC NETWORK, INC.",3.0,,,,,,,,,6035.0
FM,WEZS-LP,106.5,PALM COAST,FL,FLAGLER,29.55911111111111,81.2165,LP100,,,,0.1,24.0,,,,,,,,784842.0
FM,WFRH-LP,99.5,MIAMI,FL,MIAMI-DADE,25.58138888888889,80.37416666666665,LP100,,,,0.07,30.0,,,,,,,,780589.0
FM,WFWO,106.9,FORT WALTON BEACH,FL,OKALOOSA,30.409777777777776,86.62327777777777,A,TROPICAL,LA FIESTA 106.9,,2.85,147.0,,,,,,,,762446.0
FM,WGMX,94.3,MARATHON,FL,MONROE,24.692083333333333,81.10841666666666,C2,CONTEMPORARY HIT RADIO,KEYS PARTY STATION 105.7,"MAGNUM BROADCASTING, INC.",26.5,84.0,,,,,,,,65663.0
FM,WHJX,106.5,PONTE VEDRA BEACH,FL,DUVAL,30.27663888888889,81.56591666666667,A,RHYTHM AND BLUES,HOT 106.5,"COX RADIO, LLC",6.0,100.0,,,,,,,,28894.0
FM,WIJF-LP,91.7,FORT LAUDERDALE,FL,BROWARD,26.096666666666664,80.10722222222222,LP100,ETHNIC,,"CHABAD CHAYIL, INC",0.013,82.0,,,,,,,,783064.0
FM,WJHM,101.9,DAYTONA BEACH,FL,VOLUSIA,28.919722222222223,81.31866666666666,C,CLASSIC HIP-HOP,102 JAMZ,"AUDACY LICENSE, LLC",92.0,483.0,,,,,,,,73137.0
FM,WJNX-FM,106.1,OKEECHOBEE,FL,OKEECHOBEE,27.221666666666664,80.86805555555554,C3,REGIONAL MEXICAN,LA LEY TREASURE COAST 106.1 / 95.1,"BMZ BROADCASTING, LLC",12.5,85.0,,,,,,,,183336.0
FM,WJZX-LP,94.5,CRESTVIEW,FL,OKALOOSA,30.759444444444444,86.65472222222223,LP100,,,,0.064,38.0,,,,,,,,780617.0
FM,WLMX-LP,96.7,ST PETERSBURG,FL,PINELLAS,27.77361111111111,82.64952777777779,LP100,VARIETY,SUNSHINE 96.7,"96.7 FM RADIOSTPETE, INC.",0.026,56.917595,,,,,,,,195661.0
FM,WLPY-LP,90.1,HOMESTEAD,FL,MIAMI-DADE,25.58138888888889,80.37388888888889,LP100,,,,0.065,30.0,,,,,,,,785211.0
FM,WLTI-LP,104.3,PORT SAINT LUCIE,FL,SAINT LUCIE,27.314444444444444,80.37249999999999,LP100,,,,0.1,27.0,,,,,,,,788177.0
FM,WNAK-LP,107.5,BONITA SPRINGS,FL,LEE,26.330861111111112,81.71375,LP100,JAZZ,JAZZY 107-5,,0.1,9.05,,,,,,,,779361.0
FM,WNRH-LP,107.9,NEW PORT RICHEY,FL,PASCO,28.175972222222224,82.74122222222222,LP100,,,"RADIO FREE NEW PORT RICHEY, INC",0.1,14.0,,,,,,,,787825.0
FM,WODR,90.3,CALLAWAY,FL,GULF,29.819194444444445,85.25941666666667,C2,CONTEMPORARY CHRISTIAN,DESTINY RADIO,DESTINY WORSHIP CENTER,25.0,185.0,,,,,,,,765522.0
FM,WOPR-LP,107.3,OCALA,FL,MARION,29.11694444444445,82.3325,LP100,,,ROLLING HILLS BROADCAST INC,0.1,27.0,,,,,,,,787839.0
FM,WPAV-LP,97.7,BELLEVIEW,FL,MARION,29.04861111111111,82.01055555555556,LP100,RELIGIOUS,BETHEL RADIO,"CPC OF THE WMM - OCALA, FL - ONE INC.",0.068,37.0,,,,,,,,788077.0
FM,WPBC-LP,100.9,JUPITER,FL,MARTIN,27.025555555555556,80.17833333333334,LP100,,,"CHARM GIRLZ FOUNDATION, INC.",0.071,36.0,,,,,,,,781026.0
FM,WPFH-LP,95.7,PORT CHARLOTTE,FL,CHARLOTTE,26.980444444444444,82.06763888888888,LP100,RELIGIOUS,,,0.1,30.0,,,,,,,,784064.0
