band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K208GK,89.5,HILO,HI,,19.69361111111111,155.04861111111111,D,Religious Teaching,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC",0.23,,,,,,,,,92769.0
FM,K214FS,90.7,KAILUA,HI,,21.333027777777776,157.81505555555557,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.01,,,,,,,,,89650.0
FM,K220FQ,91.9,HONOLULU,HI,,21.333027777777776,157.81505555555557,D,Christian CHR + Rock,EFFECT RADIO,"CSN International, Inc.",0.01,29.3,,,,,,,,77051.0
FM,K216GX,91.1,LANAI CITY,HI,,20.84161111111111,156.89819444444444,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.01,842.0,,,,,,,,122260.0
FM,K218FQ,91.5,KALAOA,HI,,19.717777777777776,155.91833333333332,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.01,,,,,,,,,92797.0
FM,K300ED,107.9,NAPILI,HI,,20.841694444444443,156.89830555555554,D,Hawaiian,THE BEAT,Akamai Broadcasting of Hawaii LLC,0.25,837.5,,,,,,,,148202.0
FM,K234DJ,94.7,PAIA,HI,,20.706138888888887,156.2608611111111,D,Hawaiian,103.3 THE BEAT,Akamai Broadcasting of Hawaii LLC,0.099,-1.4,,,,,,,,148150.0
FM,KAUH-LP,104.7,OCEAN VIEW,HI,,19.086916666666667,155.76055555555556,LP100,Variety,,Chacah Broadcasting Network,0.1,30.0,,,,,,,,778191.0
FM,KBZB,107.5,KIHEI,HI,,20.772055555555553,156.2441111111111,C2,Classic Hits,BUZZ 107.5,Akamai Broadcasting of Hawaii LLC,0.75,955.0,,,,,,,,170177.0
FM,KDDF-LP,93.5,Hilo,HI,,19.725277777777777,155.08694444444444,LP100,,,,0.1,26.0,,,,,,,,787988.0
FM,KHNU,105.3,KEAAU,HI,,19.71861111111111,155.4536111111111,C2,Adult Hits,LAVA 105,Hawaii Island Radio Corporation,28.0,28.0,,,,,,,,85061.0
FM,KIXK,95.1,WAILUKU,HI,,20.772055555555553,156.2441111111111,C1,Country,KIX 95.1,Akamai Broadcasting of Hawaii LLC,3.5,933.1,,,,,,,,70375.0
FM,KKAU-LP,96.5,NAALEHU,HI,,19.03611111111111,155.62666666666667,LP100,Classic Hits,,Aloha FM Foundation,0.1,-84.0,,,,,,,,783000.0
FM,KKAU-LP-FM2,96.5,NAALEHU,HI,,19.082666666666665,155.77736111111113,LP100,Classic Hits,,,0.02,,,,,,,,,791485.0
FM,KLHE,88.1,HILO,HI,,19.729166666666664,155.0227777777778,A,Contemporary Christian,K-LOVE,"K-LOVE, INC.",1.6,-34.0,,,,,,,,767291.0
FM,KLNY,88.9,LANAI CITY,HI,,20.84161111111111,156.89819444444444,C2,,,"CSN International, Inc.",1.8,456.0,,,,,,,,766309.0
FM,KOAH,106.9,KAWAIHAE,HI,,19.72138888888889,155.91663888888888,C1,Adult Contemporary,THE BEACH,Hawaii Island Radio Corporation,4.5,904.0,,,,,,,,12244.0
FM,KOPI,107.7,VOLCANO,HI,,19.71861111111111,155.4536111111111,C2,Country,KOA COUNTRY 107,Hawaii Island Radio Corporation,28.0,28.0,,,,,,,,37211.0
FM,KSRR,94.3,MAKAWAO,HI,,20.772055555555553,156.2441111111111,C1,Adult Contemporary,94 XSTAR 94.3,Akamai Broadcasting of Hawaii LLC,2.0,933.1,,,,,,,,14699.0
