band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K202CG,88.3,SPIRIT LAKE,IA,,43.404111111111106,95.06247222222223,D,Contemporary Christian,LIFE-FM,UNIVERSITY OF NORTHWESTERN - ST. PAUL,0.25,66.2,,,,,,,,90145.0
FM,K214FN,90.7,LE MARS,IA,,42.72441666666667,96.29166666666667,D,Religious Teaching,RADIO BY GRACE,Hope Media Group,0.11,64.6,,,,,,,,152205.0
FM,K231DI,94.1,DES MOINES,IA,,41.63472222222222,93.57913888888889,D,Adult Alternative,STUDIO ONE,"Iowa Public Radio, Inc.",0.14,,,,,,,,,144879.0
FM,K232GF,94.3,FORT MADISON,IA,,40.71502777777778,91.45736111111111,D,Religious Teaching,,DIVINE MERCY EDUCATIONAL RADIO ASSOCIATION,0.25,,,,,,,,,156879.0
FM,K232GG,94.3,GRUNDY CENTER,IA,,42.35333333333333,92.88472222222222,D,Oldies,OLDIES 1190,"MTN BROADCASTING, INC.",0.23,,,,,,,,,201481.0
FM,K256DM,99.1,WEBSTER CITY,IA,,42.467777777777776,93.79694444444445,D,Oldies,THE BREEZE 92.9 FM 1570 AM,"FIELDVIEW BROADCASTING, LLC",0.25,,,,,,,,,139647.0
FM,KCSL,89.9,SPENCER,IA,,43.22958333333334,95.13227777777777,C3,Religion/Talk,IOWA CATHOLIC RADIO,St. Gabriel Communications,22.0,84.0,,,,,,,,767664.0
FM,KCVD,88.1,DES MOINES,IA,,41.58388888888889,93.64152777777778,A,Reggae,BOTT RADIO NETWORK,"Community Broadcasting, Inc.",5.2,85.0,,,,,,,,16720.0
FM,KDVM,89.3,MASON CITY,IA,,43.15472222222222,93.20166666666667,A,Religious Teaching,IOWA CATHOLIC RADIO,St. Gabriel Communications,0.24,32.0,,,,,,,,768480.0
FM,KGDR-LP,106.7,DYERSVILLE,IA,,42.46834444444445,91.09960277777778,LP100,Religious Teaching,RELEVANT RADIO,,0.1,2.0,,,,,,,,788420.0
FM,KIHC-FM,105.3,CHARITON,IA,,40.88972222222222,93.02491666666667,C2,Religious Teaching,IOWA CATHOLIC RADIO NETWORK,St. Gabriel Communications,34.0,182.0,,,,,,,,17776.0
FM,KJGA,89.7,OSAGE,IA,,43.364444444444445,92.85138888888888,C3,Contemporary Christian,KINSHIP CHRISTIAN RADIO,Minn-Iowa Christian Broadcasting Inc.,25.0,85.0,,,,,,,,762430.0
FM,KJLM,88.7,MARSHALLTOWN,IA,,42.071361111111116,92.9221388888889,C3,Contemporary Christian,THE DOVE 91.9 FM,Minn-Iowa Christian Broadcasting Inc.,8.3,29.0,,,,,,,,90503.0
FM,KJOM,91.9,STATE CENTER,IA,,42.26358333333334,93.06602777777778,C3,Contemporary Christian,THE DOVE,Minn-Iowa Christian Broadcasting Inc.,22.0,93.6,,,,,,,,92457.0
FM,KJWC,90.5,Hampton,IA,,42.56319444444444,92.95625,C3,,,Minn-Iowa Christian Broadcasting,25.0,72.0,,,,,,,,762428.0
