band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K203FY,88.5,FAIRFIELD,ID,CAMAS,43.34580555555556,114.79269444444444,D,CLASSICAL,CLASSICAL 24,IDAHO STATE BOARD OF EDUCATION,0.019,738.0,,,,,,,,28245.0
FM,K204AL,88.7,"POCATELLO, ETC.",ID,BANNOCK,42.873777777777775,112.51386111111113,D,CONTEMPORARY CHRISTIAN,,FAITH COMMUNICATIONS CORPORATION,0.029,281.0,,,,,,,,20513.0
FM,K206EU,89.1,SALMON,ID,LEMHI,45.145583333333335,114.00522222222222,D,RELIGIOUS TEACHING,LIFETALK RADIO,"SALT & LIGHT RADIO, LLC",0.1,690.1,,,,,,,,140898.0
FM,K208GL,89.5,SALMON,ID,LEMHI,45.183499999999995,113.87141666666666,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.075,-292.4,,,,,,,,153118.0
FM,KCTG,91.9,GRANGEVILLE,ID,IDAHO,45.86322222222223,116.12527777777775,A,,,,0.061,709.0,,,,,,,,763701.0
FM,K215FV,90.9,IDAHO FALLS,ID,BONNEVILLE,43.35155555555556,112.0068888888889,D,RELIGIOUS,,BRIGHAM YOUNG UNIVERSITY-IDAHO,0.25,,,,,,,,,146541.0
FM,K227EA,93.3,GRANGEVILLE,ID,IDAHO,45.863194444444446,116.1235,D,COUNTRY,BIG COUNTRY 92.7,"NELLY BROADCASTING IDAHO, LLC",0.25,-95.0,,,,,,,,134.0
FM,K257GX,99.3,MOUNTAIN HOME,ID,ELMORE,43.205444444444446,115.56647222222222,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.25,,,,,,,,,200925.0
FM,K257HB,88.7,MCCALL,ID,VALLEY,45.00188888888889,116.1352777777778,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,458.1,,,,,,,,139380.0
FM,K261FI,89.5,MCCALL,ID,VALLEY,45.00188888888889,116.1352777777778,D,CHRISTIAN CHR + ROCK,EFFECT RADIO,"CSN INTERNATIONAL, INC.",0.01,458.1,,,,,,,,139371.0
FM,KBSP,90.7,STANLEY,ID,CUSTER,44.212944444444446,114.93905555555556,A,CLASSICAL/VARIETY,BOISE STATE PUBLIC RADIO MUSIC,IDAHO STATE BOARD OF EDUCATION,0.205,-314.0,,,,,,,,762198.0
FM,KBSU,90.3,BOISE,ID,ADA,43.755722222222225,116.09927777777776,C0,CLASSICAL,BOISE STATE PUBLIC RADIO CLASSICAL,IDAHO STATE BOARD OF EDUCATION,17.5,827.0,,,,,,,,6325.0
FM,KBXC,89.7,CHALLIS,ID,CUSTER,44.55247222222222,114.09022222222222,C3,NEWS/TALK,BOISE STATE PUBLIC RADIO NEWS,IDAHO STATE BOARD OF EDUCATION,0.1,807.4,,,,,,,,762199.0
FM,KBXM,88.5,SALMON,ID,LEMHI,45.1455,114.00519444444444,C3,,,IDAHO STATE BOARD OF EDUCATION,0.25,845.0,,,,,,,,762195.0
FM,KBXS,90.1,SALMON,ID,LEMHI,45.1455,114.00519444444444,C3,,,IDAHO STATE BOARD OF EDUCATION,0.25,845.0,,,,,,,,762194.0
