band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W207CS,89.3,PONTIAC,IL,,40.88638888888889,88.64472222222223,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.08,46.9,,,,,,,,87065.0
FM,W210CI,89.9,QUINCY,IL,,39.93083333333333,91.33205555555556,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,,,,,,,,,152831.0
FM,W203CE,88.5,CHARLESTON,IL,,39.4995,88.17377777777779,D,RELIGIOUS TEACHING,VCY AMERICA,"VCY AMERICA, INC.",0.055,,,,,,,,,90440.0
FM,W210CH,89.9,DECATUR,IL,,39.82461111111112,88.96766666666667,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.08,44.8,,,,,,,,77110.0
FM,W218DD,91.5,SPRINGFIELD,IL,,39.73416666666667,89.63833333333334,D,RELIGIOUS TEACHING,COVENANT NETWORK,COVENANT NETWORK,0.027,,,,,,,,,85373.0
FM,W220EQ,91.9,GALENA,IL,,42.45841666666667,90.77811111111112,D,RELIGIOUS TEACHING,MOODY RADIO,"AQUINAS COMMUNICATIONS, INC.",0.25,98.4,,,,,,,,78602.0
FM,W296EP,107.1,CHICAGO,IL,,41.92666666666666,87.80666666666666,D,SPANISH HITS,AMOR 106.7,"WINDY CITY BROADCASTING, LLC",0.25,,,,,,,,,140691.0
FM,W272EP,102.3,AURORA,IL,,41.8075,88.26833333333333,D,TALK/SPORTS,THE BIG ONE,AURORA NAPERVILLE RADIO LLC,0.09,,,,,,,,,202935.0
FM,W278DE,103.5,ROCKFORD,IL,,42.26638888888889,89.07294444444445,D,CONTEMPORARY CHRISTIAN,K-LOVE,,0.25,,,,,,,,,152773.0
FM,W280EM,103.9,CHICAGO,IL,,41.87888888888889,87.63555555555556,D,URBAN CONTEMPORARY,STREETZ 95.1,"WINDY CITY BROADCASTING, LLC",0.09,,,,,,,,,140763.0
FM,W296EQ,107.1,ARLINGTON HEIGHTS,IL,,42.13713888888889,87.98255555555556,D,SPANISH HITS,AMOR 106.7,"MB CAPITAL MANAGEMENT, LLC",0.22,,,,,,,,,141545.0
FM,WBWJ,88.3,ROCHESTER,IL,,39.671527777777776,89.54222222222222,A,,,VANGUARD ASSOCIATION OF SUNBELT COLLEGES CORPORATION,1.25,66.0,,,,,,,,768557.0
