band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W211CH,90.1,TERRE HAUTE,IN,,39.50388888888889,87.44361111111111,D,Religious Teaching,CSN INTERNATIONAL,CSN International,0.019,94.0,,,,,,,,86934.0
FM,W203CF,88.5,Williamsport,IN,,40.32138888888889,87.31916666666666,D,Religious Teaching,REJOICE RADIO,"PENSACOLA CHRISTIAN COLLEGE, INC.",0.019,90.0,,,,,,,,78884.0
FM,W208CA,89.5,WARSAW,IN,,41.236666666666665,85.87916666666666,D,Religious Teaching,REJOICE RADIO,"PENSACOLA CHRISTIAN COLLEGE, INC.",0.055,52.2,,,,,,,,89540.0
FM,W264DY,100.7,GARY,IN,,41.572361111111114,87.31813888888888,D,Talk,VOICE OF NORTHWEST INDIANA,Langford Broadcast LLC,0.225,78.0,,,,,,,,143915.0
FM,WCKO,88.3,KOKOMO,IN,,40.50555555555555,86.14527777777778,A,Contemporary Christian,K-LOVE,"K-LOVE, INC.",0.54,68.0,,,,,,,,766558.0
FM,WFNF,92.7,BRAZIL,IN,,39.51225,87.13836111111112,A,Rock,92.7 THE ROCK,JKO Media Group,6.0,91.0,,,,,,,,19670.0
FM,WGIP,89.9,GREENSBURG,IN,,39.33838888888889,85.48497222222223,A,Religious Teaching,TODAY'S CHRISTIAN MUSIC,Greensburg Community School Corporation,0.3,38.43,,,,,,,,173436.0
FM,WGRM-LP,98.9,Columbus,IN,,39.25194444444445,85.94111111111111,LP100,Religious,RADIO TORRE FUERTE,,0.1,1.0,,,,,,,,778273.0
FM,WHCG,91.3,SEELYVILLE,IN,,39.45616666666667,87.214,A,Religious Teaching,WHCG 91.3 FM - THE BLESSING,,0.3,27.0,,,,,,,,768391.0
FM,WICV,89.7,RUSSIAVILLE,IN,,40.41636111111111,86.27175,A,,,"Community Broadcasting, Inc.",2.2,54.0,,,,,,,,766555.0
FM,WLGK,94.7,NEW ALBANY,IN,,38.283944444444444,85.90466666666667,A,Contemporary Christian,94.7 THE SOUND,"WORD BROADCASTING NETWORK, INC.",3.3,120.0,,,,,,,,48371.0
FM,WLHL,90.5,MIDDLETOWN,IN,,40.15611111111111,85.43,B1,,,Vanguard Association of Sunbelt Colleges Corporation,17.0,94.0,,,,,,,,768569.0
FM,WLPU,91.1,BATTLE GROUND,IN,,40.52222222222222,86.9825,A,,,Vanguard Association of Sunbelt Colleges Corporation,0.9,71.0,,,,,,,,768668.0
FM,WNAP-LP,107.3,MUNCIE,IN,,40.18888888888888,85.39555555555556,LP100,Southern Gospel,,"JACKSON PARK BAPTIST CHURCH, INC.",0.1,29.0,,,,,,,,124356.0
FM,WONS,91.5,NEW CASTLE,IN,,39.93211111111111,85.41680555555556,A,,,"The Gospel Light Ministries, Inc.",0.2,12.0,,,,,,,,767364.0
FM,WPWM,90.9,WHEATFIELD,IN,,41.09916666666667,86.90055555555556,A,,VCY AMERICA,,1.8,76.0,,,,,,,,766956.0
FM,WRRI,91.9,MONTICELLO,IN,,40.7325,86.72444444444444,A,,REJOICE RADIO,"Pensacola Christian College, Inc.",0.22,85.0,,,,,,,,767053.0
FM,WSWC,91.1,CHESTERTON,IN,,41.63491666666667,87.04980555555555,A,Religious,NORTHWEST INDIANA CHRISTIAN RADIO,,0.26,129.0,,,,,,,,767692.0
FM,WWWJ,91.3,ROCHESTER,IN,,41.05175,86.20033333333333,A,,,Liberty Baptist Church,2.2,33.0,,,,,,,,766980.0
FM,WXPD,91.7,WHEATFIELD,IN,,41.05555555555555,87.06666666666666,A,,,CSN INTERNATIONAL,1.7,103.0,,,,,,,,766380.0
FM,WYRX-FM,94.3,PLYMOUTH,IN,,41.52838888888889,86.26611111111112,B1,Rock,WIRX SUPERSTATION,"WSJM, INC.",11.5,150.0,,,,Lions,,,,12999.0
FM,WZMM,88.9,OOLITIC,IN,,38.98725,86.45858333333334,A,Southern Gospel,MY JOY 88.9,THE MOODY BIBLE INSTITUTE OF CHICAGO,5.2,78.0,,,,,,,,92257.0
FM,WZOW-FM,97.7,GOSHEN,IN,,41.603722222222224,85.92941666666667,A,Classic Rock,CLASSIC ROCK 97.7 ZOW,"SOUND MANAGEMENT, LLC",2.9,146.8,,,,,,,,49558.0
