band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K201JF,88.1,BELOIT,KS,,39.40222222222222,98.12838888888888,D,Contemporary Christian,AMERICAN FAMILY RADIO,AMERICAN FAMILY ASSOCIATION,0.25,37.0,,,,,,,,87483.0
FM,K208GR,89.5,WICHITA,KS,,37.71805555555556,97.31833333333333,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.25,,,,,,,,,93158.0
FM,K222DP,92.3,LARNED,KS,,38.165,99.10166666666666,D,Classic Hits,"LARNED’S NEWS, SPORTS AND CLASSIC HITS","AD ASTRA PER ASPERA BROADCASTING, INC",0.25,,,,,,,,Royals,82710.0
FM,K224FX,92.7,ASHLAND,KS,,37.19361111111111,99.79638888888888,D,News/Classical,HIGH PLAINS PUBLIC RADIO,"KANZA SOCIETY, INC.",0.25,85.7,,,,,,,,33368.0
FM,K233DW,94.5,WAKEENEY,KS,,39.02333333333333,99.88733333333334,D,Contemporary Christian/Religious Teaching,YOU'RE WITH FAMILY,"GREAT PLAINS CHRISTIAN RADIO, INC.",0.17,68.5,,,,,,,,142235.0
FM,K242DH,96.3,LINDSBORG,KS,,38.57055555555556,97.64141666666667,D,Contemporary Christian/Religious Teaching,RADIO FOR LIFE,"Ad Astra per Aspera Broadcasting, Inc.",0.25,,,,,,,,,142242.0
FM,KADC,91.1,ROSSVILLE,KS,,39.00611111111111,96.04944444444445,A,Religious Teaching,RADIO VIDA,"Radio Vida Kansas, Inc.",1.0,63.0,,,,,,,,768167.0
FM,KECV,91.3,MADISON,KS,,38.13333333333333,96.14194444444445,C3,,,"Community Broadcasting, Inc.",5.1,127.0,,,,,,,,764388.0
FM,KHBN,91.3,BELOIT,KS,,39.395916666666665,98.17975,A,Religious,AMERICAN CHRISTIAN RADIO,"American Christian Radio, Inc.",6.0,65.0,,,,,,,,767524.0
FM,KHLC,89.3,HILL CITY,KS,,39.26583333333333,99.83361111111111,A,Contemporary Christian,PRAISE RADIO FOR MIDWEST KANSAS,,4.0,115.0,,,,,,,,767451.0
FM,KLOE-FM,102.5,GOODLAND,KS,,39.39,101.56016666666666,C1,Classic Rock,THE ROCKET 102.5,"Kansas Broadcast Company, LLC",100.0,216.0,,,,,,,,18076.0
FM,KPBL,89.9,BELOIT,KS,,39.469166666666666,98.09388888888888,A,,,,0.1,23.0,,,,,,,,764000.0
FM,KOGR-LP,98.5,Minneapolis,KS,,39.12722222222222,97.70444444444445,LP100,Variety,,Oak Grove Radio Association,0.1,11.0,,,,,,,,780037.0
FM,KOZA,96.9,EFFINGHAM,KS,,39.26138888888889,95.65583333333333,C2,Hot AC,96-9 THE PULSE,"KNZA, Inc.",50.0,114.0,,,,,,,,164159.0
FM,KPSR,89.3,SMITH CENTER,KS,,39.79138888888889,98.77222222222223,A,,,,0.33,83.0,,,,,,,,767452.0
FM,KQUI,89.3,ULYSSES,KS,,37.58388888888889,101.36305555555555,A,,,,0.25,28.0,,,,,,,,768466.0
FM,KSWT-LP,89.7,TOPEKA,KS,,38.99638888888889,95.67527777777778,LP100,Religious,,,0.1,14.0,,,,,,,,788353.0
FM,KTWI,88.5,Liberal,KS,,37.03897222222222,100.94002777777779,A,,,,0.1,33.0,,,,,,,,768457.0
FM,K202BP,88.3,"BELLAIRE, ETC.",KS,,39.80138888888889,98.67397222222223,D,Contemporary Christian,PRAISE RADIO FOR MIDWEST KANSAS,U.S. CENTER CHRISTIAN BROADCASTERS ASSOCIATION,0.078,62.0,,,,,,,,68680.0
FM,K203EU,88.5,HUTCHINSON,KS,,38.04922222222222,98.01255555555555,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.17,,,,,,,,,77282.0
FM,K203FB,88.5,HAYS,KS,,38.95805555555556,99.35233333333333,D,Contemporary Christian/Religious Teaching,YOU'RE WITH FAMILY,"GREAT PLAINS CHRISTIAN RADIO, INC.",0.14,,,,,,,,,94131.0
FM,K204CD,88.7,TRIBUNE,KS,,38.46527777777778,101.91569444444445,D,Contemporary Christian/Religious Teaching,YOU'RE WITH FAMILY,"GREAT PLAINS CHRISTIAN RADIO, INC.",0.25,,,,,,,,,25115.0
