band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W221EU,92.1,ELKTON,KY,TODD,36.81333333333333,87.11166666666666,D,CLASSIC HITS,,"HAM BROADCASTING COMPANY, INC.",0.25,,,,,,,,,141101.0
FM,W239DC,95.7,STANTON,KY,POWELL,37.908166666666666,83.86180555555555,D,SOUTHERN GOSPEL,MOUNTAIN GOSPEL,THE KENTUCKY MOUNTAIN HOLINESS ASSOCIATION,0.25,,,,,,,,,200234.0
FM,W294DB,106.7,GLASGOW,KY,BARREN,36.98388888888889,85.87222222222222,D,VARIETY HITS,JACK FM,"NEWBERRY BROADCASTING, INC.",0.25,,,,,,,,,141800.0
FM,WBGN,102.3,MUNFORDVILLE,KY,HART,37.17766666666667,85.92008333333334,A,VARIETY HITS,JACK FM,"NEWBERRY BROADCASTING, INC.",4.9,111.0,,,,,,Predators,,61047.0
FM,WEKM-FM,88.1,MAYSVILLE,KY,BROWN,38.68758333333333,83.81291666666667,A,,,EASTERN KENTUCKY UNIVERSITY,2.95,68.0,,,,,,,,763940.0
FM,WHCV,89.9,HAZARD,KY,PERRY,37.28377777777778,83.23144444444445,A,RELIGIOUS TEACHING,WHCV 89.9 FM -THE BLESSING,,0.5,-16.0,,,,,,,,768396.0
FM,WLHO-LP,103.7,HAWESVILLE,KY,HANCOCK,37.900444444444446,86.77555555555556,LP100,,,,0.1,27.0,,,,,,,,785629.0
FM,WNUA,88.5,WILLIAMSTOWN,KY,GRANT,38.620555555555555,84.57083333333333,A,,,VANGUARD ASSOCIATION OF SUNBELT COLLEGES CORPORATION,0.4,130.0,,,,,,,,768624.0
FM,WTRL,88.1,HODGENVILLE,KY,LARUE,37.48194444444445,85.68805555555556,A,CONTEMPORARY CHRISTIAN,,,0.75,86.0,,,,,,,,767558.0
FM,WUIC,88.1,HARLAN,KY,HARLAN,36.80138888888889,83.37694444444443,C2,RELIGIOUS,WUIC 88.1 FM,"TORSTRICK MINISTRIES, INC.",2.5,440.0,,,,,,,,762690.0
FM,WYNX,91.7,OLIVE HILL,KY,CARTER,38.284305555555555,83.20438888888889,A,,,"BELIEVERS IN JESUS CHRIST, INC.",0.023,101.0,,,,,,,,765473.0
FM,KYAI,89.3,MCKEE,KY,CLAY,37.07508333333334,83.82047222222222,C1,CONTEMPORARY CHRISTIAN,AIR1,"K-LOVE, INC.",50.0,165.0,,,,,,,,92949.0
FM,W201DD,88.1,CENTRAL CITY,KY,MUHLENBERG,37.291694444444445,87.10830555555555,D,CONTEMPORARY CHRISTIAN,WAY FM,HOPE MEDIA GROUP,0.027,58.9,,,,,,,,147296.0
FM,W202AZ,88.3,FRANKFORT,KY,FRANKLIN,38.212583333333335,84.88522222222223,D,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.038,,,,,,,,,82908.0
FM,W203BI,88.5,BOWLING GREEN,KY,WARREN,36.96033333333334,86.54694444444445,D,RELIGIOUS TEACHING,RADIO BY GRACE,FAMILY FIRST,0.013,110.4,BOWLING GREEN,167.0,"259,800",,,,,64266.0
FM,W204CP,88.7,WESTPORT,KY,OLDHAM,38.45644444444445,85.4243888888889,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,156.9,LOUISVILLE,56.0,"1,063,200",,,,,106487.0
FM,W206BB,89.1,MADISONVILLE,KY,HOPKINS,37.36311111111111,87.51555555555555,D,SOUTHERN GOSPEL/RELIGIOUS TEACHING,THE VOICE OF HEARTLAND MINISTRIES,"PENNYRILE CHRISTIAN COMMUNITY, INC.",0.019,98.6,,,,,,,,93979.0
FM,W207AO,89.3,PAINTSVILLE-VAN LEAR,KY,JOHNSON,37.79397222222222,82.79986111111111,D,VARIETY,MOUNTAIN COMMUNITY RADIO 88.7,"APPALSHOP, INCORPORATED",0.01,120.7,,,,,,,,2471.0
FM,W207BV,89.3,PIKEVILLE,KY,PIKE,37.49175,82.51986111111111,D,VARIETY,MOUNTAIN COMMUNITY RADIO 88.7,"APPALSHOP, INCORPORATED",0.01,140.6,,,,,,,,2479.0
FM,W207CG,89.3,BOWLING GREEN,KY,WARREN,37.04588888888889,86.36472222222221,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.027,,BOWLING GREEN,167.0,"259,800",,,,,140701.0
FM,W208BG,89.5,PRESTONSBURG,KY,MINGO,37.89425,82.30680555555556,D,VARIETY,MOUNTAIN COMMUNITY RADIO 88.7,"APPALSHOP, INCORPORATED",0.09,-4.5,,,,,,,,2473.0
FM,W212BZ,90.3,BRENTWOOD,KY,HOPKINS,37.38088888888889,87.46777777777778,D,CONTEMPORARY CHRISTIAN,WAY FM,HOPE MEDIA GROUP,0.019,87.2,,,,,,,,140468.0
FM,W213BP,90.5,SOUTH PORTSMOUTH,KY,SCIOTO,38.722861111111115,82.99877777777778,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,,HUNTINGTON-ASHLAND,169.0,"257,100",,,,,89379.0
