band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K244GA,96.7,LAKE CHARLES,LA,,30.22122222222222,93.31136111111111,D,Southern Gospel,THE GOSPEL HIWAY 88.5,"CCS RADIO, INC.",0.115,,,,,,,,,147252.0
FM,K271DG,102.1,BATON ROUGE,LA,,30.380666666666666,91.05458333333333,D,Hot AC,LAGNIAPPE 103.7 & 640,Power 102.1 FM LLC,0.25,,,,,,,,,147048.0
FM,KDCI,89.1,DELHI,LA,,32.46277777777778,91.55361111111111,A,,,Environmental Education Center for Conservation of Natural Resources,1.5,46.0,,,,,,,,763518.0
FM,KDRD,91.5,DE RIDDER,LA,,30.636305555555555,93.04266666666666,C3,Religious Teaching,KHCB - KEEPING HIM CLOSE BY,"HOUSTON CHRISTIAN BROADCASTERS, INC.",20.5,110.0,,,,,,,,86920.0
FM,KLRZ-FM1,100.3,NEW ORLEANS,LA,,29.90636111111111,90.03947222222222,C1,Urban Contemporary,STREETZ 100.3,,0.7,,,,,,,,,791584.0
FM,KMJZ,106.1,MONROE,LA,,32.66013888888889,92.08763888888889,C0,Urban AC,MAGIC 106.1,Warrior Media LLC,100.0,310.0,,,,,,,,50405.0
FM,KNIO-LP,105.7,NEW IBERIA,LA,,29.991666666666667,91.81666666666666,LP100,Rhythm And Blues,,Community Youth and Media Inc.,0.1,29.0,,,,,,,,778200.0
FM,KQXP-LP,104.1,Rayne,LA,,30.25713888888889,92.16066666666667,LP100,,,,0.023,61.0,,,,,,,,787923.0
FM,KYEA-LP,96.5,Ridgecrest,LA,,31.618833333333335,91.55183333333333,LP100,,,,0.1,26.0,,,,,,,,787860.0
FM,W249EK,97.7,HAMMOND,LA,,30.50888888888889,90.50527777777778,D,Country,,"North Shore Broadcasting Company, Inc.",0.25,,,,,,,,,152562.0
FM,WAKN-LP,94.7,MONROE,LA,,32.48222222222223,92.08055555555555,LP100,Religious,RADIO COMPASION,,0.1,9.0,,,,,,,,783332.0
FM,WCWD,89.5,Covington,LA,,30.573333333333334,90.21027777777778,A,Classical,CLASSICAL 104.9,,5.9,94.0,,,,,,,,767498.0
FM,WRNV,91.1,NORCO,LA,,29.809583333333332,90.42147222222222,C1,Contemporary Christian/Religious Teaching,RADIO NUEVA VIDA,"K-LOVE, INC.",60.0,64.0,,,,,,,,89686.0
FM,K201FO,88.1,JENNINGS,LA,,30.191861111111113,92.62152777777777,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.25,,,,,,,,,92353.0
FM,K204DL,88.7,NATCHITOCHES,LA,,31.763333333333332,93.06333333333333,D,Religious Teaching,KEEPING HIM CLOSE BY,"HOUSTON CHRISTIAN BROADCASTERS, INC.",0.17,,,,,,,,,92658.0
FM,K206DU,89.1,LAFAYETTE,LA,,30.20497222222222,92.07866666666666,D,Religious Teaching,FAMILY RADIO,"LOAM MEDIA, INC.",0.099,34.3,Lafayette,113.0,"480,200",,,,,21080.0
FM,K208DW,89.5,DE RIDDER,LA,,30.879083333333334,93.29044444444445,D,Religious Teaching,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.02,46.0,,,,,,,,93101.0
FM,K208FC,89.5,ARABI,LA,,29.932111111111112,90.04438888888889,D,Religious Teaching,RADIO BY GRACE,"RADIO BY GRACE, INC.",0.25,,New Orleans,50.0,"1,264,100",,,,,153127.0
FM,K208FW,89.5,HOUMA,LA,,29.60688888888889,90.69508333333334,D,Contemporary Christian,LIFESONGS 89.1,PROVIDENCE EDUCATIONAL FOUNDATION,0.2,,,,,,,,,84546.0
FM,K211DY,90.1,NATCHITOCHES,LA,,31.790666666666667,93.08166666666666,D,Religious Teaching,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.099,62.0,,,,,,,,93102.0
FM,K214BE,90.7,"SHREVEPORT, ETC.",LA,,32.49933333333333,93.751,D,Contemporary Christian,MIRACLE 89.1,SPRING QUEST,0.25,102.7,Shreveport,148.0,"337,500",,,,,18787.0
FM,K214CE,90.7,GRAMBLING,LA,,32.51569444444444,92.72430555555556,D,News/Talk/Classical,RED RIVER RADIO NETWORK,"BD SUPERVISORS, LOUISIANA STATE UNIVERSITY & A&M COLLEGE",0.105,71.0,,,,,,,,38612.0
FM,K216EX,91.1,MINDEN,LA,,32.62152777777778,93.27655555555556,D,Religious Teaching,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.038,48.8,Shreveport,148.0,"337,500",,,,,93095.0
FM,K217EC,91.3,MANY,LA,,31.53666666666667,93.42305555555556,D,,,"FAMILY WORSHIP CENTER CHURCH, INC.",0.019,91.0,,,,,,,,122017.0
FM,K217FD,91.3,ALEXANDRIA,LA,,31.30686111111111,92.40347222222223,D,Religious Teaching,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.25,,,,,,,,,141279.0
FM,K218EY,91.5,MORGAN CITY,LA,,29.657999999999998,91.2953888888889,D,Religious Teaching,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.16,108.0,,,,,,,,93099.0
FM,K220EU,91.9,ERWINVILLE,LA,,30.616583333333335,91.34122222222221,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.15,,Baton Rouge,77.0,"704,400",,,,,21099.0
FM,K220ID,91.9,GRAYSON,LA,,32.01766666666666,92.10208333333333,D,Religious Teaching,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.01,90.0,,,,,,,,121819.0
FM,K221GT,92.1,RUSTON,LA,,32.53916666666667,92.68111111111112,D,Contemporary Christian,AIR1,"K-LOVE, INC.",0.17,,,,,,,,,144594.0
FM,K223BI,92.5,GREENWOOD,LA,,32.451,93.94769444444445,D,Contemporary Christian,MIRACLE 89.1,"BLACK MEDIA WORKS, INC.",0.18,77.7,Shreveport,148.0,"337,500",,,,,154364.0
