band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W224EM,92.7,ANNAPOLIS,MD,ANNE ARUNDEL,38.98416666666667,76.5225,D,CLASSIC HITS,106.9 WCTR,"COLONIAL RADIO GROUP OF WILLIAMSPORT, LLC",0.075,85.9,,,,,,,,154276.0
FM,W228ER,93.5,ANNAPOLIS,MD,ANNE ARUNDEL,38.97036111111111,76.50722222222223,D,ADULT ALTERNATIVE,93.5 WRNR,CORTONA MEDIA LLC,0.24,119.4,,,,,,,,154359.0
FM,W261EE,100.1,CHESAPEAKE CITY,MD,CECIL,39.59194444444445,75.94444444444444,D,CLASSIC HITS,WHGM GOLD,"SWEET TEA RADIO, LLC",0.02,,,,,,,,,154145.0
FM,WEMA-LP,94.3,FORT WASHINGTON,MD,PRINCE GEORGE'S,38.74127777777778,76.99608333333333,LP100,,,"STRATEGIC MUSIC PARTNERSHIPS, INC.",0.096,13.0,,,,,,,,779280.0
FM,WFHW,90.3,CAMBRIDGE,MD,TALBOT,38.64211111111111,76.05805555555555,A,,,,1.75,91.0,,,,,,,,765908.0
FM,WJOS-LP,103.1,LITTLE ORLEANS,MD,MORGAN,39.693888888888885,78.38166666666666,LP100,,,,0.017,72.0,,,,,,,,781585.0
FM,WKGI,91.5,DEER PARK,MD,GARRETT,39.41,79.28777777777778,A,,,"BROADCAST EDUCATIONAL COMMUNICATIONS, INC.",0.68,203.0,,,,,,,,768113.0
FM,WLDW,105.5,SALISBURY,MD,WICOMICO,38.407333333333334,75.59880555555556,A,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",2.1,117.0,,,,,,,,28167.0
FM,WLNO,104.1,WALDORF,MD,PRINCE GEORGE'S,38.618833333333335,76.84386111111111,B,SPANISH HITS,LATINO 104.1,"RADIO ONE LICENSES, LLC",20.0,244.0,,,,,,,,74212.0
FM,WPRS,92.7,PRINCE FREDERICK,MD,PRINCE GEORGE'S,38.64980555555555,76.77341666666666,A,GOSPEL MUSIC,PRAISE 92.7 & 95.9,"RADIO ONE LICENSES, LLC",2.15,169.0,,,,,,,,43277.0
