band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,WBSP,90.1,MILLINOCKET,ME,,45.71608333333334,68.79777777777778,A,,,,1.2,212.0,,,,,,,,762700.0
FM,WBSQ,91.1,MONSON,ME,,45.41694444444444,69.58416666666666,A,,,,2.7,139.0,,,,,,,,762808.0
FM,W243EU,96.5,BANGOR,ME,,44.65841666666667,68.60697222222221,D,ADULT ALTERNATIVE,MAINE`S ADULT ALTERNATIVE 103.1 & 98.3,"J. HANSON COMPANY, INC.",0.25,124.8,,,,,,,,145024.0
FM,WBEM,90.7,EASTPORT,ME,,45.02916666666667,67.32333333333332,C3,CLASSICAL,MAINE PUBLIC CLASSICAL,,4.9,163.0,,,,,,,,762698.0
FM,WBEO,91.3,BETHEL,ME,,44.42833333333333,70.77888888888889,A,NEWS/TALK,MAINE PUBLIC RADIO,MAINE PUBLIC BROADCASTING CORPORATION,1.5,4.0,,,,,,,,762449.0
FM,WBSJ,88.3,FRENCHVILLE,ME,,47.258361111111114,68.55783333333333,C2,,,MAINE PUBLIC BROADCASTING CORPORATION,25.0,101.0,,,,,,,,762381.0
FM,WCEC,90.3,CARIBOU,ME,,46.8675,68.19444444444444,C3,RELIGIOUS TEACHING,AROOSTOOK CHRISTIAN TALK RADIO,CHRISTIAN EDUCATION CENTER,7.0,103.0,,,,,,,,763718.0
FM,WFAS,88.7,FORT FAIRFIELD,ME,,46.550749999999994,67.80908333333333,C3,CLASSICAL,MAINE PUBLIC CLASSICAL,MAINE PUBLIC BROADCASTING CORPORATION,1.8,331.0,,,,,,,,762438.0
FM,WGYS,91.9,RUMFORD,ME,,44.53725,70.45869444444445,A,,,,2.0,-125.0,,,,,,,,767079.0
FM,WISF,90.7,ISLAND FALLS,ME,,46.024138888888885,68.25216666666667,A,,,LIGHT OF LIFE MINISTRIES,0.3,145.0,,,,,,,,768784.0
FM,WJAH-LP,99.3,UNION,ME,,44.234722222222224,69.28472222222221,LP100,RELIGIOUS,,,0.1,-7.0,,,,,,,,778366.0
FM,WMHD,89.7,GREENVILLE,ME,,45.41694444444444,69.58416666666666,A,NEWS/TALK,MAINE PUBLIC RADIO,MAINE PUBLIC BROADCASTING CORPORATION,2.2,139.0,,,,,,,,762375.0
FM,WMPF-FM,91.1,RUMFORD,ME,,44.54555555555555,70.55666666666666,A,,,RIVER VALLEY COMMUNITY ASSOCIATION,0.3,-117.0,,,,,,,,767693.0
FM,WRMO,89.5,HOWLAND,ME,,45.344722222222224,68.50777777777778,A,,,LIGHT OF LIFE MINISTRIES INC.,1.5,135.0,,,,,,,,768737.0
FM,WSVV,101.7,SEARSPORT,ME,,44.58088888888889,68.89586111111112,B1,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",2.65,306.0,,,,,,,,59505.0
FM,WXNZ,90.7,SKOWHEGAN,ME,,44.71330555555556,69.7268888888889,A,,,"WESSERUNSETT ARTS COUNCIL, INC.",0.1,200.0,,,,,,,,762544.0
FM,WYTO,91.1,TURNER,ME,,44.25794444444445,70.25766666666667,A,,,CALVARY BAPTIST CHURCH OF TURNER,0.75,-12.0,,,,,,,,766537.0
FM,WZVV,102.1,DEXTER,ME,,45.0445,69.24975,C2,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",27.0,205.0,,,,,,,,28685.0
FM,W217CJ,91.3,PORTLAND,ME,,43.65925,70.26258333333334,D,SOUTHERN GOSPEL,GOD'S COUNTRY,"LIGHT OF LIFE MINISTRIES, INC.",0.25,,"PORTLAND, ME",93.0,"612,700",,,,,145419.0
FM,W221BO,92.1,ELLSWORTH,ME,,44.52063888888889,68.39336111111112,D,CHRISTIAN CHR + ROCK,105.7 SOLUTION FM,"LIGHTHOUSE RADIO NETWORK, INC.",0.01,127.6,,,,,,,,147879.0
FM,W223BH,92.5,PORTLAND,ME,,43.654777777777774,70.26363888888889,D,SPORTS,BIG JAB,"ATLANTIC COAST RADIO, LLC",0.175,57.0,"PORTLAND, ME",93.0,"612,700",,Celtics,,,145407.0
FM,W227BE,93.3,ORONO,ME,,44.84438888888889,68.80186111111111,D,CHRISTIAN CHR + ROCK,105.7 SOLUTION FM,"LIGHTHOUSE RADIO NETWORK, INC.",0.17,,BANGOR,211.0,"171,400",,,,,157973.0
FM,W228EE,93.5,BIDDEFORD,ME,,43.54397222222222,70.40394444444445,D,SOFT AC,107.1 - 93.5 THE BAY,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",0.25,,"PORTLAND, ME",93.0,"612,700",,,,,200011.0
FM,W229AT,93.7,HODGDON,ME,,46.03919444444444,67.84055555555555,D,RELIGIOUS TEACHING,MAINE'S' HARBOR OF HOPE,"LIGHTHOUSE RADIO NETWORK, INC.",0.013,95.7,,,,,,,,139333.0
FM,W231CH,94.1,BANGOR,ME,,44.847166666666666,68.67872222222223,D,ADULT CONTEMPORARY,THE MIX,"PORT BROADCASTING, LLC",0.25,,BANGOR,211.0,"171,400",,,,,85386.0
FM,W234CG,94.7,BRUNSWICK,ME,,43.903416666666665,70.03644444444444,D,SOUTHERN GOSPEL,GOD'S COUNTRY,"LIGHT OF LIFE MINISTRIES, INC.",0.013,,"PORTLAND, ME",93.0,"612,700",,,,,145339.0
FM,W234DQ,94.7,WATERVILLE,ME,,44.47675,69.67733333333334,D,SOUTHERN GOSPEL,GOD`S COUNTRY 88.9,"LIGHT OF LIFE MINISTRIES, INC.",0.25,,AUGUSTA-WATERVILLE,243.0,"109,400",,,,,145328.0
FM,W236DP,95.1,BALD MOUNTAIN,ME,,44.65694444444444,68.60638888888889,D,ADULT CONTEMPORARY,THE MIX,"PORT BROADCASTING, LLC",0.25,,,,,,,,,201411.0
