band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W205CX,88.9,CARO,MI,,43.323055555555555,83.37694444444443,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.013,107.7,,,,,,,,91309.0
FM,W222DC,92.3,IRONWOOD,MI,,46.42155555555555,90.24972222222222,D,Country,REAL COUNTRY  US 59,Michigan Civic Media Alliance LLC,0.25,,,,,,Bucks,,Brewers,202479.0
FM,W236DZ,95.1,BIG RAPIDS,MI,,43.663888888888884,85.482,D,Contemporary Christian,SMILE FM MICHIGAN'S POSITIVE HITS,Smile FM,0.25,77.5,,,,,,,,153153.0
FM,W254DY,98.7,POWERS,MI,,45.65316388888889,87.52327222222222,D,Religious Teaching,WISCONSIN'S RADIO VOICE OF THE MASTER,"WRVM, INC.",0.099,34.7,,,,,,,,142649.0
FM,W256EE,99.1,ESCANABA,MI,,45.92916666666667,87.26972222222223,D,Country,KX COUNTRY,"906 Delta, LLC",0.25,,,,,Lions,,,,20619.0
FM,W300EJ,107.9,BENTON HARBOR,MI,,42.08522222222223,86.44444444444444,D,Classic Rock,107.9 THE LAKE,"WSJM, INC.",0.25,,,,,,,,,156712.0
FM,WDRK,89.5,Laurium,MI,,47.25361111111111,88.43333333333334,A,,,Full Potential Ministry,1.0,144.0,,,,,,,,767938.0
FM,WDRZ,89.1,Shelby,MI,,43.67611111111111,86.2388888888889,A,Instrumental Music,,Full Potential Ministry,0.45,199.0,,,,,,,,767953.0
FM,WFNT,88.7,Adrian,MI,,41.904777777777774,84.07805555555555,A,Contemporary Christian,SMILE FM MICHIGAN'S POSITIVE HITS,Smile FM,0.5,51.0,,,,,,,,768776.0
FM,WGNP,88.7,PORT SANILAC,MI,,43.42472222222222,82.66555555555556,A,,,,0.25,59.0,,,,,,,,767358.0
FM,WGTM,90.3,MANISTIQUE,MI,,45.96797222222222,86.24533333333333,A,,,,1.0,13.0,,,,,,,,767356.0
FM,WHBS,96.3,HOUGHTON,MI,,47.03638888888889,88.69527777777778,C1,Adult Contemporary,96.3 HOUGHTON’S BREEZE,,37.0,226.0,,,,,,,,762384.0
FM,WHFJ,88.9,HOUGHTON,MI,,47.03638888888889,88.69527777777778,C3,,,,2.0,191.0,,,,,,,,767355.0
FM,WHHQ-LP,97.7,Escanaba,MI,,45.74472222222222,87.05777777777777,LP100,,,,0.1,9.0,,,,,,,,787926.0
FM,WHMU-LP,95.1,Holland,MI,,42.785555555555554,86.10666666666665,LP100,Religious,RADIO ONDAS DE AMOR,Ministerio Ondas de Amor,0.1,11.0,,,,,,,,782300.0
FM,WHSI,88.9,Litchfield,MI,,41.894888888888886,84.66480555555556,A,Classical/News,SMILE FM MICHIGAN'S POSITIVE HITS,Smile FM,1.0,116.0,,,,,,,,766878.0
FM,WHSR,88.7,OWOSSO,MI,,43.06927777777778,84.06269444444445,B1,Religious,STRONG TOWER RADIO,,10.0,55.0,,,,,,,,767139.0
FM,WHWM,88.5,ROCKLAND,MI,,46.69972222222222,89.23166666666667,A,Religious Teaching,WITNESSING HIS WONDERFUL LOVE,"Gospel Opportunities, Inc.",0.9,132.0,,,,,,,,767787.0
FM,WHWT,89.3,IRONWOOD,MI,,46.479111111111116,90.14766666666668,A,Religious Teaching,WITNESSING HIS WONDERFUL LOVE,"Gospel Opportunities, Inc.",0.5,118.0,,,,,,,,766454.0
FM,WJCG,89.9,GREENVILLE,MI,,43.210861111111114,85.26641666666667,B1,Religious Teaching,STRONG TOWER RADIO,,15.0,89.0,,,,,,,,767354.0
FM,WJML,106.3,THOMPSONVILLE,MI,,44.63527777777778,85.76488888888889,A,Variety,WINE COUNTRY R./THE GRATEFUL DEAD STATION,MITTEN NEWS LLC,2.2,116.0,,,,,,,,10809.0
FM,WKMH,102.5,HUDSON,MI,,41.88419444444445,84.52327777777778,A,Contemporary Christian,K-LOVE,"K-LOVE, INC.",6.0,100.0,,,,,,,,22650.0
FM,WLWP,89.1,BRIDGMAN,MI,,41.990027777777776,86.52980555555555,A,Religious Teaching,STRONG TOWER RADIO,,2.0,93.0,,,,,,,,767138.0
FM,WMPC-FM,88.5,Davison,MI,,42.99227777777778,83.46202777777778,A,Contemporary Christian/Religious Teaching,PRAISE & WORSHIP,THE CALVARY BIBLE CHURCH OF LAPEER,1.0,25.0,,,,,,,,766930.0
FM,WNFH,98.9,VASSAR,MI,,43.29891666666666,83.50938888888889,A,Contemporary Christian,HOPE FM,"WONDERFUL NEWS RADIO, INC.",3.0,100.0,,,,,,,,53297.0
FM,WPHO,89.7,Burtchville,MI,,43.06888888888889,82.48,A,Contemporary Christian,SMILE FM,Smile FM,0.23,71.0,,,,,,,,768289.0
FM,WRRA-FM,97.5,BRIDGMAN,MI,,41.99005555555556,86.52974999999999,A,Classic Rock,QUALITY ROCK THE LAKE,WSJM INC,3.8,126.0,,,,,,,,17734.0
FM,WSHG,91.7,SOUTH HAVEN,MI,,42.40230555555556,86.258,A,Religious Teaching,STRONG TOWER RADIO,,0.15,45.0,,,,,,,,767359.0
FM,WTOU,96.5,PORTAGE,MI,,42.215333333333334,85.61027777777777,A,Urban AC,96.5 FM WTOU,"MIDWEST COMMUNICATIONS, INC",6.0,76.0,,,,,,,,67775.0
FM,WUPC,89.1,IRON MOUNTAIN,MI,,45.82083333333334,88.04166666666667,C2,,,,15.0,155.0,,,,,,,,763675.0
FM,WUWU-LP,100.1,FRANKFORT,MI,,44.64722222222222,86.21166666666667,LP100,Variety,,Elberta Labor Heritage Center,0.006,119.0,,,,,,,,778340.0
FM,WVBI,91.9,ST. JAMES,MI,,45.686499999999995,85.5273888888889,A,,,,3.0,46.0,,,,,,,,767049.0
FM,WVEX-LP,105.3,MIDLAND,MI,,43.612500000000004,84.22694444444444,LP100,Talk,,,0.1,6.0,,,,,,,,787836.0
FM,WWRW,98.9,Big Rapids Township,MI,,43.683638888888886,85.58227777777778,A,Classic Rock,THE NEW REWIND 98.9,"Mentor Partners, Inc.",3.5,133.0,,,,,,,,762506.0
FM,WYTZ-FM,99.9,BENTON HARBOR,MI,,41.96172222222223,86.35058333333333,B,Country,Y-COUNTRY,"WSJM, INC.",50.0,124.0,,,,,,,,72175.0
FM,KDTI,90.3,ROCHESTER HILLS,MI,,42.678638888888884,83.12438888888889,A,Contemporary Christian,K-LOVE,"K-LOVE, INC.",0.037,53.0,Detroit,13.0,"3,868,800",,,,,91354.0
FM,W201CF,88.1,BALDWIN,MI,,43.900555555555556,85.7595,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.055,,,,,,,,,91284.0
FM,W204AQ,88.7,NEWBERRY,MI,,46.31469444444444,85.56261111111111,D,Contemporary Christian/Religious Teaching,THE PROMISE FM,NORTHERN CHRISTIAN RADIO,0.011,89.0,,,,,,,,37810.0
FM,W212CL,90.3,BENTON HARBOR,MI,,42.09780555555556,86.43752777777779,D,Religious Teaching,REJOICE RADIO,"PENSACOLA CHRISTIAN COLLEGE, INC.",0.17,,,,,,,,,78882.0
FM,W214AY,90.7,WALKER,MI,,42.97558333333333,85.79113888888888,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.013,,Grand Rapids,68.0,"822,900",,,,,89602.0
FM,W214CA,90.7,MUSKEGON,MI,,43.218361111111115,86.24477777777778,D,Religious Teaching,REJOICE RADIO,"PENSACOLA CHRISTIAN COLLEGE, INC.",0.013,,Muskegon,225.0,"149,900",,,,,84429.0
FM,W215CH,90.9,GRAND LEDGE,MI,,42.73280555555556,84.55358333333334,D,,,"K-LOVE, INC.",0.019,,Lansing-East Lansing,127.0,"423,000",,,,,148794.0
FM,W216BF,91.1,MANISTIQUE,MI,,46.10969444444444,86.23652777777778,D,Religious Teaching,WITNESSING HIS WONDERFUL LOVE,"GOSPEL OPPORTUNITIES, INC.",0.013,126.0,,,,,,,,24693.0
FM,W216BX,91.1,BENTON HARBOR,MI,,42.08530555555556,86.44447222222223,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.038,56.3,,,,,,,,92626.0
FM,W217CG,91.3,IRONWOOD,MI,,46.456611111111116,90.16655555555556,D,Religious Teaching,,WEST CENTRAL MICHIGAN MEDIA MINISTRIES,0.07,,,,,,,,,144208.0
FM,W218CY,91.5,MANISTEE,MI,,44.211111111111116,86.29813888888889,D,Religious Teaching,RADIO BY GRACE,Family First,0.019,,Traverse City-Petoskey-Cadillac,178.0,"238,300",,,,,149168.0
FM,W219CA,91.7,KALAMAZOO,MI,,42.28058333333333,85.57175,D,Religious Teaching,REJOICE RADIO,"PENSACOLA CHRISTIAN COLLEGE, INC.",0.05,,Kalamazoo,183.0,"232,300",,,,,86418.0
FM,W220AJ,91.9,MANISTIQUE,MI,,45.959138888888894,86.22930555555556,D,News/Classical,PUBLIC RADIO 90,"BOARD OF CONTROL,NORTHERN MICHIGAN UNIVERSITY",0.017,49.0,,,,,,,,4263.0
FM,W221CA,92.1,GAYLORD,MI,,45.02111111111111,84.63669444444444,D,Religious Teaching,RELEVANT RADIO,"RELEVANT RADIO, INC.",0.013,62.1,Traverse City-Petoskey-Cadillac,178.0,"238,300",,,,,143504.0
FM,W222BB,92.3,BATTLE CREEK,MI,,42.31225,85.20055555555555,D,Christian CHR + Rock,THE ARBOR FM,SPRING ARBOR UNIVERSITY,0.08,36.4,,,,,,,,77819.0
FM,W222CP,92.3,SHEPHERD,MI,,43.59419444444445,84.82391666666666,D,Country,BUCK 830/92.3,LATITUDE MEDIA LLC,0.25,,,,,,,,,200676.0
FM,W222CQ,92.3,SAGINAW,MI,,43.41752777777778,83.91830555555556,D,Soft AC,104 FM THE BAY,THE MACDONALD BROADCASTING COMPANY,0.25,,Saginaw-Bay City-Midland,152.0,"327,200",,,,,200895.0
FM,W222CU,92.3,CHARLOTTE,MI,,42.553749999999994,84.80977777777777,D,Religious Teaching,,WEST CENTRAL MICHIGAN MEDIA MINISTRIES,0.25,,Lansing-East Lansing,127.0,"423,000",,,,,201492.0
FM,W224AO,92.7,HOUGHTON,MI,,47.11958333333333,88.5513611111111,D,News/Talk/Classical,MPR NEWS/CLASSICAL MPR,MINNESOTA PUBLIC RADIO,0.25,,,,,,,,,42928.0
