band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K209GE,89.7,ALEXANDRIA,MN,DOUGLAS,45.87605555555555,95.36669444444443,D,,,MINNESOTA PUBLIC RADIO,0.018,,,,,,,,,42971.0
FM,K205GG,88.9,GRAND RAPIDS,MN,ITASCA,47.21819444444445,93.54744444444444,D,RELIGIOUS TEACHING,FAITH RADIO,UNIVERSITY OF NORTHWESTERN-ST. PAUL,0.25,,,,,,,,,140253.0
FM,K214FP,90.7,FERGUS FALLS,MN,OTTER TAIL,46.29475,96.10005555555556,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.25,38.8,,,,,,,,42935.0
FM,K217GP,91.3,FAIRMONT,MN,MARTIN,43.62916666666667,94.48361111111112,D,RELIGIOUS TEACHING,FAITH 1200,UNIVERSITY OF NORTHWESTERN - ST. PAUL,0.11,39.3,,,,,,,,19773.0
FM,K236DA,95.1,BEMIDJI,MN,BELTRAMI,47.472833333333334,94.88094444444444,D,SPORTS,SKOR NORTH,"HBI RADIO BEMIDJI, LLC",0.01,20.3,,,,,,,,152419.0
FM,KAWD,88.1,DETROIT LAKES,MN,BECKER,46.82855555555556,95.82919444444444,A,,,"CHRISTIAN MEDIA, INC.",0.25,-4.0,,,,,,,,766459.0
FM,KBOR-LP,94.1,PLYMOUTH,MN,HENNEPIN,44.99733888888889,93.44890833333334,LP100,,,ADDIEUN FOUNDATION,0.03,54.0,,,,,,,,786532.0
FM,KBQA,88.1,ROCHESTER,MN,OLMSTED,43.905166666666666,92.61983333333332,A,,,,4.0,44.0,,,,,,,,767527.0
FM,KCLP,101.1,LUVERNE,MN,PIPESTONE,43.80661111111111,96.20669444444444,C1,COUNTRY,TRI-STATES' BEST COUNTRY K-101,CHRISTENSEN BROADCASTING LUV LLC,100.0,162.0,,,,,,,,39260.0
FM,KDGR,88.1,GRAND RAPIDS,MN,ITASCA,47.21819444444445,93.54744444444444,A,CONTEMPORARY CHRISTIAN,LIFE-FM 97.3,UNIVERSITY OF NORTHWESTERN - ST. PAUL,5.0,55.0,,,,,,,,763944.0
