band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K221GY,92.1,WARRENSBURG,MO,,38.775555555555556,93.72022222222222,D,,,"D & H MEDIA, LLC",0.25,,,,,,,,,200702.0
FM,K246DD,97.1,ROLLA,MO,,37.95988888888889,91.77175,D,Contemporary Christian,SPIRIT FM,University of Northwestern - St. Paul,0.14,144.4,,,,,,,,36254.0
FM,K248DR,97.5,JOPLIN,MO,,37.069500000000005,94.54716666666667,D,Country,CLASSIC COUNTRY 860 AM,"AMERICAN MEDIA INVESTMENTS, INC.",0.25,108.0,,,,,,,,140767.0
FM,K221GX,92.1,SIKESTON,MO,,36.942499999999995,89.69638888888889,D,Country,COUNTRY LEGENDS,"WITHERS BROADCASTING COMPANY OF SOUTHEAST MISSOURI, LLC",0.25,116.1,,,,,,,,153458.0
FM,K273DR,102.5,SPRINGFIELD,MO,,37.20919444444445,93.28238888888889,D,Religious Teaching,OASIS NETWORK,"DAVID INGLES MINISTRIES CHURCH, INC.",0.14,103.8,,,,,,,,85390.0
FM,K275CY,102.9,JEFFERSON CITY,MO,,38.54088888888889,92.19888888888889,D,Contemporary Christian,SPIRIT FM,University of Northwestern - St. Paul,0.205,85.0,,,,,,,,154612.0
FM,KBAI,91.5,BLOOMFIELD,MO,,36.675333333333334,89.77202777777778,C2,Contemporary Christian,AIR1,"K-LOVE, INC.",49.0,,,,,,,,,76841.0
FM,KBCT,104.9,Maryville,MO,,40.40241666666667,94.88811111111112,C3,Classic Hits,"80S 90S AND MORE, 104-9 THE CAT","Eagle Communications, Inc.",9.7,159.0,,,,,,,,762475.0
FM,KCRJ-LP,101.3,CAMPBELL,MO,,36.51266666666667,90.10230555555555,LP100,,,Calvary Baptist Church,0.069,36.0,,,,,,,,784575.0
FM,KCVH-FM,88.7,HERMITAGE,MO,,38.03030555555556,93.22872222222223,C3,Religious Teaching,BOTT RADIO NETWORK,"COMMUNITY BROADCASTING, INC.",9.0,84.0,,,,,,,,767006.0
FM,KCWP,91.1,WEST PLAINS,MO,,36.63827777777778,91.66016666666667,C3,Religious Teaching,BOTT RADIO NETWORK,,16.0,87.0,,,,,,,,767758.0
FM,KFCJ,88.1,FIDELITY,MO,,37.07775,94.13419444444445,C2,Religious Teaching,RADIO BY GRACE,,29.0,59.0,,,,,,,,766494.0
FM,KFDS-FM,92.5,MOUNTAIN GROVE,MO,,37.135333333333335,92.24988888888889,A,Adult Hits,OZARK MOUNTAIN GROOVE,"A & D Group, Inc.",6.0,91.0,,,,,,,,12714.0
FM,KFNZ-FM,96.5,KANSAS CITY,MO,,39.02222222222222,94.51383333333334,C0,Sports,96.5 THE FAN,"Audacy License, LLC",100.0,335.0,,,,,,,,57119.0
FM,KLJT,88.1,ST. LOUIS,MO,,38.41797222222222,90.43672222222223,C1,Religious,WORSHIP ONE,"Gateway Creative Broadcasting, Inc.",41.0,232.0,,,,,,,,17380.0
FM,KMOX-FM,104.1,HAZELWOOD,MO,,38.652277777777776,90.28427777777777,C2,News/Talk,NEWS RADIO 1120,"Audacy License, LLC",50.0,139.0,,,,,,,Cardinals,74578.0
FM,KMRV-LP,102.1,ST. CHARLES,MO,,38.737500000000004,90.61055555555555,LP100,Variety,102.1 THE RIVER,Community Broadcasting of St. Charles County,0.1,26.0,,,,,,,,788161.0
FM,KMUL-LP,100.3,Warrensburg,MO,,38.7575,93.73916666666666,LP100,,,,0.023,62.0,,,,,,,,779100.0
FM,KOLP,90.5,WINDSOR,MO,,38.54058333333333,93.55466666666666,C3,,,"Our Lady's Peace Prayer Center, Inc.",6.0,157.0,,,,,,,,767313.0
FM,KQDZ,101.7,ELSBERRY,MO,,39.10252777777778,90.82316666666667,A,Classic Rock,CLASSIC 93.1,"EAST CENTRAL BROADCASTING, LLC",3.1,142.0,,,,,,,,70301.0
FM,KQLS,104.1,LUTESVILLE,MO,,37.377805555555554,89.93452777777779,A,80'S Hits,,"Dockins Broadcast Group, LLC",2.5,155.0,,,,,,,,26174.0
FM,KSDT-LP,100.5,SAINT JOSEPH,MO,,39.75472222222222,94.77111111111111,LP100,Religious,,,0.1,24.0,,,,,,,,788221.0
FM,KVWS,88.3,SEDALIA,MO,,38.593611111111116,93.52416666666666,C3,,,,12.0,131.0,,,,,,,,766724.0
