band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W203CD,88.5,MERIDIAN,MS,,32.35411111111111,88.63269444444444,D,Religious Teaching,REJOICE RADIO,"CSN International, Inc.",0.01,151.4,,,,,,,,121802.0
FM,W217CN,91.3,WAYNESBORO,MS,,31.688333333333333,88.69,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.01,99.1,,,,,,,,77975.0
FM,W226CY,93.1,CEDAR HILLS,MS,,32.386805555555554,90.1631388888889,D,Unknown,,"NEW SOUTH RADIO, INC.",0.055,,,,,,,,,155881.0
FM,WAIT,88.1,CLARKSDALE,MS,,34.20030555555556,90.57308333333333,A,,,,0.32,22.0,,,,,,,,765274.0
FM,WBKM,96.7,BOGUE CHITTO,MS,,31.27777777777778,90.44888888888889,C3,Classic Hits,GREATEST HITS ON THE RADIO,"K-LOVE, INC.",14.5,131.0,,,,,,,,25817.0
FM,WJRK-LP,91.7,Jackson,MS,,32.29666666666667,90.2063888888889,LP100,,,Action Jackson,0.048,43.0,,,,,,,,784733.0
FM,WYJL,88.1,GRENADA,MS,,33.945388888888886,89.64841666666668,A,,,Elijah Radio,4.5,61.0,,,,,,,,767759.0
FM,WZHI-LP,95.5,MABEN,MS,,33.51027777777778,89.03222222222222,LP100,Classic Hits,,,0.076,35.0,,,,,,,,788428.0
FM,KJMS,101.1,OLIVE BRANCH,MS,,35.222861111111115,90.04341666666666,C1,Urban AC,V 101,iHeartMedia,100.0,171.0,Memphis,51.0,"1,139,100",,,,,35874.0
FM,KUMB,89.7,HOLLYWOOD,MS,,34.74166666666667,90.40305555555557,C3,Spanish,PODEROSA 89.7,Unica Media Broadcasting Inc.,10.0,50.0,,,,,,,,175589.0
FM,W202BS,88.3,COLUMBIA,MS,,31.264055555555554,89.92980555555556,D,Religious Teaching,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.013,99.0,,,,,,,,93635.0
FM,W209CF,89.7,GULFPORT,MS,,30.434638888888887,89.02974999999999,D,Religious Teaching,BOTT RADIO NETWORK,"Community Broadcasting, Inc.",0.12,39.8,Biloxi-Gulfport-Pascagoula,144.0,"343,800",,,,,77029.0
FM,W214BE,90.7,JACKSON,MS,,32.28583333333333,90.21194444444444,D,Religious Teaching,RADIO BY GRACE,"Radio By Grace, Inc.",0.055,141.2,"Jackson, MS",,,,,,,91873.0
FM,W214BL,90.7,OXFORD,MS,,34.35011111111111,89.54036111111111,D,Contemporary Christian,K-LOVE,"K-LOVE, INC.",0.038,66.0,,,,,,,,122162.0
FM,W215BE,90.9,D'IBERVILLE/BILOXI,MS,,30.452694444444443,88.85586111111111,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.038,,Biloxi-Gulfport-Pascagoula,144.0,"343,800",,,,,92421.0
FM,W216BA,91.1,HATTIESBURG,MS,,31.30738888888889,89.41311111111112,D,Religious Teaching,REJOICE RADIO,"PENSACOLA CHRISTIAN COLLEGE, INC",0.013,,Laurel-Hattiesburg,208.0,"174,200",,,,,84370.0
FM,W217AQ,91.3,MERIDIAN,MS,,32.32930555555556,88.69061111111111,D,Religious Teaching,RADIO BY GRACE,"Radio By Grace, Inc.",0.013,101.0,,,,,,,,78018.0
FM,W218AY,91.5,LAUREL,MS,,31.78183333333333,89.15866666666668,D,Religious Teaching,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.019,94.0,Laurel-Hattiesburg,208.0,"174,200",,,,,81350.0
FM,W220BN,91.9,NATCHEZ,MS,,31.54652777777778,91.37538888888888,D,Contemporary Christian,K-LOVE,"K-LOVE, INC.",0.08,24.1,,,,,,,,81989.0
FM,W224DP,92.7,HATTIESBURG,MS,,31.335166666666666,89.32644444444443,D,Sports,1400 THE SCORE,EAGLE BROADCASTING LLC,0.25,,Laurel-Hattiesburg,208.0,"174,200",,,,,200974.0
FM,W225BN,92.9,CORINTH,MS,,34.908138888888885,88.50169444444444,D,Country,CORINTH'S BEST COUNTRY,"TELESOUTH COMMUNICATIONS, INC",0.25,,,,,,,,,145183.0
FM,W226BI,93.1,MERIDIAN,MS,,32.32625,88.68672222222223,D,Southern Gospel,WMER 1390 AM/93.1 FM,,0.075,183.8,,,,,,,,144484.0
FM,W227AP,93.3,LUCEDALE,MS,,30.924,88.58419444444444,D,Contemporary Christian,POWER 88,ETERNITY MEDIA GROUP LLC,0.001,44.8,,,,,,,,145427.0
FM,W229CW,93.7,PHILADELPHIA,MS,,32.76744444444444,89.12977777777778,D,Talk/Oldies,,"WHOC, INC",0.25,,,,,,,,,201153.0
FM,WAFM,95.7,AMORY,MS,,33.975944444444444,88.49144444444444,A,Classic Hits,FM 95,"STANFORD COMMUNICATIONS, INC.",6.0,83.0,,,,,,,,62222.0
FM,W230CS,93.9,COLUMBIA,MS,,31.26238888888889,89.84480555555555,D,Country,REAL COUNTRY,"HADDOX ENTERPRISES, INC.",0.25,,,,,,,,,200970.0
FM,W232DD,94.3,JACKSON,MS,,32.28583333333333,90.21194444444444,D,Classic Hits,THE BRIDGE,"KID'S TELEVISION, LLC",0.25,,"Jackson, MS",,,,,,,141784.0
FM,W233AS,94.5,MERIDIAN,MS,,32.31222222222222,88.69250000000001,D,Contemporary Christian,K-LOVE,"K-LOVE, INC.",0.235,,,,,,,,,143775.0
FM,W236DD,95.1,COLLINS,MS,,31.63461111111111,89.57313888888889,D,Gospel Music,BROOKHAVEN`S GOSPEL RADIO,"TILLMAN BROADCASTING NETWORK, INC.",0.25,,,,,,,,,201015.0
FM,W240DY,95.9,MERIDIAN,MS,,32.39358333333333,88.66894444444445,D,Urban Gospel,MERIDIAN'S GOSPEL CONNECTION,"MISSISSIPPI BROADCASTERS, L.L.C.",0.25,,,,,,,,,202790.0
FM,W240EJ,95.9,JACKSON,MS,,32.28583333333333,90.21194444444444,D,Religious Teaching,WE SHARE JESUS CHRIST,FAMILY TALK RADIO,0.075,,"Jackson, MS",,,,,,,202723.0
FM,W243DZ,96.5,AMORY,MS,,33.975833333333334,88.49138888888889,D,Country,WAMY COUNTRY,Stanford Communications Inc,0.25,,,,,,,,,201674.0
FM,W244ED,96.7,BATESVILLE,MS,,34.30277777777778,89.98147222222222,D,Country,COUNTRY LEGENDS 106.9,,0.25,,,,,,,,,202861.0
FM,W245AH,96.9,JACKSON,MS,,32.28097222222222,90.29397222222222,D,News/Talk,NEWSTALK 1180-96.9,Alpha Media Licensee LLC,0.135,,"Jackson, MS",,,,,,,139924.0
FM,W245DM,96.9,COLUMBUS,MS,,33.510222222222225,88.41272222222223,D,Talk,,"CBN COMMUNICATIONS, LLC",0.25,,,,,,,,,202974.0
FM,W247BA,97.3,INDIANOLA,MS,,33.422333333333334,91.02816666666666,D,Classic Rock,CLASSIC ROCK 1260,"High Plains Radio Network, LLC, Debtor in Possession",0.25,,,,,,,,,152957.0
FM,W248CL,97.5,CLARKSDALE,MS,,34.211194444444445,90.57841666666667,D,R&B Oldies,,"WROX, LLC",0.25,,,,,,,,,154926.0
FM,W248CY,97.5,BROOKHAVEN,MS,,31.56072222222222,90.44869444444444,D,Gospel Music,BROOKHAVEN'S GOSPEL RADIO,"TILLMAN BROADCASTING NETWORK, INC.",0.25,,,,,,,,,200965.0
FM,W249AO,97.7,HATTIESBURG,MS,,31.43127777777778,89.14755555555556,D,Urban Oldies,97.7 THE GROOVE,"BLAKENEY COMMUNICATIONS, INC.",0.25,313.6,Laurel-Hattiesburg,208.0,"174,200",,,,,31760.0
FM,W251DB,98.1,JACKSON,MS,,32.386944444444445,90.16305555555556,D,News,,"iHM Licenses, LLC",0.25,,"Jackson, MS",,,,,,,156564.0
FM,W254DJ,98.7,GULFPORT,MS,,30.38936111111111,89.10641666666666,D,Urban Gospel,POWER GOSPEL,"WALKING BY FAITH MINISTRIES, INC.",0.25,,Biloxi-Gulfport-Pascagoula,144.0,"343,800",,,,,201001.0
FM,W256BL,99.1,RIDGELAND,MS,,32.28583333333333,90.21194444444444,D,Urban AC,B DAY 99.1,"JACKSON RADIO,LLC.",0.099,,"Jackson, MS",,,,,,,139929.0
FM,W259CP,99.7,BOONEVILLE,MS,,34.63925,88.57588888888888,D,Country,95.3 THE BEE,"COMMUNITY BROADCASTING SERVICES OF MISSISSIPPI, INC.",0.25,,,,,,,,,152557.0
FM,WKXY,92.1,MERIGOLD,MS,,33.88038888888889,90.70677777777779,A,Country,KIX 92.1,DELTA RADIO LLC,6.0,100.0,,,,,,,,77755.0
FM,W259DA,99.7,POPLARVILLE,MS,,30.81602777777778,89.50644444444444,D,Southern Gospel,,"JLE, Incorporated",0.25,,,,,,,,,201225.0
FM,W263CF,100.5,MERIDIAN,MS,,32.32736111111112,88.69116666666667,D,Hot AC,96.3 & 100.5 WLYB,"MAX ONE COMMUNICATIONS, INC.",0.01,,,,,,,,,139515.0
FM,W261CE,100.1,SOUTHAVEN,MS,,34.85147222222222,90.00536111111111,D,Contemporary Christian,K-LOVE,"RADIO BY GRACE, INC.",0.25,,Memphis,51.0,"1,139,100",,,,,149153.0
FM,W261CS,100.1,MERIDIAN,MS,,32.32597222222223,88.68727777777778,D,Adult Alternative,SLY 104.9,"SCOTT COMMUNICATIONS, INC.",0.25,,,,,,,,,150848.0
FM,W261CU,100.1,GULFPORT,MS,,30.459166666666665,89.07891666666666,D,Country,MERLE 100.1,"JLE, Incorporated",0.25,,Biloxi-Gulfport-Pascagoula,144.0,"343,800",,,,,153123.0
FM,W262DE,100.3,BELZONI,MS,,33.17333333333333,90.48083333333334,D,Blues,THE DELTA'S BEST,Rylice Radio LLC,0.25,,,,,,,,,200927.0
FM,W265DH,100.9,GULFPORT,MS,,30.459166666666665,89.0791111111111,D,Classic Hip-Hop,100.9 THE HYPE,"JLE, Incorporated",0.25,,Biloxi-Gulfport-Pascagoula,144.0,"343,800",,,,,149152.0
FM,W266BC,101.1,TUPELO,MS,,34.25511111111111,88.69005555555556,D,Talk,TUPELO`S NEWS AND TALK,iHeartMedia,0.25,26.2,,,,,,,,140567.0
FM,W266BY,101.1,GREENVILLE,MS,,33.41011111111111,91.01761111111111,D,Talk,TALK OF THE DELTA,"DELTA RADIO NETWORK, LLC",0.25,60.6,,,,,,,,151062.0
FM,W266CT,101.1,LAUREL,MS,,31.52488888888889,89.242,D,Gospel Music,THE ORIGINAL,ETERNITY MEDIA GROUP LLC,0.25,,Laurel-Hattiesburg,208.0,"174,200",,,,,151030.0
FM,W270CZ,101.9,BAY SPRINGS,MS,,31.82138888888889,89.31027777777777,D,Country,DIXIE 1570,"SAGE COMMUNICATIONS, LLC.",0.25,,,,,,,,,200535.0
FM,W273CY,102.5,JACKSON,MS,,32.28097222222222,90.29397222222222,D,Adult Standards,THE CONCERT HALL 1120 AM AND 102.5 FM,"WOOD BROADCASTING COMPANY, INC.",0.25,,"Jackson, MS",,,,,,,154938.0
FM,W274CB,102.7,COLUMBIA,MS,,31.238500000000002,89.83866666666667,D,Classic Hits,102.7 THE PEARL,"WCJU, INCORPORATED",0.25,,,,,Saints,,,,201071.0
FM,W276EA,103.1,CLEVELAND,MS,,33.738166666666665,90.6581388888889,D,Country,KIX 92.1,"DELTA RADIO, LLC",0.25,30.0,,,,,,,,139155.0
FM,W278BW,103.5,JACKSON,MS,,32.28097222222222,90.29397222222222,D,Urban Gospel,1300 WOAD,Alpha Media Licensee LLC,0.25,,"Jackson, MS",,,,,,,155142.0
FM,W282AS,104.3,SALTILLO,MS,,34.238166666666665,88.69533333333334,D,Urban AC,TUPELO'S HEART & SOUL,JOHN M. DOWDY,0.25,103.0,,,,,,,,152544.0
FM,W282CE,104.3,BAY ST. LOUIS,MS,,30.323805555555555,89.35058333333333,D,Gospel Music,REJOICE AM 1190,"HANCOCK BROADCASTING, INC.",0.25,,Biloxi-Gulfport-Pascagoula,144.0,"343,800",,,,,150868.0
FM,W284DT,104.7,Jackson,MS,,32.40763888888889,90.15094444444445,D,Urban Contemporary,REAL 105.1,"iHM Licenses, LLC",0.25,141.2,"Jackson, MS",,,,,,,91541.0
FM,W288DU,105.5,CANTON,MS,,32.543194444444445,90.06008333333332,D,Urban Contemporary/Urban Gospel,,MARION R. WILLIAMS,0.25,,"Jackson, MS",,,,,,,201046.0
FM,W289CJ,105.7,TUPELO,MS,,34.238166666666665,88.69533333333334,D,Religious Teaching,RADIO THAT CHANGES THE WAY YOU LIVE,CAJUN RADIO CORPORATION,0.25,,,,,,,,,201112.0
FM,W290DQ,105.9,HATTIESBURG,MS,,31.308583333333335,89.38155555555555,D,Country,THE LEGEND,SUNBELT BROADCASTING CORPORATION,0.25,,Laurel-Hattiesburg,208.0,"174,200",,,,,203050.0
FM,W292EX,106.3,JACKSON,MS,,32.28097222222222,90.29397222222222,D,Sports,THE FAN WJQS 106.3-1400,Alpha Media Licensee LLC,0.099,,"Jackson, MS",,,,,,,85887.0
FM,W292FK,106.3,NATCHEZ,MS,,31.556833333333334,91.38344444444445,D,R&B Oldies,JAM'N,FIRST NATCHEZ RADIO GROUP INC,0.25,,,,,,,,,200111.0
FM,W292GD,106.3,BILOXI,MS,,30.45861111111111,89.07944444444443,D,Variety Hits,106.3 BOB FM,"TELESOUTH COMMUNICATIONS, INC.",0.25,,Biloxi-Gulfport-Pascagoula,144.0,"343,800",,,,,143076.0
FM,W295DG,106.9,PICAYUNE,MS,,30.572777777777777,89.63166666666666,D,Country,THE PICK OF PICAYUNE,"PEARL RIVER COMMUNICATIONS, INC",0.25,,,,,,,,,202626.0
FM,W299CC,107.7,VICKSBURG,MS,,32.35819444444444,90.8051111111111,D,Talk,NEWSTALK 1490 WVBG,"OWENSVILLE COMMUNICATIONS, LLC",0.25,,,,,,,,,150203.0
FM,W299CS,107.7,TUPELO,MS,,34.255,88.68991666666668,D,News,BIN,iHeartMedia,0.25,,,,,,,,,200510.0
FM,WABO-FM,105.5,WAYNESBORO,MS,,31.677944444444446,88.67030555555556,A,Classic Hits,,"HEATHCOCK COMMUNICATIONS,LLC",6.0,44.0,,,,,,,,40489.0
FM,WACR-FM,105.3,COLUMBUS AFB,MS,,33.65402777777778,88.62013888888889,C2,Urban AC,SOUTHERN SOUL AND TODAY'S R&B,"GTR LICENSES, LLC",32.0,127.0,,,,,,,,65200.0
FM,WADI,95.3,CORINTH,MS,,34.929805555555554,88.41033333333334,A,Country,THE BEE,"EAGLE RADIO NETWORK, INC.",2.6,144.0,,,,,,,,31412.0
FM,WAFR,88.3,TUPELO,MS,,34.474555555555554,88.72811111111112,C1,Religious Teaching,AMERICAN FAMILY RADIO,AMERICAN FAMILY ASSOCIATION,75.0,150.0,,,,,,,,1592.0
FM,WAGR-FM,102.5,LEXINGTON,MS,,33.151777777777774,90.12925,A,R&B Oldies,POWER 102.5,"HOLMES COUNTY BROADCASTING  COMPANY, LLC",6.0,100.0,,,,,,,,21155.0
FM,WAID,106.5,CLARKSDALE,MS,,34.156194444444445,90.63119444444443,C2,Urban Contemporary,POWER 106.5,"RADIO CLEVELAND, INC.",50.0,90.0,,,,,,,,54531.0
FM,WAIH,96.5,HOLLY SPRINGS,MS,,34.69233333333333,89.53619444444445,A,Contemporary Christian,K-LOVE,"K-LOVE, INC.",4.1,122.0,Memphis,51.0,"1,139,100",,,,,171031.0
FM,WAII,89.3,HATTIESBURG,MS,,31.28322222222222,89.35033333333332,A,Religious Teaching,AMERICAN FAMILY RADIO,AMERICAN FAMILY ASSOCIATION,1.0,82.0,Laurel-Hattiesburg,208.0,"174,200",,,,,78264.0
FM,WAJS,91.7,TUPELO,MS,,33.9265,88.66283333333334,C2,Religion/Talk,AMERICAN FAMILY RADIO,AMERICAN FAMILY ASSOCIATION,23.0,154.0,,,,,,,,79265.0
FM,WAJV,98.9,BROOKSVILLE,MS,,33.430388888888885,88.75477777777778,C3,Urban Gospel,JOY 98.9,"GTR LICENSES, LLC",13.0,139.2,,,,,,,,12229.0
FM,WAKH,105.7,MCCOMB,MS,,31.28072222222222,90.45147222222222,C1,Country,COVERING YOUR COUNTRY K-106,"North Shore Broadcasting Company, Inc.",100.0,149.0,,,,,,,,58935.0
FM,WALT-FM,102.1,MERIDIAN,MS,,32.325138888888894,88.68811111111111,A,Talk,MERIDIAN`S NEWS TALK LEADER,"Meridian Media Group, LLC",0.92,155.0,,,,Saints,,,,18229.0
FM,WAON-LP,100.5,PICAYUNE,MS,,30.584999999999997,89.71272222222223,LP100,Religious Teaching,,"HERITAGE BAPTIST MINISTRIES, INC.",0.095,31.0,,,,,,,,194824.0
