band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K204GX,88.7,SHELBY,MT,,48.50358333333333,111.86694444444444,D,Religious Teaching,YOUR NETWORK OF PRAISE,"HI-LINE RADIO FELLOWSHIP, INC.",0.25,38.3,,,,,,,,27121.0
FM,K202ET,88.3,BILLINGS,MT,,45.75888888888889,108.45277777777778,D,News/Classical,YELLOWSTONE PUBLIC RADIO,"CSN International, Inc.",0.075,,,,,,,,,93794.0
FM,K207FP,89.3,Cut Bank,MT,,48.626222222222225,112.31949999999999,D,News/Classical,YELLOWSTONE PUBLIC RADIO,Montana State University - Billings,0.023,51.0,,,,,,,,18333.0
FM,K210FA,89.9,GLENDIVE,MT,,47.05166666666666,104.67833333333334,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.05,186.4,,,,,,,,92312.0
FM,K220FH,91.9,DEER LODGE,MT,,46.51325,112.67294444444445,D,Religious Teaching,YOUR NETWORK OF PRAISE,"HI-LINE RADIO FELLOWSHIP, INC.",0.035,228.1,,,,,,,,83139.0
FM,K207FO,89.3,WHITEFISH,MT,,48.506055555555555,114.34788888888889,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.01,774.5,,,,,,,,93836.0
FM,KBCK,95.9,COLUMBIA FALLS,MT,,48.51161111111111,114.37205555555555,C,Classical,FORGOTTEN UMBRELLA KBCK 95.9,FORGOTTEN UMBRELLA,56.0,697.0,,,,,,,,22255.0
FM,KBMI,103.9,BUTTE,MT,,46.00613888888889,112.44336111111112,A,Variety,,"K-LOVE, Inc.",0.18,548.0,,,,,,,,3042.0
FM,KBWG,89.7,BROWNING,MT,,48.70630555555556,113.10033333333332,A,,,BLACKFEET TRIBE,1.25,127.0,,,,,,,,763408.0
FM,KEIV-LP,105.3,MISSOULA,MT,,46.82058333333334,114.044,LP100,,,Lighthouse Baptist Church,0.1,-145.0,,,,,,,,784044.0
FM,KEOP,90.7,LITTLE BROWNING,MT,,48.62786111111111,112.34794444444444,A,,,BLACKFEET TRIBE,0.1,2.0,,,,,,,,763581.0
FM,KFGL,88.1,BUTTE,MT,,45.950694444444444,112.51230555555556,A,,,Old Fashion Baptist Church of Butte,2.0,-166.0,,,,,,,,767055.0
FM,KGLE-FM,91.9,Glendive,MT,,47.08361111111111,104.80199999999999,C3,Religious,YOUR NETWORK OF PRAISE,"Hi-Line Radio Fellowship, Inc.",5.0,118.0,,,,,,,,767338.0
FM,KGVA,88.1,FORT BELKNAP AGENCY,MT,,48.18830555555555,108.71069444444444,C1,Variety,THE VOICE OF THE NAKOTA & WHITE CLAY NATIONS,Aaniiih Nakoda College,95.0,243.0,,,,,,,,22805.0
FM,KHKM-FM1,98.7,MISSOULA,MT,,46.852780555555555,114.02118055555556,C1,,,,2.7,,,,,,,,,792625.0
FM,KHSI,89.7,CONRAD,MT,,48.130611111111115,111.91980555555556,A,,,"Holy Spirit Radio, Inc",1.5,51.0,,,,,,,,766710.0
FM,KIPP,90.7,EAST GLACIER PARK VILLAGE,MT,,48.48469444444444,113.1876388888889,A,,,BLACKFEET TRIBE,0.1,98.0,,,,,,,,763579.0
FM,KIYO,88.1,ST. MARY,MT,,48.66883333333333,113.38630555555557,C3,,,BLACKFEET TRIBE,0.75,427.0,,,,,,,,763578.0
FM,KKCP,91.9,JORDAN,MT,,47.495555555555555,106.93833333333333,A,,,"Hi-Line Radio Fellowship, Inc.",5.0,87.3,,,,,,,,768272.0
FM,KOFC-LP,107.1,KALISPELL,MT,,48.192499999999995,114.31222222222222,LP100,Religious Teaching,SAN GABRIEL RADIO RELEVANT RADIO,Knights Radio,0.1,-89.0,,,,,,,,787342.0
FM,KPHB,90.1,Philipsburg,MT,,46.263527777777774,113.25083333333333,A,News/Talk,MONTANA PUBLIC RADIO,The University of Montana,0.19,475.0,,,,,,,,763729.0
