band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W217CO,91.3,WILSON,NC,,35.74786111111111,78.0201388888889,D,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",0.055,55.3,,,,,,,,148153.0
FM,W202CM,88.3,"CULLOWHEE, ETC.",NC,,35.313944444444445,83.20113888888889,D,NEWS/TALK,BLUE RIDGE PUBLIC RADIO - BPR NEWS,"WESTERN NORTH CAROLINA PUBLIC RADIO, INC.",0.019,,,,,,,,,71879.0
FM,W206CL,89.1,"CLYDE, ETC.",NC,,35.56841666666667,82.90733333333334,D,NEWS/TALK,BLUE RIDGE PUBLIC RADIO - BPR NEWS,"WESTERN NORTH CAROLINA PUBLIC RADIO, INC.",0.01,,,,,,,,,71878.0
FM,W211CI,90.1,ROCKINGHAM,NC,,34.9615,79.84116666666667,D,RELIGIOUS TEACHING,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.024,69.0,,,,,,,,106479.0
FM,W248DN,97.5,CASHIERS,NC,,35.13472222222222,83.0991111111111,D,EASY LISTENING,SOFT & EASY FAVORITES,CHARISMA RADIO CORP.,0.15,538.8,,,,,,,,142647.0
FM,W252EL,98.3,CARY,NC,,35.79333333333333,78.76027777777777,D,CLASSIC ROCK,TRIANGLE'S ROCK 92.9,FIRST STATE COMMUNICATIONS,0.15,,,,,,,,,157569.0
FM,W297CV,107.3,MOORESVILLE,NC,,35.608222222222224,80.82886111111111,D,OLDIES,,"MOORESVILLE MEDIA, INC.",0.25,,,,,,,,,200494.0
FM,W294CZ,106.7,GOLDSBORO,NC,,35.39805555555556,78.135,D,RELIGIOUS TEACHING,WHAT DID JESUS SAY,"MOUNT OLIVE BROADCASTING COMPANY, L.L.C.",0.25,,,,,,,,,202988.0
FM,W277DZ,103.3,DURHAM,NC,,35.97766666666667,78.8158611111111,D,NEWS/TALK,NEWSRADIO FM 98.5/AM 680 WPTF,DELMARVA EDUCATIONAL ASSOCIATION,0.155,,,,,,,,,146901.0
FM,W287CD,105.3,FRANKLIN,NC,,35.32730555555556,83.33569444444444,D,CLASSIC HITS,THE FOX 103.5,"TUGART PROPERTIES, LLC",0.115,464.7,,,,,,,,142798.0
