band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K218FO,91.5,BEACH,ND,GOLDEN VALLEY,46.909166666666664,104.00713888888887,D,CLASSICAL,PRAIRIE PUBLIC RADIO,"PRAIRIE PUBLIC BROADCASTING, INC.",0.019,29.0,,,,,,,,53341.0
FM,K274CC,102.7,NEW ENGLAND,ND,SLOPE,46.46333333333334,102.9798888888889,D,CONTEMPORARY CHRISTIAN,107-1 KSLT,UNIVERSITY OF NORTHWESTERN-ST. PAUL,0.05,178.2,,,,,,,,29897.0
FM,K293BN,106.5,BOWMAN,ND,BOWMAN,46.20388888888889,103.3925,D,CONTEMPORARY CHRISTIAN,107.1 KSLT,UNIVERSITY OF NORTHWESTERN-ST. PAUL,0.092,140.1,,,,,,,,29894.0
FM,K295BR,106.9,DICKINSON,ND,STARK,46.91888888888889,102.73019444444444,D,COUNTRY,DICKINSON'S CLASSIC COUNTRY,IHEARTMEDIA,0.115,,,,,,,,,29896.0
FM,KDND,89.1,DICKINSON,ND,STARK,46.91888888888889,102.73019444444444,A,,,"HI-LINE RADIO FELLOWSHIP, INC.",0.4,165.0,,,,,,,,768282.0
FM,KFLK,88.1,MINOT,ND,WARD,48.21555555555556,101.31861111111112,C1,,,CALVARY CHAPEL MINOT,100.0,133.0,,,,,,,,767009.0
FM,KHTZ,106.9,MINOT,ND,WARD,48.163333333333334,101.29905555555555,C2,CLASSIC HITS,K-HITS 106,"RADIODIFFERENTLY, LLC",50.0,105.0,,,,,,,,20488.0
FM,KTGH,90.1,BOWDON,ND,SHERIDAN,47.21205555555556,100.26094444444443,C1,,,,100.0,141.0,,,,,,,,765472.0
FM,KWBD-LP,90.5,BEACH,ND,GOLDEN VALLEY,46.91444444444444,104.00666666666666,LP100,,,,0.1,5.0,,,,,,,,785798.0
FM,KYBD,88.3,GRAND FORKS,ND,GRAND FORKS,47.87583333333333,97.04875,A,,,,1.5,74.0,,,,,,,,762237.0
FM,KYPT,90.7,MINOT,ND,WARD,48.22166666666667,101.28763888888888,A,,,"AMERICAN CHRISTIAN RADIO, INC.",0.4,41.0,,,,,,,,767015.0
FM,K201FJ,88.1,WILLISTON,ND,WILLIAMS,48.11047222222222,103.44397222222224,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.075,158.4,,,,,,,,92315.0
FM,K201FN,88.1,DICKINSON,ND,STARK,46.91888888888889,102.73019444444444,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.062,175.2,,,,,,,,92539.0
FM,K204FG,88.7,BISMARCK,ND,BURLEIGH,46.85,100.7701388888889,D,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.25,69.3,BISMARCK,241.0,"111,900",,,,,77228.0
FM,K206BV,89.1,WATFORD CITY,ND,MCKENZIE,47.78975,103.30269444444444,D,CONTEMPORARY CHRISTIAN,AMERICAN FAMILY RADIO,AMERICAN FAMILY ASSOCIATION,0.171,45.0,,,,,,,,1703.0
FM,K206EI,89.1,WILLISTON,ND,WILLIAMS,48.14169444444445,103.89325,D,RELIGIOUS TEACHING,REAL PRESENCE RADIO,"CENTRAL DAKOTA ENTERPRISES, INC.",0.092,,,,,,,,,106488.0
FM,K211FS,90.1,WILLISTON,ND,WILLIAMS,48.15530555555556,103.50130555555556,D,CONTEMPORARY CHRISTIAN,AIR1,"K-LOVE, INC.",0.05,,,,,,,,,91907.0
FM,K216EE,91.1,MINOT,ND,WARD,48.27916666666667,101.35333333333332,D,RELIGIOUS TEACHING,REAL PRESENCE RADIO,REAL PRESENCE RADIO,0.25,82.9,,,,,,,,89597.0
FM,K217GL,91.3,HARVEY,ND,WELLS,47.746805555555554,99.88069444444444,D,RELIGIOUS TEACHING,COVENANT NETWORK,REAL PRESENCE RADIO,0.25,23.0,,,,,,,,83194.0
FM,K220FG,91.9,HETTINGER,ND,ADAMS,46.0025,102.631,D,CLASSICAL,PRAIRIE PUBLIC RADIO,"PRAIRIE PUBLIC BROADCASTING, INC.",0.009,36.0,,,,,,,,53338.0
FM,K220FJ,91.9,BOWMAN,ND,BOWMAN,46.184999999999995,103.39408333333334,D,CLASSICAL,PRAIRIE PUBLIC RADIO,"PRAIRIE PUBLIC BROADCASTING, INC.",0.008,24.0,,,,,,,,53342.0
FM,K220GC,91.9,MINOT,ND,WARD,48.27972222222222,101.35294444444445,D,CONTEMPORARY CHRISTIAN,AIR1,EDUCATIONAL MEDIA FOUNDATION,0.25,,,,,,,,,84927.0
FM,K220KB,91.9,ST. JOHN,ND,ROLETTE,48.93611111111111,99.94791666666669,D,RELIGIOUS TEACHING,YOUR NETWORK OF PRAISE,"HI-LINE RADIO FELLOWSHIP, INC.",0.092,128.7,,,,,,,,140897.0
FM,K221GN,92.1,RUGBY,ND,PIERCE,48.35416666666667,99.99263888888888,D,COUNTRY,KZZJ AM 1450 & FM 92.1,"RUGBY BROADCASTERS, INCORPORATED",0.25,,,,,,,,,201109.0
FM,K223DF,92.5,GRAND FORKS,ND,GRAND FORKS,47.91997222222222,97.02922222222222,D,RELIGIOUS TEACHING,REAL PRESENCE RADIO,REAL PRESENCE RADIO,0.2,,GRAND FORKS,253.0,"78,200",,,,,202079.0
FM,K224FD,92.7,FARGO,ND,CASS,46.81747222222223,96.80230555555556,D,SPORTS,BISON 1660,"RADIO FARGO-MOORHEAD, INC.",0.23,,FARGO-MOORHEAD,192.0,"216,700",,,,,150705.0
FM,K224FJ,92.7,TIOGA,ND,WILLIAMS,48.39113888888889,102.93491666666668,D,TALK,AM 1090 THE FLAG,"BAKKEN BEACON MEDIA, LLC",0.25,,,,,,,,,201286.0
FM,K226CL,93.1,FARGO,ND,CASS,46.81747222222223,96.80230555555556,D,TALK,NEWS TALK 970 WDAY,BAKKEN BEACON MEDIA LLC,0.25,,FARGO-MOORHEAD,192.0,"216,700",,Timberwolves,,,62217.0
FM,K230BU,93.9,GRAFTON,ND,WALSH,48.39875,97.4495277777778,D,TALK,1340 KXPO DEPEND ON US,"KNDK, INC.",0.25,,,,,,,,,147647.0
FM,K231CV,94.1,FARGO,ND,CLAY,46.819138888888894,96.76591666666668,D,TALK,THE MIGHTY 790 AM/94.1 FM/104.7 FM,"MIDWEST COMMUNICATIONS, INC.",0.25,,FARGO-MOORHEAD,192.0,"216,700",Vikings,,Wild,Twins,153836.0
FM,K233CY,94.5,WAHPETON,ND,CASS,46.81747222222223,96.80230555555556,D,ADULT ALTERNATIVE,THE CITY @ 94.5,"RADIO FARGO-MOORHEAD, INC.",0.175,,FARGO-MOORHEAD,192.0,"216,700",,,,,152765.0
FM,K237ER,95.3,GRAND FORKS,ND,POLK,47.96275,97.04369444444444,D,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",0.17,,GRAND FORKS,253.0,"78,200",,,,,147645.0
FM,K237FQ,95.3,BISMARCK,ND,BURLEIGH,46.827222222222225,100.77486111111112,D,RELIGIOUS TEACHING,,RADIO 74 INTERNATIONALE,0.25,,BISMARCK,241.0,"111,900",,,,,142184.0
FM,K239BG,95.7,GRAND FORKS,ND,GRAND FORKS,47.93136111111111,97.04313888888888,D,TALK,KNOX NEWS RADIO 1310 AM/107.9 FM/103.3 FM,"LEIGHTON ENTERPRISES, INC.",0.25,65.1,GRAND FORKS,253.0,"78,200",,Timberwolves,,Twins,147641.0
FM,K240CJ,95.9,LAMOURE,ND,DICKEY,46.35861111111111,98.29222222222222,D,COUNTRY,THE TORNADO,"I3G MEDIA, INC.",0.25,42.2,,,,,Timberwolves,,,49932.0
FM,K242CZ,96.3,VALLEY CITY,ND,BARNES,46.93525,98.01202777777776,D,COUNTRY,,"I3G MEDIA, INC.",0.25,,,,,Vikings,Timberwolves,,Twins,200075.0
FM,K246AM,97.1,JAMESTOWN,ND,STUTSMAN,46.87972222222222,98.71816666666666,D,CLASSIC HITS,TED FM,"I3G MEDIA, INC.",0.25,,,,,,,,,141985.0
