band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K205GK,88.9,NORFOLK,NE,MADISON,42.032222222222224,97.36888888888888,D,CONTEMPORARY CHRISTIAN,AIR1,"K-LOVE, INC.",0.03,,,,,,,,,91450.0
FM,K208GM,89.5,FALLS CITY,NE,RICHARDSON,40.115,95.65194444444444,D,RELIGIOUS TEACHING,,"VSS CATHOLIC COMMUNICATIONS, INC.",0.25,177.7,,,,,,,,47997.0
FM,K211GG,90.1,KEARNEY,NE,BUFFALO,40.72833333333333,99.13008333333332,D,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,"CSN INTERNATIONAL, INC.",0.205,,,,,,,,,81118.0
FM,K239DC,95.7,ALLIANCE,NE,BOX BUTTE,42.11716666666667,102.86963888888889,D,CONTEMPORARY CHRISTIAN,107-1 KSLT,UNIVERSITY OF NORTHWESTERN-ST. PAUL,0.25,42.0,,,,,,,,29912.0
FM,KARR,90.3,ALLIANCE,NE,BOX BUTTE,42.09305555555556,102.84666666666666,A,,,,0.125,20.0,,,,,,,,768013.0
FM,KAVA,89.5,KIMBALL,NE,KIMBALL,41.25222222222222,103.66416666666667,A,RELIGIOUS TEACHING,YOUR NETWORK OF PRAISE,,0.85,-3.0,,,,,,,,768711.0
FM,KBVW-FM,88.9,WINNEBAGO,NE,THURSTON,42.23144444444445,96.45594444444444,A,,,WINNEBAGO TRIBE OF NEBRASKA,0.36,113.0,,,,,,,,767684.0
FM,KCHD,89.5,CHADRON,NE,DAWES,42.83002777777778,102.99894444444443,A,,,SOUTHERN CULTURAL FOUNDATION,0.1,-22.0,,,,,,,,768288.0
FM,KETW,90.5,OGALLALA,NE,KEITH,41.176944444444445,101.80777777777776,A,RELIGIOUS TEACHING,SPIRIT CATHOLIC RADIO,"VSS CATHOLIC COMMUNICATIONS, INC.",2.5,139.0,,,,,,,,768047.0
FM,KGNE-FM,89.3,BROKEN BOW,NE,CUSTER,41.39527777777778,99.64194444444443,C3,NEWS/CLASSICAL,,,12.0,77.0,,,,,,,,763018.0
FM,KHUY,89.9,SCHUYLER,NE,COLFAX,41.50961111111111,97.05794444444444,C3,,,MYBRIDGE,5.0,159.0,,,,,,,,763252.0
FM,KMBO,88.7,O' NEILL,NE,HOLT,42.45858333333334,98.58002777777776,A,RELIGION/VARIETY,,MYBRIDGE,0.18,99.0,,,,,,,,763235.0
FM,KNCV,90.9,NORTH PLATTE,NE,LINCOLN,41.21361111111111,100.73083333333334,C2,,,,41.0,94.0,,,,,,,,767761.0
FM,KNNE-FM,90.7,MCCOOK,NE,HITCHCOCK,40.26277777777778,100.89222222222224,C3,NEWS/CLASSICAL,NEBRASKA PUBLIC MEDIA,NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION,19.0,95.0,,,,,,,,763020.0
FM,KNPE,88.5,NORTH PLATTE,NE,LINCOLN,41.03575,100.73705555555556,A,,,MYBRIDGE,0.2,130.0,,,,,,,,763076.0
FM,KONL,91.5,O' NEILL,NE,HOLT,42.435027777777776,98.56063888888887,A,,,VSS CATHOLIC COMMUNICATIONS,1.2,73.0,,,,,,,,767820.0
FM,KPHL,95.9,BAYARD,NE,MORRILL,41.761,103.32041666666666,A,COUNTRY,THE BIG BOY,"FLOOD COMMUNICATIONS WEST, LLC",0.25,15.0,,,,,,,,762339.0
FM,KQNE-FM,89.9,FALLS CITY,NE,RICHARDSON,40.219722222222224,95.66555555555556,C3,CLASSICAL/NEWS/TALK,,,3.2,173.0,,,,,,,,763661.0
FM,KRLK,90.1,NORFOLK,NE,MADISON,41.933055555555555,97.68055555555556,A,CONTEMPORARY CHRISTIAN,MYBRIDGE RADIO,MYBRIDGE,1.5,142.0,,,,,,,,763074.0
FM,KUNE-FM,88.7,COLUMBUS,NE,NANCE,41.541,97.67941666666668,C3,NEWS/CLASSICAL,NEBRASKA PUBLIC MEDIA,,4.1,211.0,,,,,,,,763016.0
FM,KVEJ,91.9,VALENTINE,NE,CHERRY,42.90083333333333,100.55416666666666,A,RELIGIOUS,SPIRIT CATHOLIC RADIO,"VSS CATHOLIC COMMUNICATIONS, INC.",1.3,68.0,,,,,,,,768051.0
FM,KVJR,89.9,CRAWFORD,NE,DAWES,42.68494444444444,103.4143888888889,A,,,SOUTHERN CULTURAL FOUNDATION,0.1,-67.0,,,,,,,,765761.0
FM,KVKC,89.1,CRAWFORD,NE,DAWES,42.68494444444444,103.4143888888889,A,,,SOUTHERN CULTURAL FOUNDATION,0.1,-68.0,,,,,,,,767037.0
