band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W228EQ,93.5,EATONTOWN,NJ,,39.997527777777776,74.17191666666668,D,Oldies,100.7 THE BREEZE & 1410 AM,"PRESS COMMUNICATIONS, L.L.C.",0.25,74.9,,,,,,,,156685.0
FM,WKOE,106.3,NORTH CAPE MAY,NJ,,39.12994444444445,74.78780555555555,A,Country,106.3 COAST COUNTRY,"COASTAL BROADCASTING SYSTEMS, INC.,",5.4,105.4,,,,,,,,72113.0
FM,WMNJ-LP,104.1,Millville,NJ,,39.42222222222222,75.02027777777778,LP100,,,HISPANIC BROADCASTING FOUNDATION,0.021,57.0,,,,,,,,788770.0
FM,WNJQ,89.1,Washington,NJ,,40.77027777777778,75.06027777777777,A,Religious Teaching,CROSSWAY RADIO,,0.15,306.0,,,,,,,,766775.0
FM,WOTW,88.7,LAKEWOOD,NJ,,40.049388888888885,74.21761111111111,A,,,,0.12,48.0,,,,,,,,764260.0
FM,WWMH,88.9,BERNARDSVILLE,NJ,,40.69183333333333,74.51552777777778,A,,,,4.0,16.0,,,,,,,,767773.0
FM,WYYO-LP,101.9,Atlantic City,NJ,,39.39527777777778,74.38444444444445,LP100,,,,0.1,29.0,,,,,,,,778210.0
FM,W209CP,89.7,CAPE MAY,NJ,,39.009277777777775,74.86988888888888,D,Religious Teaching,HOPE FM,Calvary Chapel of Marlton,0.055,,Atlantic City-Cape May,153.0,"321,300",,,,,141579.0
FM,W215CE,90.9,CAPE MAY,NJ,,39.04955555555556,74.8535,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.038,,Atlantic City-Cape May,153.0,"321,300",,,,,77342.0
FM,W220AA,91.9,"PARLIN, ETC.",NJ,,40.45538888888889,74.29513888888889,D,Religious Teaching,89.7 THE BRIDGE,"BRIDGELIGHT, LLC",0.01,87.0,Middlesex-Somerset-Union,42.0,"1,536,000",,,,,40054.0
FM,W220AG,91.9,"LAWRENCEVILLE, ETC.",NJ,,40.28286111111111,74.68597222222223,D,Religious Teaching,WE'RE YOUR RADIO STATION,WYRS Broadcasting,0.009,121.0,Trenton,149.0,"331,600",,,,,7925.0
FM,W220EJ,91.9,WEEHAWKEN,NJ,,40.75622222222222,73.98625,D,Variety,,Auricle Communications,0.01,,New York,1.0,"16,662,000",,,,,93996.0
FM,W222CX,92.3,ATLANTIC CITY,NJ,,39.39,74.51222222222222,D,News/Talk,NEWS TALK 1400,"LONGPORT MEDIA, LLC",0.25,57.8,Atlantic City-Cape May,153.0,"321,300",,,,,145466.0
FM,W224AS,92.7,WASHINGTON,NJ,,40.80786111111111,74.9585,D,Adult Contemporary,NORTHWEST JERSEY'S OWN 1510,"WRNJ RADIO, INC.",0.15,173.9,Allentown-Bethlehem,73.0,"756,000",,,,,54693.0
FM,W224CW,92.7,FRANKLIN TOWNSHIP,NJ,,40.47916666666667,74.47469444444445,D,Ethnic,RADIO MIRCHI,RAHUL WALIA,0.105,,Middlesex-Somerset-Union,42.0,"1,536,000",,,,,143028.0
FM,W225BV,92.9,POMONA,NJ,,39.476222222222226,74.5385,D,Religious Teaching,WE'RE YOUR RADIO STATION,WYRS BROADCASTING,0.08,47.0,Atlantic City-Cape May,153.0,"321,300",,,,,151750.0
FM,W225DJ,92.9,BURLINGTON,NJ,,40.189388888888885,74.84655555555555,D,Spanish Hits,MAXIMA,"THE VOICE RADIO TRENTON, LLC",0.19,,Philadelphia,9.0,"4,756,000",,,,,203145.0
FM,W225DK,92.9,VINELAND,NJ,,39.49805555555556,75.075,D,Spanish Hits,LA ZETA,"CLEAR COMMUNICATIONS, INC.",0.1,,,,,,,,,202064.0
