band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K203FW,88.5,CLOVIS,NM,,34.439722222222215,103.21277777777777,D,Christian CHR + Rock,STAR 88,GRACE COMMUNITY CHURCH OF AMARILLO,0.025,96.0,,,,,,,,10895.0
FM,K212EH,90.3,SILVER CITY,NM,,32.844500000000004,108.23891666666667,D,Religious Teaching,VCY AMERICA,"VCY AMERICA, INC.",0.002,461.0,,,,,,,,76190.0
FM,K212GQ,90.3,FARMINGTON,NM,,36.66336111111111,108.21586111111111,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.05,137.0,,,,,,,,78619.0
FM,K209GH,89.7,GALLUP,NM,,35.54083333333333,108.74386111111112,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.25,,,,,,,,,85731.0
FM,K212GS,90.3,SANTA FE,NM,,35.78558333333333,105.7825,D,Talk,KANW 2,"BOARD OF EDUCATION OF THE CITY OF ALBUQUERQUE, NM",0.25,917.0,,,,,,,,6049.0
FM,K218FN,91.5,LAS VEGAS,NM,,35.60363888888889,105.25888888888889,D,Contemporary Christian,AMERICAN FAMILY RADIO,"K-LOVE, INC.",0.034,,,,,,,,,1694.0
FM,KAQW-FM,91.1,ESPANOLA,NM,,36.097722222222224,106.12205555555555,C2,,,,21.0,132.0,,,,,,,,767644.0
FM,KCCO,88.1,CLAYTON,NM,,36.45805555555556,103.18833333333333,A,,,KLMX Educational Foundation,0.25,75.0,,,,,,,,766778.0
FM,KCEY,89.5,RANCHOS DE TAOS,NM,,36.248083333333334,105.65583333333333,C0,Unknown,,CULTURAL ENERGY,16.7,872.0,,,,,,,,173334.0
FM,KDNM,89.7,LORDSBURG,NM,,32.34902777777778,108.70611111111111,A,,,COCHISE COMMUNITY RADIO CORPORATION,0.1,-45.0,,,,,,,,762521.0
FM,KDUO,91.3,Columbus,NM,,31.828888888888887,107.6413888888889,A,,,"Radio Bilingue, Inc.",1.0,-11.0,,,,,,,,766743.0
FM,KENB,90.9,ROSWELL,NM,,33.39527777777778,104.58888888888889,A,,,Eastern New Mexico University,4.0,28.0,,,,,,,,767230.0
FM,KENP,88.1,LAS VEGAS,NM,,35.63308333333333,105.23694444444445,A,News/Talk/Classical,KENW NPR NEW MEXICO,Eastern New Mexico University,0.7,-2.0,,,,,,,,768910.0
FM,KENY,90.5,WAGON MOUND,NM,,35.98444444444444,104.90055555555556,A,,,,0.2,468.0,,,,,,,,768269.0
FM,KEPS,95.9,Skyline-Ganipa,NM,,35.02963888888889,107.61827777777778,A,,,,0.125,-85.0,,,,,,,,762441.0
