band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,WGCC-LP,104.1,GENEVA,NY,,42.86611111111111,76.93972222222223,LP100,,,,0.1,-15.0,,,,,,,,779794.0
FM,W213CH,90.5,PLATTSBURGH,NY,,44.77027777777778,73.61277777777777,D,Soft Christian Contemporary,AIR1,"K-LOVE, INC.",0.01,218.4,,,,,,,,88512.0
FM,W212CS,90.3,OSWEGO,NY,,43.405388888888886,76.4611388888889,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.027,87.0,,,,,,,,78019.0
FM,W218DB,91.5,ROME,NY,,43.21988888888889,75.42683333333333,D,News/Talk,24 HOUR SOURCE FOR NPR NEWS,STATE UNIVERSITY OF NEW YORK,0.25,,,,,,,,,138843.0
FM,W222DA,92.3,UTICA,NY,,43.14416666666666,75.17888888888889,D,News/Talk,NEWSRADIO 950,"TOWNSQUARE MEDIA LICENSEE OF UTICA/ROME, INC.",0.25,,,,,,,,,202325.0
FM,W227EF,93.3,PORT JERVIS,NY,,41.36369444444445,74.6776388888889,D,Classic Hits,WALL RADIO,,0.25,,,,,,,,,156327.0
FM,W231EH,94.1,BLUFF POINT,NY,,42.61472222222223,77.12805555555555,D,Classic Hits,WYLF 850 AM AND 93.9 FM,"WYLF Radio, LLC",0.25,,,,,,,,,200771.0
FM,W236EB,95.1,BUFFALO,NY,,42.88005555555556,78.87594444444444,D,Religious Teaching,THE WORD,"Radio One Buffalo, LLC",0.096,81.2,,,,,,,,151215.0
FM,W233DD,94.5,MIDDLETOWN,NY,,41.454527777777784,74.41791666666667,D,Rock,101.5 WPDH - THE HOME OF ROCK & ROLL,"Digital Radio Broadcasting, Inc.",0.099,28.2,,,,,,,,46501.0
FM,W240EM,95.9,CANANDAIGUA,NY,,42.74644444444444,77.42608333333334,D,Country,CLASSIC COUNTRY WOKR 1310 AM/95.5 FM,"1310 FLX RADIO, INC.",0.25,,,,,,,,,202662.0
FM,W241DM,96.1,SARATOGA SPRINGS,NY,,43.02005555555556,73.524,D,Classic Hits,STAR RADIO,LOUD MEDIA LLC,0.075,14.5,,,,,,,,158397.0
FM,W246EA,97.1,ROCHESTER,NY,,43.15472222222222,77.60416666666666,D,Tropical,,"Ibero American Action League, Inc.",0.25,,,,,,,,,138910.0
FM,W249ED,97.7,WESTFIELD,NY,,42.35186111111111,79.51763888888888,D,Contemporary Christian,FAMILY LIFE NETWORK,"FAMILY LIFE MINISTRIES, INC.",0.038,,,,,,,,,154509.0
FM,W249EI,97.7,BINGHAMTON,NY,,42.05611111111111,75.94388888888889,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,,,,,,,,,2869.0
FM,W251DD,98.1,Scriba,NY,,43.43252777777778,76.47111111111111,D,Sports,FOX SPORTS 1490 AND 92.5,"Cram Communications, LLC.",0.25,,,,,,,,,122758.0
FM,W256EF,99.1,Scriba,NY,,43.43252777777778,76.47111111111111,D,Country,WOLF 92.1,"Cram Communications, LLC.",0.19,,,,,,,,,86708.0
FM,W205CY,88.9,SOUTHAMPTON,NY,,40.97202777777778,72.34783333333333,D,Classic Hits,EAST END`S BEST MUSIC 92.1,"Hudson Radio Public Radio, Inc.",0.019,,,,,,,,,139344.0
FM,W263CE,100.5,OGDENSBURG,NY,,44.53361111111111,75.09694444444445,D,Religious Teaching,MARS HILL NETWORK,Mars Hill Broadcasting Co. Inc.,0.013,6.7,,,,,,,,150706.0
FM,W282CW,104.3,Water Mill,NY,,40.89341666666667,72.39619444444445,D,Classical,FINE ARTS RADIO,"Town of Monroe, Connecticut",0.12,48.0,,,,,,,,83374.0
FM,W298DL,107.5,Rochester,NY,,43.19302777777777,77.60372222222222,D,Religious Teaching,MARS HILL NETWORK,MARS HILL BROADCASTING CO. INC.,0.01,,,,,,,,,150710.0
FM,WAVG-LP,100.5,KEESEVILLE,NY,,44.50633333333333,73.48483333333333,LP100,,,Ausable Valley Grange Patrons of Husbandry New York State Grange Inc,0.0,5.0,,,,,,,,786384.0
FM,WBMG,102.9,NARROWSBURG,NY,,41.57925,75.17794444444445,A,,,,2.1,127.0,,,,,,,,762176.0
FM,WBWA,89.9,BUFFALO,NY,,42.63622222222222,78.71655555555556,B1,Contemporary Christian,AIR1,"K-LOVE, Inc.",3.0,174.0,,,,,,,,20725.0
FM,WCEB,94.7,DEPOSIT,NY,,42.02894444444444,75.47322222222222,A,Classic Rock,100.3 & 94.7 THE EAGLE,"Family Life Ministries, Inc.",1.85,181.0,,,,,,,,16441.0
FM,WCEG,100.3,DELHI,NY,,42.37866666666667,74.83902777777777,A,Classic Rock,100.3 & 94.7 THE EAGLE,"Family Life Ministries, Inc.",1.6,196.0,,,,,,,,16442.0
FM,WCER,97.5,DELHI,NY,,42.23591666666667,74.95291666666667,A,Hot AC,,"Family Life Ministries, Inc.",6.0,100.0,,,,,,,,164165.0
FM,WCGB-FM,91.9,FRANKLINVILLE,NY,,42.37861111111111,78.51722222222222,A,Contemporary Christian,FAMILY LIFE NETWORK,,3.0,127.0,,,,,,,,768403.0
FM,WCLX-LP,107.3,MORIAH,NY,,44.04613888888889,73.50594444444444,LP100,Adult Alternative,FARM FRESH,"CHAMPLAIN MUSIC APPRECIATION SOCIETY, INC.",0.1,5.8,,,,,,,,132393.0
