band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W216CQ,91.1,SANDUSKY,OH,,41.39944444444444,82.65194444444445,D,Religious Teaching,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.2,29.0,,,,,,,,77850.0
FM,W221EW,92.1,NEW BOSTON,OH,,38.72263888888889,83.00141666666667,D,Adult Standards,MUSIC OF YOUR LIFE,"Total Media Group, Inc.",0.25,,,,,,,,,200699.0
FM,W232DZ,94.3,NEW ALBANY,OH,,40.14391666666667,82.63875,D,Christian Rock,RADIOU,"Runnymede, Inc.",0.25,,,,,,,,,158554.0
FM,W275DF,102.9,CLEVELAND,OH,,41.39355555555556,81.65436111111111,D,Talk,1420 THE ANSWER,SALEM COMMUNICATIONS HOLDING CORPORATION,0.05,,,,,,,,,143930.0
FM,W275DG,102.9,JEFFERSON,OH,,40.780277777777776,81.935,D,Southern Gospel,GLORY RADIO,"SOARING EAGLE PROMOTIONS, INC.",0.215,70.6,,,,,,,,138222.0
FM,W279EO,103.7,CIRCLEVILLE,OH,,39.37752777777778,82.93286111111112,D,Christian CHR,RADIO U,"Total Media Group, Inc.",0.1,42.6,,,,,,,,158610.0
FM,WCMO-LP,97.5,Marietta,OH,,39.41888888888889,81.44250000000001,LP100,Variety,,Marietta College,0.1,26.0,,,,,,,,778001.0
FM,WDOG-LP,105.9,NEW PHILADELPHIA,OH,,40.4975,81.46833333333333,LP100,Rock,BIG DOG RADIO 105.9,Bad Dog Radio,0.1,-9.0,,,,,,,,778288.0
FM,WFGU,91.1,PEEBLES,OH,,38.94958333333333,83.40844444444446,A,,,Hope Radio of Winchester,3.9,22.0,,,,,,,,765640.0
FM,WFRC-LP,107.3,Fort Recovery,OH,,40.41444444444444,84.77972222222222,LP100,,,Fort Recovery Community Radio,0.1,4.0,,,,,,,,788203.0
FM,WGBM-LP,104.9,CRESTLINE,OH,,40.778888888888886,82.74638888888889,LP100,Religious Teaching,104.9 THE TRUTH,,0.1,29.0,,,,,,,,781376.0
FM,WHFO,90.9,FOSTORIA,OH,,41.186166666666665,83.28505555555556,A,,,,0.55,59.0,,,,,,,,766396.0
FM,WHRN,88.3,NEWARK,OH,,40.08961111111111,82.40716666666667,A,Contemporary Christian,HOPE 88.3,Strong Tower Christian Media,1.7,144.0,,,,,,,,766443.0
FM,WIOH-LP,95.9,Wilmington,OH,,39.41111111111111,83.8425,LP100,Talk,,Clinton County Amateur Radio Association,0.027,57.0,,,,,,,,785323.0
FM,WKSU-FM2,89.7,KENT,OH,,41.44233333333333,81.49113888888888,D,News/Talk,IDEASTREAM PUBLIC MEDIA,Kent State University,0.055,,,,,,,,,776370.0
FM,WLGN-FM,98.3,LOGAN,OH,,39.528666666666666,82.3848888888889,A,Classic Hits,98.3 WLGN,WLGN Radio Company,6.0,67.0,,,,,,,,38270.0
FM,WTOW-LP,98.7,Grand Rapids,OH,,41.41166666666666,83.86911111111111,LP100,Classic Hits,TOWPATH RADIO,,0.1,2.0,,,,,,,,778377.0
FM,WTWK,88.5,Logan,OH,,39.52861111111111,82.385,B1,,,River Radio Ministries,13.5,47.0,,,,,,,,765923.0
FM,WVVM,91.1,MOUNT STERLING,OH,,39.65277777777778,83.33944444444444,A,,,Vida Ministry Inc.,1.0,6.0,,,,,,,,768211.0
FM,WVWH,89.7,VAN WERT,OH,,40.872166666666665,84.55369444444445,A,,,,1.7,42.0,,,,,,,,766395.0
FM,WVWO-LP,102.9,Van Wert,OH,,40.87222222222222,84.58888888888889,LP100,Classic Hits,REWIND 102-9,CROCKER MEDIA GROUP LLC,0.1,12.0,,,,,,,,788047.0
FM,WWBJ,88.5,HILLSBORO,OH,,39.19702777777778,83.61136111111111,A,,,Hope Radio of Hillsboro,0.135,26.0,,,,,,,,767001.0
FM,WWLA,103.1,JOHNSTOWN,OH,,40.228944444444444,82.65983333333334,A,Regional Mexican,LA MEGA 103.1,LAZO MEDIA LLC,1.6,135.0,,,,,Cavaliers,,,58633.0
FM,WXMO-LP,98.1,MASON,OH,,39.33916666666667,84.32972222222222,LP100,,,Liberty West Broadcasting Inc,0.016,74.0,,,,,,,,785483.0
FM,W283BL,104.5,MALTA,OH,,39.643388888888886,81.85788888888888,D,,,BELPRE EDUCATIONAL BROADCASTING FOUNDATION,0.045,39.3,,,,,,,,4641.0
FM,W201DP,88.1,ASHTABULA,OH,,41.86419444444444,80.78488888888889,D,Classical/News,WYSU 88.5,YOUNGSTOWN STATE UNIVERSITY,0.038,,,,,,,,,74435.0
FM,W202CE,88.3,COSHOCTON,OH,,40.27033333333333,81.85983333333333,D,Classical,CLASSICAL 101,OHIO STATE UNIVERSITY,0.25,-15.2,,,,,,,,92405.0
FM,W204CQ,88.7,PIKETON,OH,,39.035888888888884,83.06349999999999,D,Contemporary Christian,K-LOVE,"K-LOVE, INC.",0.01,150.7,,,,,,,,91885.0
FM,W204CU,88.7,FINDLAY,OH,,40.9995,83.61574999999999,D,,BOOST RADIO,"Soaring Eagle Promotions, Inc.",0.027,,,,,,,,,143022.0
FM,W206BX,89.1,FREMONT,OH,,41.366166666666665,83.08880555555555,D,Christian Rock,YES FM,"SIDE BY SIDE, INC.",0.055,,,,,,,,,60278.0
FM,W206CH,89.1,HINCKLEY,OH,,41.24433333333334,81.69805555555556,D,Unknown,,"K-LOVE, INC.",0.01,,Cleveland,35.0,"1,780,800",,,,,142423.0
FM,W207CC,89.3,NEW PHILADELPHIA,OH,,40.483111111111114,81.47594444444445,D,Religious Teaching,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.027,67.0,,,,,,,,90862.0
FM,W207CD,89.3,HAMLER,OH,,41.13666666666666,83.90666666666667,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.013,131.3,Lima-Van Wert,177.0,"239,700",,,,,8423.0
FM,W210BG,89.9,ASHLAND,OH,,40.840611111111116,82.35711111111111,D,Religious Teaching,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.08,,,,,,,,,85385.0
FM,W211BT,90.1,ATHENS,OH,,39.31122222222222,82.11952777777778,D,Christian Rock,RADIO U,"Board of Education, Akron City School District",0.038,,,,,,,,,92525.0
FM,W212BM,90.3,JACKSON,OH,,39.02311111111111,82.66125000000001,D,Contemporary Christian,AIR1,EDUCATIONAL MEDIA FOUNDATION,0.038,74.0,,,,,,,,121845.0
FM,W213CB,90.5,CINCINNATI,OH,,39.11638888888889,84.50194444444445,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.01,,Cincinnati,33.0,"1,894,500",,,,,93954.0
FM,W214CD,90.7,WADSWORTH,OH,,41.06477777777778,81.58288888888889,D,Unknown,,"K-LOVE, INC.",0.01,,Akron,91.0,"615,300",,,,,85867.0
FM,W215BC,90.9,STEUBENVILLE,OH,,40.35172222222222,80.65619444444445,D,Religious Teaching,REJOICE RADIO,"PRIORITY RADIO, INC.",0.01,,,,,,,,,91071.0
FM,W216AH,91.1,ASHLAND,OH,,40.853944444444444,82.2785,D,,BOOST RADIO,"SOARING EAGLE PROMOTIONS, INC.",0.25,-0.7,,,,,,,,2929.0
FM,W216AU,91.1,MARTINS FERRY,OH,,40.10977777777778,80.72755555555555,D,Contemporary Christian,AMERICAN FAMILY RADIO,AMERICAN FAMILY ASSOCIATION,0.019,51.0,Wheeling,239.0,"120,000",,,,,1620.0
