band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K202EU,88.3,ENID,OK,,36.407888888888884,97.99875,D,Contemporary Christian/Religious Teaching,YOU'RE WITH FAMILY,"GREAT PLAINS CHRISTIAN RADIO, INC.",0.14,80.0,,,,,,,,21057.0
FM,K203FT,88.5,WOODWARD,OK,,36.402055555555556,99.42883333333334,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.1,,,,,,,,,92597.0
FM,K208GQ,89.5,MOORELAND,OK,,36.402055555555556,99.42883333333334,D,Christian CHR + Rock,EFFECT RADIO,CSN INTERNATIONAL,0.099,,,,,,,,,92796.0
FM,K210BQ,89.9,WOODWARD,OK,,36.402249999999995,99.47927777777778,D,Contemporary Christian/Religious Teaching,YOU'RE WITH FAMILY,"GREAT PLAINS CHRISTIAN RADIO, INC.",0.075,,,,,,,,,24993.0
FM,K211GI,90.1,DURANT,OK,,34.03675,96.42716666666666,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.205,97.5,,,,,,,,92762.0
FM,K215FZ,90.9,CLINTON,OK,,35.522083333333335,98.87263888888889,D,Christian CHR + Rock,EFFECT RADIO,"CSN International, Inc.",0.125,77.7,,,,,,,,92560.0
FM,K216HA,91.1,WISTER,OK,,35.06969444444445,94.68733333333334,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.01,,,,,,,,,92759.0
FM,K213FN,90.5,BERLIN,OK,,35.45027777777778,99.46058333333333,D,Religious Teaching,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.115,134.2,,,,,,,,92798.0
FM,K300EC,107.9,WAYNOKA,OK,,36.581944444444446,98.87027777777777,D,Country,BIG COUNTRY 99.5,"FLORIDA PUBLIC RADIO, INC.",0.25,104.2,,,,,,,,21795.0
FM,KBCC,90.1,BARTLESVILLE,OK,,36.68933333333333,96.00152777777778,A,,,St. John Before the Latin Gate Parish,0.5,90.0,,,,,,,,768777.0
FM,KBOJ,89.7,CHICKASHA,OK,,35.010555555555555,97.93166666666667,A,,,KRH Educational Foundation,0.1,38.0,,,,,,,,768303.0
FM,KCCZ,88.1,BOISE CITY,OK,,36.729055555555554,102.49902777777778,A,,,,0.25,21.0,,,,,,,,766780.0
FM,KCLJ,91.3,CLINTON,OK,,35.51486111111111,98.9735,A,,,RADIO 74 INTERNATIONALE,0.125,6.0,,,,,,,,768299.0
FM,KFPP,88.9,WOODWARD,OK,,36.43416666666666,99.40547222222223,A,,,"WOODWARD CATHOLIC RADIO, INC.",0.1,0.0,,,,,,,,769014.0
FM,KIRL-LP,103.3,GUTHRIE,OK,,35.87972222222222,97.42222222222223,LP100,Religious,,,0.1,-1.0,,,,,,,,787798.0
FM,KJAL,91.9,MCALESTER,OK,,34.987027777777776,95.70305555555557,C3,Religious Teaching,,"The Christian Center, Inc.",5.0,132.0,,,,,,,,66622.0
FM,KMSJ,90.9,MCALESTER,OK,,34.932694444444444,95.76419444444444,A,,,St. John Parish,0.3,11.0,,,,,,,,768772.0
FM,KPFS,88.3,Elk City,OK,,35.42258333333333,99.36661111111111,A,,,,0.3,30.0,,,,,,,,769034.0
FM,KPTA,90.1,GUYMON,OK,,36.6735,101.4696388888889,A,,,Saint Peter the Apostle Church,0.13,133.0,,,,,,,,768261.0
FM,KRHZ,103.3,TULSA,OK,,36.020833333333336,95.65802777777779,C,Classic Rock,103.3 THE EAGLE,Zoellner Media Group LLC,100.0,395.0,,,,,,,,9801.0
FM,KZBS,104.3,GRANITE,OK,,34.977555555555554,99.41008333333333,C3,,,BCVISION,1.7,277.0,,,,,,,,166022.0
FM,K201FP,88.1,ARAPAHO,OK,,35.522083333333335,98.87263888888889,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.205,77.7,,,,,,,,92559.0
FM,K201IJ,88.1,"MIAMI, ETC.",OK,,36.88283333333333,94.79633333333334,D,Religious Teaching,OASIS NETWORK,"DAVID INGLES MINISTRIES CHURCH, INC.",0.205,100.2,,,,,,,,14410.0
FM,K203FE,88.5,TAHLEQUAH,OK,,35.98861111111111,94.9388888888889,D,Religious Teaching,MOODY RADIO,THE MOODY BIBLE INSTITUTE OF CHICAGO,0.115,,,,,,,,,43694.0
FM,K203FO,88.5,GUYMON,OK,,36.674166666666665,101.46972222222223,D,Contemporary Christian/Religious Teaching,RADIO FOR LIFE,"GREAT PLAINS CHRISTIAN RADIO, INC.",0.17,62.0,,,,,,,,25695.0
FM,K204FY,88.7,FAIRVIEW,OK,,36.22363888888889,98.60230555555555,D,Contemporary Christian/Religious Teaching,YOU'RE WITH FAMILY,GREAT PLAINS CHRISTIAN RADIO,0.05,176.4,,,,,,,,88638.0
FM,K205FI,88.9,ARDMORE,OK,,34.16497222222222,97.17519444444444,D,Contemporary Christian,K-LOVE,EDUCATIONAL MEDIA FOUNDATION,0.17,80.8,,,,,,,,122270.0
FM,K206CA,89.1,ENID,OK,,36.407888888888884,97.99875,D,Religious Teaching,OASIS NETWORK,"DAVID INGLES MINISTRIES CHURCH, INC.",0.205,,,,,,,,,89523.0
FM,K208CG,89.5,OKLAHOMA CITY,OK,,35.59780555555556,97.48977777777777,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.25,,Oklahoma City,49.0,"1,307,100",,,,,76176.0
FM,K208FD,89.5,ELK CITY,OK,,35.45027777777778,99.46058333333333,D,Christian CHR + Rock,EFFECT RADIO,"CSN International, Inc.",0.1,,,,,,,,,92600.0
