band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K207FN,89.3,OAKRIDGE,OR,,43.775419444444445,122.40615277777778,D,News/Talk/Variety,,LANE COMMUNITY COLLEGE,0.22,,,,,,,,,36517.0
FM,K209GJ,89.7,ROSEBURG,OR,,43.234833333333334,123.32338888888889,D,Religious Teaching,CSN INTERNATIONAL,"CSN International, Inc.",0.034,219.0,,,,,,,,77106.0
FM,K206EW,89.1,LAKEVIEW,OR,,42.20513888888889,120.32855555555555,D,Christian CHR + Rock,EFFECT RADIO,CSN INTERNATIONAL,0.011,299.6,,,,,,,,122154.0
FM,K207FM,89.3,CORVALLIS,OR,,44.645833333333336,123.27080555555555,D,Religious Teaching,CSN INTERNATIONAL,CSN INTERNATIONAL,0.0155,333.5,,,,,,,,72002.0
FM,K214FR,90.7,ISLAND CITY,OR,,45.299277777777775,118.08574999999999,D,Christian CHR + Rock,EFFECT RADIO,CSN INTERNATIONAL,0.115,-112.7,,,,,,,,92615.0
FM,K219MD,91.7,ALBANY,OR,,44.61375,123.06777777777778,D,Religious Teaching,LIFETALK RADIO,"LIFETALK RADIO, INC.",0.25,178.2,,,,,,,,93023.0
FM,K272FM,102.3,AZALEA,OR,,42.696777777777775,123.22866666666667,D,Religious Teaching,THE DOVE,"theDove Media, Inc.",0.01,,,,,,,,,28318.0
FM,KAIS,90.3,SALEM,OR,,44.882333333333335,122.9606388888889,A,Contemporary Christian,AIR1,"K-LOVE, INC.",0.135,,,,,,,,,90291.0
FM,KBSR,91.5,Burns,OR,,43.581,119.0615,A,,,Oakridge Community Radio,0.1,-61.0,,,,,,,,768351.0
FM,KBXG,99.3,GRANTS PASS,OR,,42.48872222222222,123.30727777777777,A,Oldies,99.3 THE JUKEBOX,"Marquee Broadcasting West, Inc.",0.25,467.0,,,,,,,,185438.0
