band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W205CW,88.9,TYRONE,PA,BLAIR,40.73222222222223,78.32555555555555,D,CHRISTIAN CHR + ROCK,REV FM,INVISIBLE ALLIES MINISTRIES,0.01,,,,,,,,,154681.0
FM,W218DC,91.5,YORK,PA,YORK,40.005833333333335,76.67611111111111,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,179.6,,,,,,,,88126.0
FM,W236EC,95.1,WILLIAMSPORT,PA,LYCOMING,41.2805,76.83402777777778,D,ROCK,ROCK 94.9,"MOUNTAIN COMMUNITY TRANSLATORS, LLC",0.2,-63.6,,,,,,,,149112.0
FM,W259DM,99.7,LEBANON,PA,LEBANON,40.359722222222224,76.45805555555556,D,CLASSIC HITS,99.7 WILBUR RADIO,"SOUTHERN BELLE MEDIA FAMILY, LLC",0.14,,,,,,,,,143437.0
FM,W261ED,100.1,LEES CROSSROADS,PA,CUMBERLAND,40.092222222222226,77.31944444444444,D,RELIGIOUS,WORD FM,CUMBERLAND VALLEY CHRISTIAN RADIO,0.12,,,,,,,,,141632.0
FM,W265EM,100.9,HARRISBURG,PA,PERRY,40.345305555555555,76.86897222222221,D,RELIGIOUS TEACHING,HOPE FM,CALVARY CHAPEL OF MARLTON,0.075,,,,,,,,,155485.0
FM,W274CL,102.7,SCRANTON,PA,LACKAWANNA,41.409444444444446,75.66666666666667,D,CLASSIC ROCK,ROCK 107,"TIMES SHAMROCK MEDIA, L.P.",0.25,,,,,,,,,142925.0
FM,W279EM,103.7,SCRANTON,PA,LACKAWANNA,41.43594444444444,75.72711111111111,D,RHYTHMIC CHR,LOUD 103.7,MAJOR KEYSTONE LLC,0.138,364.0,,,,,,,,20846.0
FM,W281CQ,104.1,SCRANTON,PA,LACKAWANNA,41.43597222222222,75.72705555555555,D,OLDIES,THE MOTHERSHIP,"BOLD GOLD MEDIA GROUP, L.P.",0.135,351.0,,,,,,,,156161.0
FM,W283DT,104.5,HERSHEY,PA,DAUPHIN,40.251583333333336,76.66255555555556,D,RELIGIOUS TEACHING,HOPE FM,CALVARY CHAPEL OF MARLTON,0.03,,,,,,,,,144130.0
FM,W287DS,105.3,TUNKHANNOCK,PA,LUZERNE,41.45194444444445,76.00888888888889,D,OLDIES,THE MOTHERSHIP,"GEOS COMMUNICATIONS, LLC",0.038,,,,,,,,,152740.0
FM,W288EP,105.5,MONTOURSVILLE,PA,LYCOMING,41.2805,76.83402777777778,D,COUNTRY,MORE CONTINUOUS COUNTRY FAVORITES,"MOUNTAIN COMMUNITY TRANSLATORS, LLC",0.25,,,,,,,,,20911.0
FM,W293DX,106.5,BELLEFONTE,PA,CENTRE,40.90241666666667,77.7683888888889,D,TALK/SPORTS,970 NEWSTALK,"SCHLESINGER COMMUNICATIONS, INC.",0.25,,,,,,,,,139745.0
FM,W295DN,106.9,DANVILLE,PA,NORTHUMBERLAND,40.8715,76.80580555555555,D,COUNTRY,BIGFOOT COUNTRY,"SOUTHERN BELLE, LLC",0.09,,,,,,,,,157251.0
FM,WABT-LP,105.7,MATAMORAS,PA,ORANGE,41.37555555555556,74.69027777777778,LP100,CLASSIC HITS,Z-105,JERSAN MEDIA,0.1,-118.0,,,,,,,,788212.0
FM,WBHB,92.1,MERCERSBURG,PA,FRANKLIN,39.81027777777778,77.80613888888888,A,ROCK,BOB ROCKS,HJV LIMITED PARTNERSHIP,4.0,90.0,,,,,,,,39495.0
FM,WCDF,98.9,MILLERSBURG,PA,PERRY,40.50505555555556,77.11719444444444,A,HOT AC,98.9 THE PULSE,"FAMILY LIFE MINISTRIES, INC.",0.87,262.0,,,,,,,,26975.0
FM,WCGN,90.9,TIDIOUTE,PA,WARREN,42.00172222222222,79.05502777777778,B,CONTEMPORARY CHRISTIAN,FAMILY LIFE NETWORK,"FAMILY LIFE MINISTRIES, INC.",12.0,199.0,,,,,,,,20653.0
