band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,WAST-LP,95.1,COVENTRY,RI,,41.70011111111111,71.59422222222221,LP100,SPANISH,PLAY FM 95.1,ARSAN BROADCASTING FOUNDATION,0.1,-62.0,,,,,,,,193137.0
FM,WNPW,89.5,WESTERLY,RI,,41.373472222222226,71.72602777777777,A,NEWS/TALK,OCEAN STATE MEDIA,OCEAN STATE MEDIA GROUP,0.1,74.0,,,,,,,,768149.0
FM,WRIA-LP,104.7,NEWPORT,RI,,41.50361111111111,71.31194444444444,LP100,,,,0.025,43.0,,,,,,,,787748.0
FM,W224DG,92.7,WARWICK,RI,,41.808277777777775,71.47163888888889,D,RELIGIOUS TEACHING,LIFE CHANGING RADIO 1590 AM - 92.7 FM,"BLOUNT COMMUNICATIONS, INC.",0.25,,PROVIDENCE-WARWICK-PAWTUCKET,44.0,"1,469,100",,,,,140739.0
FM,W229AN,93.7,PROVIDENCE,RI,,41.82747222222223,71.36866666666666,D,CLASSIC HIP-HOP,THE JUICE 93.7,,0.04,,PROVIDENCE-WARWICK-PAWTUCKET,44.0,"1,469,100",,,,,156667.0
FM,W235CN,94.9,PROVIDENCE,RI,,41.82777777777778,71.36861111111111,D,TROPICAL,LA MEGA 94.9,RADIO SHARON FOUNDATION,0.25,,PROVIDENCE-WARWICK-PAWTUCKET,44.0,"1,469,100",,,,,41191.0
FM,W243AI,96.5,NEWPORT,RI,,41.49758333333333,71.30641666666666,D,ADULT ALTERNATIVE,MVY RADIO,DAVID P. MAXSON,0.055,56.0,PROVIDENCE-WARWICK-PAWTUCKET,44.0,"1,469,100",,,,,77591.0
FM,W258DU,99.5,WOONSOCKET,RI,,41.99538888888889,71.50505555555556,D,VARIETY,O-N AM & FM,"O-N RADIO, INC.",0.15,,PROVIDENCE-WARWICK-PAWTUCKET,44.0,"1,469,100",,,,,201051.0
FM,W260DC,99.9,WOONSOCKET,RI,,41.997305555555556,71.45505555555556,D,NEWS/TALK/SPORTS,NEWSTALK 1380,"BOUCHARD BROADCASTING, INC.",0.25,,PROVIDENCE-WARWICK-PAWTUCKET,44.0,"1,469,100",,,,,26352.0
FM,W266DI,101.1,NEWPORT,RI,,41.50372222222222,71.312,D,NEWS/TALK,NEWSTALK 1540,"ISLAND BROADCASTING OF RI, LLC",0.25,,PROVIDENCE-WARWICK-PAWTUCKET,44.0,"1,469,100",,,,,200512.0
