band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W209CT,89.7,MYRTLE BEACH,SC,HORRY,33.72152777777778,78.89527777777778,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.027,92.0,,,,,,,,12407.0
FM,W213CF,90.5,CONWAY,SC,HORRY,33.85377777777778,79.02025,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.027,30.2,,,,,,,,12403.0
FM,W225DN,92.9,WEST VIEW,SC,SPARTANBURG,34.98122222222222,81.98611111111111,D,CONTEMPORARY CHRISTIAN,HIS RADIO,TOWER ABOVE MEDIA LLC,0.25,35.1,,,,,,,,142981.0
FM,W269DU,101.7,COLUMBIA,SC,RICHLAND,34.151111111111106,80.91000000000001,D,RELIGIOUS TEACHING,WBAJ RADIO 890 AM,FAMILY FIRST,0.25,,,,,,,,,146223.0
FM,W253DJ,98.5,UNION,SC,UNION,34.759,81.63591666666667,D,COUNTRY,UNION COUNTY'S RADIO STATION,"WBCU RADIO, LLC",0.25,83.1,,,,,,,,155823.0
FM,WAGS-LP,99.7,LAURENS,SC,LAURENS,34.516666666666666,82.00222222222222,LP100,,,,0.1,30.0,,,,,,,,778361.0
FM,WBRQ-LP,101.5,SPARTANBURG,SC,SPARTANBURG,35.002877777777776,82.02893055555556,LP100,,,,0.036,49.0,,,,,,,,785731.0
FM,WKSX,95.5,EDGEFIELD,SC,EDGEFIELD,33.792027777777776,81.96530555555556,A,,,"GLORY COMMUNICATIONS, INC.",4.4,116.0,,,,,,,,762536.0
FM,WLFJ,89.3,GREENVILLE,SC,GREENVILLE,34.940666666666665,82.41205555555557,C1,CONTEMPORARY CHRISTIAN,"THE JOY, LOVE AND FAITH RADIO","RADIO TRAINING NETWORK, INC.",41.0,335.0,,,,,,,,54856.0
FM,WLTS,103.3,GREER,SC,SPARTANBURG,34.998444444444445,82.1378888888889,A,SOFT CHRISTIAN CONTEMPORARY,AIR1,"K-LOVE, INC.",2.7,151.0,,,,,,,,73241.0
FM,WMXG,99.3,CHESTER,SC,CHESTER,34.791805555555555,81.26813888888888,C3,HOT AC,MIX 100.9,"RADIO ONE OF NORTH CAROLINA, LLC",7.7,182.2,,,,,,,,10764.0
FM,WRHG-LP,102.9,CHARLESTON,SC,CHARLESTON,32.843583333333335,80.01905555555555,LP100,RELIGIOUS TEACHING,ETERNAL WORD TV NETWORK,HOME GROWN RADIO,0.092,31.0,,,,,,,,194428.0
FM,WRTH-LP,101.5,GREENVILLE,SC,GREENVILLE,34.85202777777778,82.32238888888888,LP100,CLASSIC HITS,KOOL-FM,"QUALITY RADIO PARTNERS, INC",0.025,59.0,,,,,,,,192101.0
FM,WVFF-LP,97.7,COTTAGEVILLE,SC,DORCHESTER,32.95777777777778,80.44972222222222,LP100,VARIETY,,,0.033,52.0,,,,,,,,788205.0
FM,W201CH,88.1,SOUTH CHARLESTON,SC,CHARLESTON,32.81805555555556,79.83527777777778,D,CHRISTIAN CHR + ROCK,EFFECT RADIO,"CSN INTERNATIONAL, INC.",0.01,135.3,"CHARLESTON, SC",76.0,"707,400",,,,,92801.0
FM,W202CG,88.3,CLINTON,SC,LAURENS,34.52708333333333,81.89733333333334,D,RELIGIOUS TEACHING,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.027,62.9,,,,,,,,94256.0
FM,W203BQ,88.5,WALTERBORO,SC,COLLETON,32.89677777777778,80.67330555555556,D,CONTEMPORARY CHRISTIAN,HIS RADIO,"RADIO TRAINING NETWORK, INC.",0.03,28.0,,,,,,,,154665.0
FM,W204AL,88.7,KINGSTREE,SC,WILLIAMSBURG,33.709611111111116,79.80841666666666,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.013,,,,,,,,,12405.0
FM,W204BQ,88.7,ANDREWS,SC,WILLIAMSBURG,33.483222222222224,79.592,D,RELIGIOUS TEACHING,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.055,31.0,,,,,,,,106455.0
FM,W204BR,88.7,MANNING,SC,CLARENDON,33.657666666666664,80.30897222222222,D,RELIGIOUS TEACHING,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.05,44.0,,,,,,,,106568.0
FM,W205CU,88.9,CLEMSON,SC,PICKENS,34.832750000000004,82.80375,D,CONTEMPORARY CHRISTIAN,THE LIGHT FM,BLUE RIDGE BROADCASTING CORPORATION,0.25,,GREENVILLE-SPARTANBURG,59.0,"1,018,300",,,,,147255.0
FM,W206AR,89.1,FLORENCE,SC,FLORENCE,34.14405555555555,79.83422222222222,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.08,49.0,FLORENCE,215.0,"170,400",,,,,82785.0
FM,W206BY,89.1,SUMTER,SC,SUMTER,33.94905555555555,80.39258333333333,D,URBAN GOSPEL,REACH RADIO GOSPEL,"PRIORITY RADIO, INC.",0.013,,,,,,,,,92612.0
FM,W207BQ,89.3,COLUMBIA,SC,RICHLAND,34.151111111111106,80.91000000000001,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,49.2,"COLUMBIA, SC",90.0,"617,300",,,,,91844.0
FM,W209CM,89.7,SIMPSONVILLE,SC,GREENVILLE,34.94094444444444,82.41122222222222,D,CONTEMPORARY CHRISTIAN,HIS RADIO,"RADIO TRAINING NETWORK, INC.",0.21,340.3,GREENVILLE-SPARTANBURG,59.0,"1,018,300",,,,,121232.0
FM,W211BV,90.1,LEXINGTON,SC,LEXINGTON,33.89972222222222,81.22472222222223,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,101.1,"COLUMBIA, SC",90.0,"617,300",,,,,141234.0
FM,W212CN,90.3,CHARLESTON,SC,CHARLESTON,32.81805555555556,79.83527777777778,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,,"CHARLESTON, SC",76.0,"707,400",,,,,89524.0
FM,W214CE,90.7,GREENVILLE,SC,GREENVILLE,34.92813888888889,82.29480555555556,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.019,,GREENVILLE-SPARTANBURG,59.0,"1,018,300",,,,,91287.0
FM,W215CK,90.9,WINNSBORO,SC,FAIRFIELD,34.310138888888886,81.03202777777777,D,RELIGIOUS TEACHING,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.01,,,,,,,,,106546.0
FM,W216BJ,91.1,WANDO,SC,CHARLESTON,32.816944444444445,79.836,D,CONTEMPORARY CHRISTIAN,HIS RADIO Z,"RADIO TRAINING NETWORK, INC.",0.099,121.3,"CHARLESTON, SC",76.0,"707,400",,,,,91735.0
FM,W218BX,91.5,BLUFFTON,SC,BEAUFORT,32.22686111111111,80.84788888888889,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.013,,,,,,,,,89261.0
FM,W219CY,91.7,IRMO,SC,RICHLAND,34.11858333333333,80.93686111111111,D,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",0.25,,"COLUMBIA, SC",90.0,"617,300",,,,,76023.0
FM,W220CN,91.9,CHARLESTON,SC,CHARLESTON,32.816944444444445,79.836,D,CONTEMPORARY CHRISTIAN,HIS RADIO PRAISE,"RADIO TRAINING NETWORK, INC.",0.05,172.5,"CHARLESTON, SC",76.0,"707,400",,,,,91737.0
FM,W221CI,92.1,GOOSE CREEK,SC,BERKELEY,32.92861111111111,80.10333333333332,D,CLASSIC HIP-HOP,OLD SKOOL 92.1,"KIRKMAN BROADCASTING, INC.",0.25,,"CHARLESTON, SC",76.0,"707,400",,,,,91551.0
FM,W221EK,92.1,GREENVILLE,SC,HENDERSON,35.24272222222222,82.43563888888889,D,CONTEMPORARY HIT RADIO,LA JEFA 94.9 FM - 1070 AM,"REDEMPTION STRATEGIES BROADCASTING, LLC",0.25,,,,,,,,,203048.0
FM,W221EO,92.1,YORK,SC,YORK,34.997083333333336,81.25230555555555,D,OLDIES,CLASSIC OLDIES,"RICHBURG EDUCATIONAL BROADCASTERS, INC.",0.013,,CHARLOTTE-GASTONIA-ROCK HILL,23.0,"2,434,200",,,,,92500.0
FM,W222BH,92.3,SUMTER,SC,SUMTER,33.91461111111111,80.29397222222222,D,R&B OLDIES,OLD SKOOL 93.3,"COMMUNITY BROADCASTERS, LLC",0.25,169.7,,,,,,,,141978.0
FM,W222CV,92.3,ROCK HILL,SC,YORK,34.909305555555555,81.00230555555555,D,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.055,,CHARLOTTE-GASTONIA-ROCK HILL,23.0,"2,434,200",,,,,147790.0
FM,W223BG,92.5,LUGOFF,SC,KERSHAW,34.170138888888886,80.70786111111111,D,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.027,67.1,,,,,,,,84553.0
FM,W224DQ,92.7,SUMTER,SC,SUMTER,33.92777777777778,80.32413888888888,D,RELIGIOUS TEACHING,WE SHALL SERVE CHRIST,SUMTER BAPTIST TEMPLE,0.25,,,,,,,,,200835.0
FM,W225AJ,92.9,SANDY,SC,CHARLESTON,32.86544444444445,80.08841666666666,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.08,,"CHARLESTON, SC",76.0,"707,400",,,,,138636.0
FM,W225AZ,92.9,GREENVILLE,SC,GREENVILLE,34.94094444444444,82.41122222222222,D,RELIGIOUS TEACHING,RADIO VIDA,TOWER ABOVE MEDIA LLC,0.25,353.3,GREENVILLE-SPARTANBURG,59.0,"1,018,300",,,,,156233.0
FM,W225DB,92.9,ORANGEBURG,SC,ORANGEBURG,33.49872222222222,80.84241666666667,D,SPORTS,ESPN ORANGEBURG,SOUTH CAROLINA STATE UNIVERSITY,0.25,,,,,,,,,201535.0
FM,W227BI,93.3,SUMTER,SC,SUMTER,33.94905555555555,80.39258333333333,D,R&B OLDIES,OLD SKOOL 93.3,"COMMUNITY BROADCASTERS, LLC",0.085,137.3,,,,,,,,141121.0
FM,W227BK,93.3,SURFSIDE BEACH,SC,HORRY,33.57961111111111,79.01558333333334,D,CONTEMPORARY CHRISTIAN,HIS RADIO,"RADIO TRAINING NETWORK, INC.",0.027,10.9,MYRTLE BEACH,129.0,"388,000",,,,,156477.0
FM,W230AS,93.9,CHERAW,SC,CHESTERFIELD,34.680138888888884,79.89922222222224,D,CLASSIC HITS,MY FM 93.9,"PEE DEE BROADCASTING, LLC",0.25,61.0,,,,,,,,138752.0
FM,W231BA,94.1,SPARTANBURG,SC,SPARTANBURG,34.998444444444445,82.1378888888889,D,URBAN AC,"107.3 JAMZ, TODAY'S R&B",TOWER ABOVE MEDIA LLC,0.25,138.9,GREENVILLE-SPARTANBURG,59.0,"1,018,300",,,,,156208.0
FM,W231BX,94.1,SENECA,SC,OCONEE,34.68761111111111,82.98680555555556,D,COUNTRY,THE GOLDEN CORNER'S RADIO STATION,"TUGART PROPERTIES, LLC",0.25,,,,,,,,,155761.0
FM,W232AX,94.3,ROCK HILL,SC,YORK,34.92375,81.02005555555556,D,COUNTRY,INTERSTATE 107,"OUR THREE SONS BROADCASTING, LLP",0.054,64.9,CHARLOTTE-GASTONIA-ROCK HILL,23.0,"2,434,200",Panthers,,,,50778.0
FM,W233AW,94.5,BEAUFORT,SC,BEAUFORT,32.40086111111111,80.7395,D,GOSPEL MUSIC,PRAISE 94.5,MOUNT CARMEL BAPTIST CHURCH,0.25,107.1,,,,,,,,146391.0
FM,W234CV,94.7,CHARLESTON,SC,CHARLESTON,32.82044444444445,79.94883333333334,D,SPORTS,THE ZONE,"KIRKMAN BROADCASTING, INC.",0.099,,"CHARLESTON, SC",76.0,"707,400",,,,Braves,152922.0
FM,W235BM,94.9,MAULDIN,SC,GREENVILLE,34.94094444444444,82.41122222222222,D,CONTEMPORARY HIT RADIO,LA JEFA 94.9 FM - 1070 AM,,0.25,,GREENVILLE-SPARTANBURG,59.0,"1,018,300",,,,,144201.0
