band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K201JA,88.1,HURON,SD,BEADLE,44.34238888888889,98.24419444444445,D,,,EDUCATIONAL MEDIA FOUNDATION,0.25,,,,,,,,,93602.0
FM,K211GE,90.1,MITCHELL,SD,DAVISON,43.700722222222225,97.93602777777778,D,RELIGIOUS TEACHING,THE SONLIFE RADIO NETWORK,"FAMILY WORSHIP CENTER CHURCH, INC.",0.25,74.1,,,,,,,,93575.0
FM,K217GQ,91.3,ABERDEEN,SD,BROWN,45.465833333333336,98.33583333333333,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.205,51.4,,,,,,,,92767.0
FM,K279DF,103.7,RAPID CITY,SD,PENNINGTON,44.06888888888889,103.25138888888888,D,ROCK,X-ROCK 101.1 & 103.7,"RIVERFRONT BROADCASTING, LLC",0.25,113.5,,,,,,,,17677.0
FM,K294DL,106.7,HOT SPRINGS,SD,FALL RIVER,43.44283333333333,103.45527777777778,D,CONTEMPORARY CHRISTIAN,107-1 KSLT,UNIVERSITY OF NORTHWESTERN-ST. PAUL,0.08,214.0,,,,,,,,29892.0
FM,K297CF,107.3,PIERRE,SD,STANLEY,44.37386111111111,100.40788888888888,D,CLASSIC HITS,THE EAGLE 100.1 FM/107.9 FM,JAMES RIVER BROADCASTING COMPANY,0.25,114.0,,,,,,,,149245.0
FM,KCVP,88.3,PIERRE,SD,STANLEY,44.31166666666666,100.35277777777776,C2,RELIGIOUS TEACHING,BOTT RADIO NETWORK,"COMMUNITY BROADCASTING, INC.",26.0,133.0,,,,,,,,767764.0
FM,KFCA,88.1,ABERDEEN,SD,BROWN,45.47225,98.50391666666668,A,RELIGIOUS,CHARITY CHRISTIAN RADIO,"AMERICAN CHRISTIAN RADIO, INC.",2.3,32.0,,,,,,,,768640.0
FM,KGGY,88.9,GREGORY,SD,GREGORY,43.38663888888889,99.41647222222224,C3,CONTEMPORARY CHRISTIAN,GOOD NEWS RADIO,,8.5,109.0,,,,,,,,767462.0
FM,KGRL,89.3,MILLER,SD,HAND,44.48277777777778,99.1863888888889,C3,CONTEMPORARY CHRISTIAN,GOOD NEWS RADIO,,3.8,153.0,,,,,,,,767459.0
FM,KHFJ-LP,94.5,HERMOSA,SD,PENNINGTON,43.85027777777778,103.1977777777778,LP100,RELIGIOUS TEACHING,RADIO 74 INTERNATIONALE,HERMOSA LIFE STYLE RADIO CORPORATION,0.1,-40.0,,,,,,,,779412.0
FM,KMZM,103.1,MADISON,SD,LAKE,43.985527777777776,97.12866666666666,C2,COUNTRY,JAMMIN' COUNTRY 103.1,"CHRISTENSEN BROADCAST GROUP, INC.",33.0,93.0,,,,,,,,39578.0
FM,KWSD,89.1,MITCHELL,SD,DAVISON,43.70441666666667,98.05083333333332,C3,NEWS/TALK/CLASSICAL,SOUTH DAKOTA PUBLIC BROADCASTING,,14.5,59.0,,,,,,,,762343.0
FM,K201AP,88.1,BELLE FOURCHE,SD,BUTTE,44.656638888888885,103.84741666666666,D,NEWS/TALK,SOUTH DAKOTA PUBLIC RADIO,SOUTH DAKOTA BOARD OF DIRECTORS FOR ED TELECOMMUNICATIONS,0.009,-11.0,,,,,,,,62384.0
FM,K201AQ,88.1,HOT SPRINGS,SD,FALL RIVER,43.44275,103.45797222222222,D,NEWS/TALK,SOUTH DAKOTA PUBLIC RADIO,SOUTH DAKOTA BOARD OF DIRECTORS FOR ED TELECOMMUNICATIONS,0.047,171.0,,,,,,,,62386.0
FM,K203BN,88.5,PRINGLE,SD,CUSTER,43.74525,103.481,D,NEWS/TALK,SOUTH DAKOTA PUBLIC RADIO,SOUTH DAKOTA BOARD OF DIRECTORS FOR ED TELECOMMUNICATIONS,0.047,407.0,,,,,,,,62403.0
FM,K204FB,88.7,RAPID CITY,SD,PENNINGTON,44.114444444444445,103.24380555555555,D,ETHNIC,KILI RADIO,"LAKOTA COMMUNICATIONS, INC.",0.034,,RAPID CITY-SPEARFISH,226.0,"147,600",,,,,122161.0
FM,K204GC,88.7,LEAD,SD,LAWRENCE,44.32719444444445,103.83547222222222,D,NEWS/TALK,SOUTH DAKOTA PUBLIC RADIO,SOUTH DAKOTA BOARD OF DIRECTORS FOR ED TELECOMMUNICATIONS,0.033,444.7,RAPID CITY-SPEARFISH,226.0,"147,600",,,,,62445.0
FM,K206EQ,89.1,BROOKINGS,SD,BROOKINGS,44.339444444444446,96.76888888888888,D,RELIGIOUS TEACHING,CHRISTIAN INFORMATION RADIO,"VCY AMERICA, INC.",0.25,41.0,,,,,,,,149588.0
