band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K201JB,88.1,DUMAS,TX,MOORE,35.92030555555555,101.96544444444444,D,RELIGIOUS TEACHING,RADIO BY GRACE,GRACE COMMUNITY CHURCH OF AMARILLO,0.14,,,,,,,,,154898.0
FM,K208GO,89.5,SAN ANTONIO,TX,BEXAR,29.615194444444445,98.57852777777778,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.05,158.6,,,,,,,,91767.0
FM,K206EV,89.1,HUNTSVILLE,TX,WALKER,30.70347222222222,95.476,D,RELIGIOUS TEACHING,REJOICE RADIO,"PENSACOLA CHRISTIAN COLLEGE, INC.",0.092,136.0,,,,,,,,121879.0
FM,K261FG,100.1,BIG SPRING,TX,HOWARD,32.221722222222226,101.45966666666666,D,CONTEMPORARY CHRISTIAN,K-LOVE,GRACE COMMUNITY CHURCH OF AMARILLO,0.25,,,,,,,,,92372.0
FM,K209GG,89.7,PARIS,TX,LAMAR,33.61944444444445,95.5475,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.092,148.7,,,,,,,,92772.0
FM,K212GN,90.3,VICTORIA,TX,VICTORIA,28.833055555555557,97.1147222222222,D,CONTEMPORARY CHRISTIAN,,ST. JUDE BROADCASTING,0.14,115.0,,,,,,,,91997.0
FM,K210FE,89.9,GOODRICH,TX,POLK,30.619747222222223,94.94610277777778,D,VARIETY,KEOS COMMUNITY RADIO,"PACIFICA FOUNDATION, INC.",0.18,31.4,,,,,,,,122880.0
FM,K217GR,91.3,NEW BRAUNFELS,TX,COMAL,29.730833333333333,98.12027777777776,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.25,24.2,,,,,,,,78621.0
FM,K212GT,90.3,DUMAS,TX,MOORE,35.83561111111111,101.97183333333334,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.14,73.8,,,,,,,,1608.0
FM,K211GK,90.1,GARDENDALE,TX,ECTOR,32.08638888888889,102.28666666666666,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.034,147.6,,,,,,,,88872.0
FM,K236DB,95.1,EL PASO,TX,EL PASO,31.815833333333337,106.48894444444444,D,CONTEMPORARY CHRISTIAN,K-LOVE,"ONE MINISTRIES, INC,",0.01,,,,,,,,,156979.0
FM,K237HG,95.3,CEDAR HILL,TX,DALLAS,32.59027777777778,96.97333333333331,D,RHYTHMIC CHR,97-9 THE BEAT,CENTRO CRISTIANO DE VIDA ETERNA,0.001,,,,,,,,,148350.0
FM,K252GH,98.3,ANGLETON,TX,BRAZORIA,29.366111111111113,95.38266666666668,D,CONTEMPORARY CHRISTIAN,RADIO CHRISTIANA,"DAIJ MEDIA, LLC",0.25,0.0,,,,,,,,91988.0
FM,K232GE,94.3,GEORGETOWN,TX,WILLIAMSON,30.59186111111111,97.67916666666667,D,TALK,AM 1010,KBBW LLC,0.057,,,,,,Mavericks,,,202369.0
FM,K270CY,101.9,AUSTIN,TX,TRAVIS,30.32327777777778,97.79986111111111,D,REGIONAL MEXICAN,PURO NORTENO,94.1 PARTNERSHIP,0.25,,,,,,,,,148525.0
FM,K277DX,103.3,RICHMOND,TX,FORT BEND,29.62327777777778,95.5522222222222,D,ETHNIC,RADIO ZINDAGI 102.5 FM,LESLIE BROADCASTING LLC,0.06,,,,,,,,,144558.0
FM,K273DQ,102.5,BIG SPRING,TX,MARTIN,32.02125,101.66522222222224,D,REGIONAL MEXICAN,LA CALIENTE,"PERMIAN BASIN BROADCASTING, LLC",0.205,124.1,,,,,,,,147288.0
FM,K287CN,105.3,HOUSTON,TX,MONTGOMERY,30.231666666666666,95.12416666666664,D,GOSPEL MUSIC,THE LEGENDARY KYOK,,0.25,,,,,,,,,150632.0
FM,K295DE,106.9,INGLESIDE,TX,NUECES,27.76975,97.44886111111111,D,COUNTRY,B 94.7 TALK & COUNTRY,GERALD BENAVIDES,0.11,,,,,,,,,147349.0
FM,K298DJ,107.5,AMARILLO,TX,POTTER,35.20741666666667,101.83863888888888,D,NEWS/TALK,HPPR CONNECT,"KANZA SOCIETY, INC.",0.099,157.0,,,,,,,,85706.0
FM,KABV,100.7,BEN BOLT,TX,JIM WELLS,27.65,98.12916666666666,C3,,,"CHRISTIAN MINISTRIES OF THE VALLEY, INC.",25.0,79.0,,,,,,,,762470.0
FM,KAGZ-LP,106.7,COLLEGE STATION,TX,BRAZOS,30.63,96.34277777777775,LP100,VARIETY,,TEXAS A&M UNIVERSITY - COLLEGE STATION,0.1,30.0,,,,,,,,788172.0
FM,KAXM,90.1,NACOGDOCHES,TX,NACOGDOCHES,31.629055555555556,94.67911111111113,C3,ROCK,THE AXE 90.1,STATE OF TEXAS-STEPHEN F. AUSTIN STATE UNIVERSITY,4.8,108.0,,,,,,,,63249.0
FM,KBWH,88.1,HOOKS,TX,BOWIE,33.504222222222225,94.2075,C2,,,"FAITH FAMILY MEDIA, INC.",27.5,133.0,,,,,,,,765846.0
FM,KBXP,91.3,BLOSSOM,TX,LAMAR,33.78461111111111,95.61416666666666,A,,,ALPHA CONSULTING CHRISTIAN EDUCATION,6.0,100.0,,,,,,,,766946.0
FM,KCBG,89.9,FULTON,TX,ARANSAS,28.16916666666667,96.99805555555557,C3,,,,8.3,32.0,,,,,,,,766446.0
FM,KCBI-FM,90.9,DALLAS,TX,DALLAS,32.589555555555556,96.96972222222225,C,CONTEMPORARY CHRISTIAN,90.9 KCBI,"FIRST DALLAS MEDIA, INC.",100.0,460.0,,,,,,,,14524.0
FM,KCCJ,88.1,DALHART,TX,DALLAM,36.10975,102.50905555555556,A,,,,0.25,16.0,,,,,,,,766779.0
