band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K201JD,88.1,PROVO,UT,UTAH,40.090500000000006,111.82213888888889,D,CHRISTIAN CHR + ROCK,EFFECT RADIO,CSN INTERNATIONAL,0.01,,,,,,,,,77062.0
FM,K216GZ,91.1,WELLSVILLE,UT,CACHE,41.61138888888889,111.9525,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.019,139.3,,,,,,,,93021.0
FM,K204GW,88.7,TOOELE,UT,TOOELE,40.65925,112.20291666666668,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,-137.5,,,,,,,,77061.0
FM,K207FL,89.3,PAYSON,UT,UTAH,40.08911111111112,111.82158333333334,D,CLASSICAL,CLASSICAL 89,BRIGHAM YOUNG UNIVERSITY,0.25,643.6,,,,,,,,6824.0
FM,K255DO,98.9,TREMONTON,UT,BOX ELDER,41.748333333333335,112.22777777777776,D,CLASSIC ROCK,CLASSIC ROCK,"SUN VALLEY RADIO, INC.",0.25,,,,,,,,,146395.0
FM,K237HH,95.3,LAKETOWN-GARDEN CITY,UT,RICH,41.882222222222225,111.27038888888887,D,CLASSIC HITS,94.1 KODJ,RICH COUNTY,0.25,330.0,,,,,,,,56108.0
FM,K238CE,95.5,PAYSON,UT,UTAH,40.08911111111112,111.82158333333334,D,RELIGIOUS TEACHING,"LIFE UNLOCKED, TRUTH UNLEASHED",BIBLICAL MINISTRIES WORLDWIDE,0.05,,,,,,,,,156665.0
FM,K259DF,99.7,LAKETOWN-GARDEN CITY,UT,RICH,41.882222222222225,111.27038888888887,D,CONTEMPORARY HIT RADIO,94.5 UTAH`S VFX,RICH COUNTY,0.25,333.0,,,,,,,,56111.0
FM,K274DI,102.7,CEDAR CITY,UT,IRON,37.841833333333334,112.97538888888889,D,CLASSIC ROCK,ZION 104.1,"CANYON MEDIA GROUP, LLC",0.25,,,,,,,,,145194.0
FM,K264DH,100.7,SAINT GEORGE,UT,WASHINGTON,37.06386111111111,113.573,D,NEWS/TALK,NPR UTAH,UNIVERSITY OF UTAH,0.25,1070.0,,,,,,,,69275.0
FM,K288HM,105.5,IVINS,UT,WASHINGTON,37.155249999999995,113.88327777777778,D,CLASSICAL,CLASSICAL 89,BRIGHAM YOUNG UNIVERSITY,0.01,1007.8,,,,,,,,141740.0
FM,K297CG,107.3,CEDAR CITY,UT,IRON,37.64525,113.37355555555555,D,TALK,TALKRADIO 107.7 FM/590 AM,"TOWNSQUARE LICENSE, LLC",0.25,,,,,,,,,145467.0
FM,KADD-FM6,93.5,ST GEORGE,UT,WASHINGTON,37.06363888888889,113.574,C,REGIONAL MEXICAN,LA MEJOR 93.5,,2.5,,,,,,,,,790675.0
FM,KADD-FM8,93.5,ST GEORGE,UT,WASHINGTON,37.084500000000006,113.60933333333332,D,REGIONAL MEXICAN,LA MEJOR 93.5,,2.5,,,,,,,,,791481.0
