band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W204CW,88.7,BURLINGTON,VT,CHITTENDEN,44.50944444444445,73.18263888888889,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.03,68.0,,,,,,,,21097.0
FM,WAVJ,103.3,WATERBURY,VT,CHITTENDEN,44.364472222222226,72.93094444444445,C3,ROCK,ROCK 103.3,"K-LOVE, INC.",2.85,284.0,,,,,,,,20592.0
FM,WHYD,88.9,HYDE PARK,VT,LAMOILLE,44.61277777777778,72.65694444444445,A,,,,0.4,-205.0,,,,,,,,764609.0
FM,WLUD-LP,93.3,LUDLOW,VT,WINDSOR,43.407555555555554,72.72441666666667,LP100,,,OKEMO VALLEY TV,0.1,22.0,,,,,,,,787551.0
FM,WMUD,101.5,BRANDON,VT,RUTLAND,43.65866666666667,73.10677777777778,A,AMERICANA,MUD RADIO,MUD RADIO LLC,0.35,398.0,,,,,,,,65961.0
FM,WNEK,89.3,DERBY CENTER,VT,ORLEANS,44.95527777777778,72.13083333333333,A,,,,0.15,-3.0,,,,,,,,767944.0
FM,WUKR-LP,104.1,NORTHFIELD,VT,WASHINGTON,44.151944444444446,72.65972222222223,LP100,RELIGIOUS TEACHING,EWTN,OUR LADY UNDOER OF KNOTS RADIO INC,0.1,-155.0,,,,,,,,787987.0
FM,W216CB,91.1,ASCUTNEY,VT,WINDSOR,43.4375,72.45166666666667,D,RELIGIOUS TEACHING,THE LIGHT 91.5,"CHRISTIAN MINISTRIES, INC.",0.01,612.5,LEBANON-HANOVER-WHITE RIVER JUNCTION,217.0,"162,400",,,,,89943.0
FM,W220AX,91.9,LUDLOW,VT,WINDSOR,43.36783333333334,72.68036111111111,D,RELIGIOUS TEACHING,THE LIGHT 91.5,"CHRISTIAN MINISTRIES, INC.",0.01,,LEBANON-HANOVER-WHITE RIVER JUNCTION,217.0,"162,400",,,,,11099.0
FM,W227AQ,93.3,BURLINGTON,VT,CHITTENDEN,44.49727777777778,73.21375,D,ADULT ALTERNATIVE,THE POINT,"MONTPELIER BROADCASTING, INC.",0.22,,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,145050.0
FM,W227CA,93.3,RUPERT,VT,BENNINGTON,43.281166666666664,73.17036111111112,D,NEWS/TALK,VERMONT PUBLIC RADIO,VERMONT PUBLIC CO.,0.01,129.0,,,,,,,,140093.0
FM,W227DF,93.3,MONTPELIER,VT,WASHINGTON,44.28033333333333,72.55788888888888,D,ROCK,ROCK 103.3,"GALLOWAY COMMUNICATIONS, INC.",0.25,,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,,139921.0
FM,W231BQ,94.1,MONTPELIER,VT,WASHINGTON,44.25613888888889,72.58447222222222,D,NEWS/TALK,VERMONT PUBLIC RADIO,VERMONT PUBLIC CO.,0.2,,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,,139908.0
FM,W232CG,94.3,BRATTLEBORO,VT,WINDHAM,42.82844444444445,72.5996111111111,D,NEWS/TALK,VERMONT PUBLIC RADIO,VERMONT PUBLIC CO.,0.15,,,,,,,,,139889.0
FM,W233BD,94.5,BURLINGTON,VT,CHITTENDEN,44.35813888888889,73.24669444444444,D,NEWS/TALK,VERMONT PUBLIC RADIO,VERMONT PUBLIC CO.,0.027,42.7,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,139944.0
FM,W233CC,94.5,WHITE RIVER JUNCTION,VT,WINDSOR,43.65463888888889,72.29441666666666,D,SPORTS,94 WEEI,"GREAT EASTERN RADIO, LLC",0.053,93.5,LEBANON-HANOVER-WHITE RIVER JUNCTION,217.0,"162,400",Patriots,,,Red Sox,56990.0
FM,W235BE,94.9,BURLINGTON,VT,CHITTENDEN,44.50116666666667,73.1858888888889,D,RELIGIOUS TEACHING,THE LIGHT 91.5,"CHRISTIAN MINISTRIES, INC.",0.25,,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,154167.0
FM,W242AG,96.3,QUECHEE,VT,WINDSOR,43.65425,72.35841666666666,D,RELIGIOUS TEACHING,THE LIGHT 91.5,"CHRISTIAN MINISTRIES, INC.",0.004,121.0,LEBANON-HANOVER-WHITE RIVER JUNCTION,217.0,"162,400",,,,,84028.0
FM,W242BK,96.3,COLCHESTER,VT,CHITTENDEN,44.506166666666665,73.14958333333334,D,NEWS/TALK,WVMT 96.3 FM/620 AM,"VOX AM/FM, LLC",0.025,32.8,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,140407.0
FM,W243AE,96.5,ORLEANS,VT,ORLEANS,44.76697222222222,72.14980555555556,D,RELIGIOUS TEACHING,THE LIGHT 91.5,"CHRISTIAN MINISTRIES, INC.",0.01,182.5,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,,11086.0
FM,W243AT,96.5,BARRE,VT,WASHINGTON,44.17838888888889,72.48841666666667,D,NEWS/TALK/SPORTS,WDEV AM 550 & FM 96.1,WDEV LLC,0.099,,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",Patriots,,,Red Sox,139875.0
FM,W243DT,96.5,WATERBURY,VT,WASHINGTON,44.46380555555556,72.74494444444444,D,NEWS/TALK,VERMONT PUBLIC RADIO,VERMONT PUBLIC CO.,0.25,,,,,,,,,139911.0
FM,W243EL,96.5,BENNINGTON,VT,BENNINGTON,42.90669444444444,73.21116666666667,D,TALK,WBTN 1370,"SHIRES MEDIA PARTNERSHIP, INC.",0.25,,,,,,,,,202924.0
FM,W246DT,97.1,COLCHESTER,VT,CHITTENDEN,44.50636111111111,73.1498888888889,D,SPORTS,THE GAME 97.1-105.9-960,"VOX AM/FM, LLC",0.09,,BURLINGTON-PLATTSBURGH,142.0,"344,900",Patriots,Celtics,Bruins,Red Sox,202406.0
FM,W250CZ,97.9,SOUTH BENNINGTON,VT,BENNINGTON,42.94811111111111,73.1756388888889,D,NEWS/TALK,VERMONT PUBLIC RADIO,VERMONT PUBLIC CO.,0.12,1.7,,,,,,,,140091.0
FM,W252CJ,98.3,BURLINGTON,VT,CHITTENDEN,44.49727777777778,73.21375,D,ROCK,ROCK 103.3,"RADIO BROADCASTING SERVICES,  INCORPORATED",0.22,54.2,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,155550.0
FM,W252CU,98.3,MONTPELIER,VT,WASHINGTON,44.2445,72.57647222222222,D,NEWS/TALK/SPORTS,WDEV AM 550 & FM 96.1,WDEV LLC,0.25,-1.3,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",Patriots,,,Red Sox,140228.0
FM,W256CW,99.1,RUTLAND,VT,RUTLAND,43.65866666666667,73.1065,D,UNKNOWN,,VERMONT PUBLIC CO.,0.18,380.0,,,,,,,,139970.0
FM,W258AW,99.5,MIDDLEBURY,VT,ADDISON,44.007,73.17733333333334,D,NEWS/TALK,VERMONT PUBLIC RADIO,VERMONT PUBLIC CO.,0.038,-16.5,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,139966.0
FM,W258AZ,99.5,NEWBURY,VT,GRAFTON,44.053666666666665,72.14036111111112,D,NEWS/TALK,VERMONT PUBLIC RADIO,VERMONT PUBLIC CO.,0.01,114.5,LEBANON-HANOVER-WHITE RIVER JUNCTION,217.0,"162,400",,,,,155335.0
FM,W258BZ,99.5,MONTPELIER,VT,WASHINGTON,44.25613888888889,72.58447222222222,D,NEWS/TALK,VERMONT PUBLIC RADIO,VERMONT PUBLIC CO.,0.2,,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,,139919.0
FM,W258DQ,99.5,BRATTLEBORO,VT,WINDHAM,42.88916666666667,72.6125,D,COUNTRY,COUNTRY 99.5,COMMUNITY MEDIA LLC,0.099,,,,,,,,,202741.0
FM,W261DE,100.1,RUTLAND,VT,RUTLAND,43.59122222222222,72.99083333333333,D,CLASSIC HITS,100.1 WSYB,"6 JOHNSON ROAD LICENSES, INC.",0.25,,,,,,,,Red Sox,141365.0
FM,W261DJ,100.1,RANDOLPH,VT,ORANGE,43.95327777777778,72.59908333333333,D,COUNTRY,RANDOLPH'S REAL COUNTRY 1320,"SUGAR RIVER MEDIA, LLC",0.25,,LEBANON-HANOVER-WHITE RIVER JUNCTION,217.0,"162,400",,Celtics,,Red Sox,153209.0
FM,W262AA,100.3,MONTPELIER,VT,WASHINGTON,44.28033333333333,72.55786111111111,D,ADULT ALTERNATIVE,THE POINT,MONTPELIER BROADCASTING INC,0.1,31.7,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,,43656.0
FM,W262CL,100.3,BRATTLEBORO,VT,WINDHAM,42.84644444444445,72.68758333333334,D,SOFT AC,EZ FAVORITES 100.3/107.5,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",0.25,,,,,,,,,140890.0
FM,W266AK,101.1,RUPERT,VT,BENNINGTON,43.281166666666664,73.17036111111112,D,NEWS/TALK,VERMONT PUBLIC RADIO,VERMONT PUBLIC CO.,0.01,129.0,,,,,,,,140100.0
FM,W266CU,101.1,MIDDLEBURY,VT,ADDISON,43.99927777777778,73.15916666666668,D,HOT AC,THE LIGHT 91.5,CHRISTIAN MINISTRIES INC.,0.08,,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,154466.0
FM,W270BR,101.9,ISLAND POND,VT,CALEDONIA,44.78391666666666,71.88675,D,NEWS/TALK/SPORTS,WDEV AM 550 & FM 96.1,VINCENT ILLUZZI & JOSEPH ILLUZZI,0.01,194.8,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",Patriots,,,Red Sox,155235.0
FM,W273AM,102.5,MONTPELIER,VT,WASHINGTON,44.2445,72.57647222222222,D,ADULT CONTEMPORARY,101 THE ONE,WCVT ACQUISITION LLC,0.25,,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,,140188.0
FM,W276DK,103.1,IRASBURG,VT,ORLEANS,44.81494444444444,72.23975,D,CLASSIC ROCK,THE NOTCH,GREEN MOUNTAIN BROADCASTERS LLC,0.25,,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,Red Sox,200721.0
FM,W281CC,104.1,ST. JOHNSBURY,VT,CALEDONIA,44.41061111111111,71.96980555555555,D,ADULT ALTERNATIVE,THE TRAIL 104.1,GREEN MOUNTAIN BROADCASTERS LLC,0.065,,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,Red Sox,200719.0
FM,W284AB,104.7,JAMAICA,VT,BENNINGTON,43.095888888888894,72.92063888888889,D,CLASSIC ROCK,100.7 AND 101.9 THE PEAK,"GREAT EASTERN RADIO, LLC",0.01,654.0,,,,,,,,57729.0
FM,W286DE,105.1,WELLS RIVER,VT,GRAFTON,44.11361111111111,71.98111111111112,D,RELIGIOUS TEACHING,THE RIVER OF LIFE,YANKEE KINGDOM MEDIA CORP,0.25,,LEBANON-HANOVER-WHITE RIVER JUNCTION,217.0,"162,400",,,,,200081.0
FM,W289CH,105.7,BARRE,VT,WASHINGTON,44.15838888888889,72.47897222222223,D,ADULT HITS,THE PENGUIN 97.9/105.7,"GREAT EASTERN RADIO, LLC",0.25,,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,,139449.0
FM,W293BH,106.5,SPRINGFIELD,VT,WINDSOR,43.31527777777777,72.46275,D,ADULT CONTEMPORARY,REWIND 106.5,"SUGAR RIVER MEDIA, LLC",0.25,,LEBANON-HANOVER-WHITE RIVER JUNCTION,217.0,"162,400",,,Bruins,Red Sox,155284.0
FM,W293BR,106.5,MONTPELIER,VT,WASHINGTON,44.12694444444445,72.47536111111111,D,RELIGIOUS TEACHING,THE LIGHT 91.5,"CHRISTIAN MINISTRIES, INC.",0.25,,LEBANON-HANOVER-WHITE RIVER JUNCTION,217.0,"162,400",,,,,154104.0
FM,W295AL,106.9,WOODSTOCK,VT,WINDSOR,43.63138888888889,72.51308333333333,D,CLASSICAL,VPR CLASSICAL,VERMONT PUBLIC CO.,0.1,,LEBANON-HANOVER-WHITE RIVER JUNCTION,217.0,"162,400",,,,,140067.0
FM,W295AU,106.9,MANCHESTER,VT,BENNINGTON,43.23675,73.02844444444445,D,CLASSICAL,VPR CLASSICAL,VERMONT PUBLIC CO.,0.051,135.5,,,,,,,,88164.0
FM,W298DD,107.5,BURLINGTON,VT,CHITTENDEN,44.507888888888886,73.1508888888889,D,NEWS/TALK,VERMONT PUBLIC RADIO,VERMONT PUBLIC,0.25,,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,139952.0
FM,WBTN-FM,94.3,BENNINGTON,VT,BENNINGTON,42.94811111111111,73.1756388888889,A,NEWS/TALK,VERMONT PUBLIC RADIO,VERMONT PUBLIC CO.,3.0,34.0,,,,,,,,9310.0
FM,WBTV-LP,99.3,BURLINGTON,VT,CHITTENDEN,44.45641666666667,73.21761111111111,LP100,VARIETY,,VERMONT COMMUNITY ACCESS MEDIA (VCAM),0.1,-14.1,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,192571.0
FM,WCKJ,90.5,ST. JOHNSBURY,VT,CALEDONIA,44.41116666666667,71.96980555555555,C3,RELIGIOUS TEACHING/CONTEMPORARY CHRISTIAN,THE LIGHT 91.5,"CHRISTIAN MINISTRIES, INC.",1.0,225.0,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,,76054.0
FM,WCMD-FM,89.9,BARRE,VT,WASHINGTON,44.12694444444445,72.47536111111111,A,RELIGIOUS TEACHING,THE LIGHT 91.5,"CHRISTIAN MINISTRIES, INC.",1.5,172.0,LEBANON-HANOVER-WHITE RIVER JUNCTION,217.0,"162,400",,,,,11085.0
FM,WCMK,91.9,PUTNEY,VT,WINDHAM,42.9745,72.60286111111111,A,RELIGIOUS TEACHING,THE LIGHT 91.5,"CHRISTIAN MINISTRIES, INC.",0.08,231.0,,,,,,,,88180.0
FM,WCVT,101.7,STOWE,VT,LAMOILLE,44.52558333333333,72.81455555555556,C2,CLASSIC HITS,CLASSIC HITS VERMONT,WCVT ACQUISITION LLC,1.0,811.0,,,,,,,,58564.0
FM,WDEV-FM,96.1,WARREN,VT,ADDISON,44.127,72.92816666666667,C3,NEWS/TALK/SPORTS,WDEV AM 550 & FM 96.1,WDEV LLC,0.4,694.0,BURLINGTON-PLATTSBURGH,142.0,"344,900",Patriots,,,Red Sox,54867.0
FM,WDKM,92.5,POULTNEY,VT,RUTLAND,43.51727777777778,73.23675,A,CLASSIC HITS,GREATEST HITS OF ALL TIME,"NORTHWAY BROADCASTING, LLC",0.1,-76.0,,,,,,,,190453.0
FM,WDOT,95.7,DANVILLE,VT,CALEDONIA,44.41616666666666,72.05841666666666,A,ADULT ALTERNATIVE,THE POINT,MONTPELIER BROADCASTING INC,3.8,75.0,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,,4001.0
FM,WDVT,94.5,RUTLAND,VT,RUTLAND,43.56783333333334,73.00844444444445,A,CLASSIC ROCK,ROCK 94.5,"6 JOHNSON ROAD LICENSES, INC.",6.0,98.0,,,,Patriots,,,,14719.0
FM,WEQX,102.7,MANCHESTER,VT,BENNINGTON,43.16616666666666,73.11591666666666,B,ROCK,THE REAL ALTERNATIVE,"NORTHSHIRE COMMUNICATIONS, INC",1.25,759.0,,,,,,,,49706.0
FM,WEVT-LP,98.1,ENOSBURG FALLS,VT,FRANKLIN,44.91086111111111,72.80316666666667,LP100,VARIETY,,SPAVIN CURE HISTORICAL GROUP,0.1,13.22023,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,135390.0
FM,WEZF,92.9,BURLINGTON,VT,LAMOILLE,44.52558333333333,72.81566666666666,C,HOT AC,STAR 92.9,"VOX AM/FM, LLC",46.0,828.0,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,35232.0
FM,WFTF,90.9,RUTLAND,VT,RUTLAND,43.63916666666667,72.83638888888889,A,CONTEMPORARY CHRISTIAN,AIR1,"CHRISTIAN MINISTRIES, INC.",0.055,680.0,,,,,,,,11095.0
FM,WFVR-LP,96.5,SOUTH ROYALTON,VT,ORANGE,43.81644444444444,72.5231388888889,LP100,VARIETY,,,0.1,-56.663254,LEBANON-HANOVER-WHITE RIVER JUNCTION,217.0,"162,400",,,,,191628.0
FM,WGDH,91.7,HARDWICK,VT,CALEDONIA,44.58030555555556,72.45341666666667,A,VARIETY,COMMUNITY RADIO FROM GODDARD COLLEGE,CENTRAL VERMONT COMMUNITY RADIO CORPORATION,1.1,40.0,,,,,,,,173961.0
FM,WGDR,91.1,PLAINFIELD,VT,WASHINGTON,44.24155555555556,72.42716666666666,A,VARIETY,COMMUNITY RADIO FROM GODDARD COLLEGE,CENTRAL VERMONT COMMUNITY RADIO,0.046,104.0,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,,24438.0
FM,WGLG,89.9,SWANTON,VT,FRANKLIN,44.91725,73.12372222222221,A,RELIGIOUS TEACHING,THE LIGHT 91.5,"CHRISTIAN MINISTRIES, INC.",0.225,-5.0,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,172444.0
FM,WGLV,91.7,WOODSTOCK,VT,RUTLAND,43.6395,72.83619444444444,A,RELIGIOUS TEACHING/CONTEMPORARY CHRISTIAN,THE LIGHT 91.5,"CHRISTIAN MINISTRIES, INC.",0.1,694.0,,,,,,,,82833.0
FM,WGLY-FM,91.5,BOLTON,VT,CHITTENDEN,44.36475,72.93066666666667,C3,RELIGIOUS TEACHING,THE LIGHT 91.5,"CHRISTIAN MINISTRIES, INC.",1.0,285.0,BURLINGTON-PLATTSBURGH,142.0,"344,900",,,,,11084.0
FM,WGMT,97.7,LYNDON,VT,CALEDONIA,44.570861111111114,71.89397222222223,C3,ADULT CONTEMPORARY,MAGIC 97.7,GREEN MOUNTAIN BROADCASTERS LLC,0.6,574.0,MONTPELIER-BARRE-SAINT JOHNSBURY,242.0,"110,200",,,,,69938.0
FM,WHDQ-FM1,106.1,RUTLAND,VT,RUTLAND,43.6395,72.83619444444444,D,CLASSIC ROCK,Q-106,"GREAT EASTERN RADIO, LLC",0.013,688.0,,,,,,,,76669.0
