band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K202EV,88.3,FORKS,WA,,48.00533333333333,124.41463888888889,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.023,221.0,,,,,,,,92132.0
FM,K215FY,90.9,MOUNT VERNON,WA,,48.483333333333334,122.32472222222222,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.115,,,,,,,,,86755.0
FM,K203FS,88.5,PORT ANGELES,WA,,48.11069444444445,123.51355555555556,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.205,-143.9,,,,,,,,91288.0
FM,K203FX,88.5,ABERDEEN,WA,,46.933,123.73372222222223,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.115,,,,,,,,,77003.0
FM,K211GJ,90.1,CHINOOK,WA,,46.28638888888889,123.89744444444445,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.0155,,,,,,,,,92352.0
FM,K205GM,88.9,GRANITE FALLS/EVERETT,WA,,47.95363888888889,121.92286111111112,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.023,367.5,,,,,,,,92481.0
FM,K219MN,91.7,CHEHALIS,WA,,46.55416666666667,123.05833333333334,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.0155,,,,,,,,,91974.0
FM,K217GS,91.3,KAMILCHE,WA,,47.13869444444445,123.14097222222223,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.019,,,,,,,,,92815.0
FM,K225DI,92.9,TACOMA,WA,,47.24786111111111,122.45622222222222,D,VARIETY,,NORTHWEST ROCK N ROLL PRESERVATION SOCIETY,0.06,,,,,,,,,146771.0
FM,K230CL,93.9,PROSSER,WA,,46.186499999999995,119.75472222222223,D,SPANISH RELIGIOUS,LA ESTACION DE LA FAMILA,IGLESIA PENTECOSTAL VISPERA DEL FIN,0.175,,,,,,,,,200284.0
FM,K245DL,96.9,EVERETT,WA,,47.9295,122.24902777777778,D,COUNTRY,CLASSIC COUNTRY KKXA 1520 & FM 101.1,"CAAM PARTNERSHIP, LLC.",0.25,,,,,,,,,156877.0
FM,K240FI,95.9,SEQUIM,WA,,48.13536111111111,123.1635,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.25,,,,,,,,,93040.0
FM,K233DX,94.5,ORTING,WA,,47.047999999999995,122.144,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.011,272.8,,,,,,,,142691.0
FM,K277DY,103.3,GREENWATER,WA,,47.21888888888889,121.84305555555555,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,665.6,,,,,,,,91810.0
FM,K300EB,107.9,CENTRALIA,WA,,46.555305555555556,123.05827777777777,D,TALK,LEWIS COUNTY`S NEWS LEADER,"BICOASTAL MEDIA LICENSES IV, LLC",0.2,,,,,,,,,202510.0
FM,KAKP,101.3,PASCO,WA,,46.096250000000005,119.19444444444444,C3,CONTEMPORARY CHRISTIAN,AIR1,"K-LOVE, INC.",2.75,305.0,,,,,,,,71636.0
FM,KCHB,89.7,WINLOCK,WA,,46.55472222222222,123.0586111111111,A,,,CHEHALIS VALLEY EDUCATIONAL FOUNDATION,0.033,328.0,,,,,,,,764656.0
FM,KELL-LP,98.3,ELLENSBURG,WA,,46.99638888888889,120.54705555555556,LP100,VARIETY,ELLENBURG COMMUNITY RADIO,,0.1,-123.0,,,,,,,,785085.0
FM,KETN,90.1,EATONVILLE,WA,,46.83986111111111,122.25838888888889,A,,,CHEHALIS VALLEY EDUCATIONAL FOUNDATION,0.015,167.0,,,,,,,,762156.0
FM,KGCF,89.5,ABERDEEN,WA,,46.97516666666667,123.81691666666666,A,,,,2.1,-30.0,,,,,,,,768401.0
FM,KGLU,89.3,WISHRAM,WA,,45.681416666666664,120.90936111111111,A,RELIGIOUS TEACHING,LIFETALK RADIO,,0.057,545.0,,,,,,,,764327.0
FM,KGTC,88.3,OROVILLE,WA,,48.93486111111111,119.43672222222223,A,,,VALLEY CHRISTIAN FELLOWSHIP OF OROVILLE,0.5,-394.0,,,,,,,,768228.0
FM,KHOD,90.1,HOODSPORT,WA,,47.40991666666667,123.18677777777778,A,,,"CSN INTERNATIONAL, INC.",0.1,-43.0,,,,,,,,767430.0
FM,KHUC,91.7,WENATCHEE,WA,,47.39694444444444,120.27472222222222,A,,,UPPER COLUMBIA MISSION SOCIETY OF SEVENTH-DAY ADVENTISTS,0.73,-310.0,,,,,,,,766680.0
FM,KHUH-LP,104.9,SEATTLE,WA,,47.62294444444444,122.32969444444444,LP100,VARIETY,HOLLOW EARTH RADIO,HOLLOW EARTH RADIO,0.05,16.0,,,,,,,,195500.0
FM,KIXP-LP,102.3,EASTSOUND,WA,,48.696777777777775,122.90611111111112,LP100,,,,0.1,-29.0,,,,,,,,787989.0
FM,KLMN,106.5,RAYMOND,WA,,46.695277777777775,123.77277777777778,A,COUNTRY,TIMBER COUNTRY 94.7,"SEASOUND BROADCASTING, LLC",0.3,286.0,,,,,,,,198714.0
FM,KLSN,106.5,DISHMAN,WA,,47.69405555555555,117.33522222222221,A,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",2.25,161.0,,,,,,,,31495.0
FM,KOLX,90.9,WARDEN,WA,,47.011805555555554,118.92972222222222,A,RELIGIOUS TEACHING,CHRISTIAN FAMILY RADIO,,0.61,79.0,,,,,,,,768402.0
FM,KOPL,89.3,OMAK,WA,,48.44902777777777,119.30947222222223,C3,CONTEMPORARY CHRISTIAN,POSITIVE LIFE RADIO,,0.2,781.0,,,,,,,,762282.0
FM,KOSW-FM,88.9,OCEAN SHORES,WA,,47.00655555555556,124.16036111111111,A,VARIETY,SOUND OF THE SHORES,CITY OF OCEAN SHORES,0.95,31.0,,,,,,,,762146.0
FM,KPBY,88.9,COLVILLE,WA,,48.49016666666667,118.06608333333332,A,CLASSICAL,SPOKANE PUBLIC RADIO,SPOKANE PUBLIC RADIO,0.025,944.0,,,,,,,,764613.0
FM,KRSR-LP,92.9,ROSLYN,WA,,47.224222222222224,120.99075,LP100,,,SWIFTWATER FOUNDATION,0.1,-167.0,,,,,,,,782939.0
FM,KTFL,90.5,KETTLE FALLS,WA,,48.49016666666667,118.06608333333332,C2,NEWS/VARIETY,SPOKANE PUBLIC RADIO,SPOKANE PUBLIC RADIO,0.21,944.0,,,,,,,,764605.0
FM,KTNU-LP,94.7,TONASKET,WA,,48.70436111111111,119.43847222222223,LP100,RELIGIOUS TEACHING,,TONASKET ASSEMBLY OF GOD,0.1,-369.0,,,,,,,,788740.0
FM,KUIN,89.5,TAHOLAH,WA,,47.336444444444446,124.28425,A,,,OAKRIDGE COMMUNITY RADIO,0.1,9.0,,,,,,,,768636.0
FM,KUUG-FM,90.5,CENTERVILLE,WA,,45.707,121.09258333333332,C3,CLASSICAL/NEWS,NORTHWEST PUBLIC BROADCASTING,WASHINGTON STATE UNIVERSITY,0.85,513.0,,,,,,,,762679.0
FM,KVNW,92.9,NAPAVINE,WA,,46.543416666666666,123.01955555555556,C3,,,"PREMIER BROADCASTERS, INC.",4.0,256.0,,,,,,,,189494.0
FM,KVRJ,89.7,MCCLEARY,WA,,47.05094444444444,123.26825,A,,,COMMUNITY SUSTAINING FUND,0.1,-68.0,,,,,,,,768926.0
FM,KVRQ,89.3,CATHLAMET,WA,,46.46425,123.55294444444444,C3,,,CASCADE COMMUNITY RADIO,0.55,547.0,,,,,,,,766255.0
FM,KVRY,89.1,PACKWOOD,WA,,46.602222222222224,121.67583333333334,A,,,,0.1,-616.0,,,,,,,,766725.0
FM,KWDB,101.1,COUPEVILLE,WA,,48.31830555555556,122.66338888888889,C3,CLASSIC HITS,WHIDBEY RADIO 101,,6.2,99.0,,,,,,,,762400.0
FM,KXML,90.3,MOSES LAKE,WA,,47.087472222222225,119.25847222222222,A,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",3.5,38.0,,,,,,,,767423.0
FM,KZEG,104.9,SEQUIM,WA,,48.12591666666667,123.1171111111111,A,CLASSIC HITS,Z 104.9 KZQM,"RADIO PACIFIC, INC.",6.0,22.0,,,,,,,,191496.0
FM,K201DX,88.1,WALLA WALLA,WA,,45.993722222222225,118.18077777777778,D,CONTEMPORARY CHRISTIAN/RELIGIOUS TEACHING,RADIO NUEVA VIDA,EDUCATIONAL MEDIA FOUNDATION,0.01,342.0,,,,,,,,85377.0
FM,K201EN,88.1,EVERETT,WA,,47.95363888888889,121.92286111111112,D,CHRISTIAN CHR + ROCK,EFFECT RADIO,"CSN INTERNATIONAL, INC.",0.016,367.5,SEATTLE-TACOMA,11.0,"4,098,600",,,,,89734.0
FM,K203EN,88.5,ELLENSBURG,WA,,46.88733333333333,120.44255555555556,D,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",0.066,,,,,,,,,143119.0
FM,K203ER,88.5,CLARKSTON,WA,,46.41708333333333,116.97625000000001,D,CHRISTIAN CHR + ROCK,EFFECT RADIO,CSN INTERNATIONAL,0.063,-194.6,,,,,,,,143013.0
