band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K224FW,92.7,LA CROSSE,WI,,43.74786111111111,91.2985,D,CONTEMPORARY CHRISTIAN,YOUR GOOD NEWS STATION,"MAGNUM COMMUNICATIONS, INC.",0.25,162.0,,,,,,,,20571.0
FM,W203CC,88.5,ASHLAND,WI,,46.58980555555556,90.83702777777778,D,CONTEMPORARY CHRISTIAN,LIFE-FM 97.3,UNIVERSITY OF NORTHWESTERN-ST. PAUL,0.038,46.5,,,,,,,,49771.0
FM,W212CQ,90.3,MENOMONIE,WI,,44.86819444444445,92.075,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.01,,,,,,,,,77607.0
FM,W222DB,92.3,LADYSMITH,WI,,45.46366666666667,91.10355555555554,D,CONTEMPORARY CHRISTIAN,WHEM 91.3,"FOURTH DIMENSION, INC.",0.17,1.7,,,,,,,,154843.0
FM,W230DJ,93.9,CEDARBURG,WI,,43.29344444444444,87.98966666666666,D,CLASSIC ROCK,WE ROCK YOU,,0.25,,,,,,,,,147649.0
FM,W277EA,103.3,WATERTOWN,WI,,43.19575,88.75711111111112,D,CLASSIC ROCK,ROCK 96.1/101.1,,0.25,34.6,,,,,,,,152779.0
FM,W243ER,96.5,NEW HOLSTEIN,WI,,44.15833333333333,88.28416666666666,D,TALK,REAL NEWS AND GREAT CONVERSATION,"CIVIC MEDIA, INC.",0.25,,,,,,,,,201271.0
FM,W249EJ,97.7,TOMAHAWK,WI,,45.49058333333333,89.72630555555556,D,SPORTS,WJJQ 100.7 FM -  810 AM,ALBERT BROADCASTING II LLC,0.25,82.0,,,,,,,,140530.0
FM,W226CX,93.1,MANITOWOC,WI,,44.125277777777775,87.62805555555555,D,ADULT CONTEMPORARY,LAKE 98.1,,0.25,,,,,,,,,155590.0
FM,W279EN,103.7,PHELPS,WI,,46.06688888888889,89.07788888888888,D,RELIGIOUS TEACHING,WISCONSIN'S RADIO VOICE OF THE MASTER,"WRVM, INC.",0.027,83.9,,,,,,,,14545.0
FM,W298DK,107.5,AMERY,WI,,45.39702777777778,92.41997222222223,D,COUNTRY,ST. CROIX COUNTRY 95.7 FM,"CIVIC MEDIA, INC.",0.25,,,,,,,,,202401.0
FM,WAWA,91.1,COLUMBUS,WI,,43.37052777777778,89.05341666666666,A,,,,0.9,8.0,,,,,,,,768625.0
FM,WBWY,91.9,JANESVILLE,WI,,42.68444444444444,89.01983333333334,A,,,,0.3,-4.0,,,,,,,,768541.0
FM,WDNW,91.9,ASHLAND,WI,,46.58980555555556,90.83702777777778,A,,,UNIVERSITY OF NORTHWESTERN - ST. PAUL,4.5,103.0,,,,,,,,763947.0
FM,WEPP-FM,90.7,RICE LAKE,WI,,45.52111111111111,91.76611111111112,A,CLASSICAL/JAZZ,WPR MUSIC,STATE OF WISCONSIN EDUCATIONAL COMMUNICATIONS BOARD,1.0,112.0,,,,,,,,762161.0
FM,WEQC,103.9,CRANDON,WI,,45.57316666666667,88.88297222222222,C3,CONTEMPORARY CHRISTIAN,THE PRAYZ NETWORK,"THE SALVATION POEM FOUNDATION, INC.",13.5,135.0,,,,,,,,762365.0
FM,WEQM,91.5,MELROSE,WI,,44.22841666666667,90.71594444444445,C3,CONTEMPORARY CHRISTIAN/RELIGIOUS TEACHING,PRAYZ NETWORK,"THE SALVATION POEM FOUNDATION, INC.",6.5,87.0,,,,,,,,768954.0
FM,WEQR,100.9,TOMAHAWK,WI,,45.352111111111114,89.65361111111112,C3,CONTEMPORARY CHRISTIAN/RELIGIOUS TEACHING,PRAYZ NETWORK,"THE SALVATION POEM FOUNDATION, INC.",8.2,173.0,,,,,,,,762363.0
FM,WEQW,90.5,WESTFIELD,WI,,44.02022222222222,89.55869444444444,C3,CONTEMPORARY CHRISTIAN,PRAYZ NETWORK,,8.0,130.0,,,,,,,,767916.0
FM,WGIF,90.1,RICE LAKE,WI,,45.35055555555556,91.84716666666667,A,RELIGIOUS,,,6.0,68.0,,,,,,,,768237.0
FM,WIBD,92.7,KEWAUNEE,WI,,44.49722222222222,87.58675,A,REGIONAL MEXICAN,LA MAS GRANDE 92.7 - 96.9 - 98.9,"MAGNUM BROADCASTING, INC.",6.0,100.0,,,,,,,,26006.0
FM,WISL-LP,98.7,WASHINGTON ISLAND,WI,,45.36944444444445,86.92444444444445,LP100,VARIETY,,,0.062,38.0,,,,,,,,777966.0
FM,WLDF,92.9,LAC DU FLAMBEAU,WI,,45.970666666666666,89.8845,A,ADULT ALTERNATIVE,THE TOUCH,,6.0,67.0,,,,,,,,777026.0
FM,WLRO-LP,103.3,SAINT CLOUD,WI,,43.69416666666666,88.16777777777779,LP100,VARIETY,LONG LAKE RADIO,,0.1,3.0,,,,,,,,788506.0
FM,WLUM,102.1,MILWAUKEE,WI,,43.111666666666665,87.9306388888889,B,CONTEMPORARY CHRISTIAN,AIR1,"K-LOVE, INC.",8.8,257.0,,,,,,,,63595.0
FM,WLXR,96.1,TOMAH,WI,,44.0255,90.81622222222222,C2,CONTEMPORARY HIT RADIO,MIX 96.1 107.3,"MAGNUM RADIO, INC.",44.0,160.0,,,,,,,,39627.0
FM,WNFL,99.7,STURGEON BAY,WI,,44.635527777777774,87.62702777777777,C2,SPORTS,SPORTS TALK 1440 WNFL,MIDWEST COMMUNICATIONS  INC,46.0,156.0,,,,,Bucks,,,42090.0
FM,WOMT-FM,98.9,TWO RIVERS,WI,,43.98416666666667,87.7653611111111,A,ADULT CONTEMPORARY,,SEEHAFER BROADCASTING CORPORATION,6.0,89.4,,,,,Bucks,,Brewers,85300.0
FM,WPBO-LP,104.7,PLATTEVILLE,WI,,42.764094444444446,90.40545277777778,LP100,RELIGIOUS TEACHING,RELEVANT RADIO,,0.004,110.0,,,,,,,,788421.0
FM,WTHX,89.3,WHITEWATER,WI,,42.809527777777774,88.67494444444445,A,RELIGIOUS TEACHING,CATHOLIC SPIRIT RADIO,2820 COMMUNICATIONS INC,2.7,40.0,,,,,,,,764852.0
FM,WVCB-LP,97.7,ASHLAND,WI,,46.60777777777778,90.83694444444444,LP100,,,,0.1,28.0,,,,,,,,788366.0
FM,K208FO,89.5,PRAIRIE DU CHIEN,WI,,43.02663888888889,91.1751388888889,D,RELIGIOUS TEACHING,VCY AMERICA,"VCY AMERICA, INC.",0.205,19.6,,,,,,,,122213.0
FM,K222AG,92.3,LA CROSSE,WI,,43.757444444444445,91.289,D,TALK,LA CROSSE'S NEWS STATION,"FAMILY RADIO, INC.",0.25,,,,,,,,,77917.0
FM,K229BH,93.7,LA CROSSE,WI,,43.754694444444446,91.29652777777778,D,CONTEMPORARY CHRISTIAN,THE HEART OF WEST WISCONSIN,"WESTERN WISCONSIN'S INSPIRATIONAL BROADCASTER, INC.",0.041,195.0,,,,,,,,141273.0
FM,K244FM,96.7,LA CROSSE,WI,,43.80636111111111,91.36763888888888,D,SPORTS,WKTY SPORTSRADIO,"FAMILY RADIO, INC.",0.25,,,,,Packers,Bucks,,Brewers,63806.0
FM,K250AZ,97.9,LA CROSSE,WI,,43.74786111111111,91.2985,D,UNKNOWN,,"MAGNUM COMMUNICATIONS, INC.",0.25,236.3,,,,,,,,155068.0
FM,KDKE,102.5,SUPERIOR,WI,,46.78908333333333,92.11933333333333,C1,COUNTRY,102.5 DUKE FM,"MIDWEST COMMUNICATIONS, INC.",100.0,183.0,DULUTH-SUPERIOR,205.0,"182,100",,,,,71355.0
FM,KSPP,89.1,RHINELANDER,WI,,45.85480555555556,89.65172222222223,C3,RELIGIOUS TEACHING,NORTHWOODS CATHOLIC RADIO,NORTHWOODS CATHOLIC RADIO,18.0,,,,,,,,,171922.0
FM,KUWS,91.3,SUPERIOR,WI,,46.78908333333333,92.11433333333333,C1,CLASSICAL/JAZZ,WPR MUSIC,BOARD OF REGENTS OF THE UNIVERSITY OF WISCONSIN SYSTEM,83.0,197.0,DULUTH-SUPERIOR,205.0,"182,100",,,,,4289.0
FM,W203AV,88.5,NORTH FOND DU LAC,WI,,43.833555555555556,88.49433333333333,D,RELIGIOUS TEACHING,WISCONSIN'S RADIO VOICE OF THE MASTER,"WRVM, INC.",0.08,36.2,,,,,,,,89736.0
