band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W214CG,90.7,HARRISVILLE,WV,,39.204861111111114,81.04158333333334,D,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",0.019,91.2,,,,,,,,121800.0
FM,W237FP,95.3,MORGANTOWN,WV,,39.54563888888889,79.93255555555557,D,TALK,THE TORCH,"LHTC MEDIA OF WEST VIRGINIA, INC.",0.25,,,,,,,,,76086.0
FM,W257EX,99.3,HUNTINGTON,WV,,38.41972222222222,82.40166666666667,D,CONTEMPORARY CHRISTIAN,WALK FM,"POSITIVE ALTERNATIVE RADIO, INC.",0.065,,,,,,,,,201374.0
FM,WVGL,91.1,GLENVILLE,WV,,38.95666666666667,80.80166666666666,A,,,"ARAIZA REVIVAL MINISTRIES, INC.",6.0,8.0,,,,,,,,767019.0
FM,WVGW,91.5,ROCK CAVE,WV,,38.81183333333333,80.32580555555555,B1,,,,8.7,82.0,,,,,,,,768444.0
FM,WVTP,91.3,KERMIT,WV,,37.84277777777778,82.40055555555556,A,,,"FRIENDS OF WFGH, INC.",0.62,162.0,,,,,,,,765467.0
FM,WVUC-LP,107.1,BUCKHANNON,WV,,38.99,80.16861111111112,LP100,,,,0.1,23.0,,,,,,,,788099.0
FM,WXRP,90.5,MATEWAN,WV,,37.631750000000004,82.15872222222222,A,,,,0.1,120.0,,,,,,,,765897.0
FM,W203AE,88.5,ELKINS,WV,,38.87166666666667,79.92722222222223,D,NEWS/CLASSICAL,WEST VIRGINIA PUBLIC RADIO,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,0.01,364.0,,,,,,,,71686.0
FM,W205CG,88.9,CHARLESTON,WV,,38.37558333333333,81.65641666666667,D,CONTEMPORARY CHRISTIAN,AIR1,"K-LOVE, INC.",0.25,,"CHARLESTON, WV",197.0,"200,900",,,,,38916.0
FM,W208BR,89.5,WHEELIING,WV,,40.05683333333333,80.7145,D,RELIGIOUS TEACHING,REJOICE RADIO,"PENSACOLA CHRISTIAN COLLEGE, INC.",0.01,,WHEELING,239.0,"120,000",,,,,90545.0
FM,W209AX,89.7,FAIRMONT,WV,,39.52730555555556,80.15422222222223,D,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.006,139.0,MORGANTOWN-CLARKSBURG-FAIRMONT,174.0,"246,900",,,,,81605.0
FM,W209BH,89.7,BERNARDSTOWN,WV,,38.51036111111111,80.342,D,RELIGIOUS TEACHING,WINNING OTHERS TO JESUS,GRACE MISSIONARY BAPTIST CHURCH,0.01,218.0,,,,,,,,92135.0
FM,W218AT,91.5,UNION,WV,,37.63205555555555,80.56644444444444,D,NEWS/TALK/CLASSICAL,WEST VIRGINIA PUBLIC RADIO,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,0.017,387.0,,,,,,,,70646.0
FM,W220BK,91.9,LOGAN,WV,,37.855916666666666,81.97872222222223,D,NEWS/TALK/CLASSICAL,WEST VIRGINIA PUBLIC RADIO,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY,0.01,214.0,,,,,,,,81396.0
FM,W221DR,92.1,MORGANTOWN,WV,,39.607416666666666,79.98372222222223,D,COUNTRY,CLASSIC COUNTRY HITS 104.9,AJG CORPORATION,0.24,,MORGANTOWN-CLARKSBURG-FAIRMONT,174.0,"246,900",,,,,139879.0
FM,W221EF,92.1,SUTTON,WV,,38.36061111111111,80.64713888888889,D,CLASSIC HITS,Q92 CLASSIC TOP 40 HITS,"SUMMIT MEDIA BROADCASTING, LLC",0.25,,,,,,,,,200358.0
FM,W223DF,92.5,SUMMERSVILLE,WV,,38.36061111111111,80.64713888888889,D,CLASSIC HITS,Q92 CLASSIC TOP 40 HITS,"SUMMIT MEDIA, INC.",0.25,,,,,,,,,200388.0
FM,W224EE,92.7,CHARLESTON,WV,,38.357305555555556,81.66791666666667,D,SPORTS,95 THE SPORTS FOX,"BRISTOL BROADCASTING COMPANY, INC.",0.25,,"CHARLESTON, WV",197.0,"200,900",,,,,202928.0
FM,W225CW,92.9,PARKERSBURG,WV,,39.33825,81.49888888888889,D,SPORTS,ESPN 630AM 92.9FM,"JAWCO, INC.",0.25,,,,,Steelers,Cavaliers,,Guardians,200695.0
FM,W226BE,93.1,NEW MARTINSVILLE,WV,,39.652833333333334,80.91286111111111,D,CLASSIC HITS,AM 1330 & 93.1 WETZ,DAILEY CORPORATION,0.25,,,,,,,,Pirates,81841.0
FM,W227DU,93.3,WELCH,WV,,37.41694444444444,81.61583333333333,D,ADULT CONTEMPORARY,EZ98,"FIRST MEDIA SERVICES, LLC",0.13,,,,,,,,,200705.0
FM,W228CF,93.5,BECKLEY,WV,,37.75511111111111,81.2365,D,ADULT ALTERNATIVE,93.5 THE BUZZ,SOUTHERN COMMUNICATIONS CORPORATION,0.25,182.6,,,,,,,,143018.0
FM,W228DJ,93.5,RAVENSWOOD,WV,,38.81166666666666,81.72366666666667,D,TALK/SPORTS,THE VOICE OF THE MID-OHIO VALLEY,"VANDALIA MEDIA PARTNERS, LLC",0.25,,,,,Bengals,,,Reds,138266.0
FM,W228DU,93.5,BERKELEY SPRINGS,WV,,39.61675,78.21722222222222,D,TALK/SPORTS,THE PANHANDLE NEWS NETWORK,WEST VIRGINIA RADIO CORPORATION,0.1,,,,,,,,Orioles,199987.0
FM,W229CM,93.7,MARTINSBURG,WV,,39.46333333333334,77.98611111111111,D,NEWS/TALK/SPORTS,THE PANHANDLE NEWS NETWORK,WEST VIRGINIA RADIO CORPORATION,0.25,,,,,,,,Orioles,154324.0
FM,W229CY,93.7,RUPERT,WV,,37.99316666666667,80.68397222222222,D,COUNTRY,WYKM 1250/93.7 FM,SOUTHERN COMMUNICATIONS CORPORATION,0.21,,,,,,,,,200714.0
FM,W230AY,93.9,WESTOVER,WV,,39.67202777777778,79.95152777777778,D,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",0.085,,MORGANTOWN-CLARKSBURG-FAIRMONT,174.0,"246,900",,,,,140163.0
FM,W231BS,94.1,HUNTINGTON,WV,,38.41786111111111,82.44933333333334,D,SPORTS,ESPN 94.1,"KINDRED COMMUNICATIONS, INC.",0.25,18.2,HUNTINGTON-ASHLAND,169.0,"257,100",Bengals,,,Pirates,147849.0
FM,W231CY,94.1,POINT PLEASANT,WV,,38.846944444444446,82.13055555555555,D,TALK,THE EAGLE,"TOTAL MEDIA GROUP, INC.",0.25,,,,,,,,,140377.0
FM,W233CL,94.5,BLUEFIELD,WV,,37.258722222222225,81.17647222222223,D,COUNTRY,WILLIE RADIO 94.5,"FIRST MEDIA SERVICES, LLC",0.02,,,,,,,,,157227.0
FM,W234DC,94.7,PARKERSBURG,WV,,39.33822222222222,81.49888888888889,D,COUNTRY,WILLIE 1050/94.7,"SEVEN MOUNTAINS OF DE, LLC",0.25,,,,,,,,,200964.0
FM,W235BF,94.9,ST.  ALBANS,WV,,38.366527777777776,81.81819444444444,D,CLASSIC HITS,THE AXE,"K-LOVE, INC.",0.01,140.8,"CHARLESTON, WV",197.0,"200,900",,,,,140953.0
FM,W237AZ,95.3,CHARLESTON,WV,,38.357055555555554,81.60594444444443,D,COUNTRY,TODAY'S NEW COUNTRY 95-3 KAZ,WEST VIRGINIA RADIO CORPORATION,0.175,,"CHARLESTON, WV",197.0,"200,900",,,,Pirates,87134.0
FM,W237ER,95.3,HUNTINGTON,WV,,38.421388888888885,82.3963888888889,D,SOUTHERN GOSPEL,THE VOICE OF SOUTHERN GOSPEL,"BRISTOL BROADCASTING COMPANY, INC.",0.25,,HUNTINGTON-ASHLAND,169.0,"257,100",,,,,200426.0
FM,W239CH,95.7,CHARLESTON,WV,,38.357305555555556,81.66791666666667,D,TALK,CHARLESTON'S NEWSTALK,"BRISTOL BROADCASTING COMPANY, INC.",0.25,,"CHARLESTON, WV",197.0,"200,900",,,,,18869.0
FM,W239CM,95.7,MORGANTOWN,WV,,39.54563888888889,79.93255555555557,D,SPORTS,THE MOUNTAINEER TICKET,"LHTC MEDIA OF WEST VIRGINIA, INC.",0.25,,MORGANTOWN-CLARKSBURG-FAIRMONT,174.0,"246,900",,,,Pirates,140606.0
