band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,KUWO,90.1,RANCHESTER,WY,,44.623222222222225,107.11758333333333,A,,,UNIVERSITY OF WYOMING,0.185,361.0,,,,,,,,762730.0
FM,K205GM,88.9,BUFFALO,WY,,44.34663888888889,106.72511111111112,D,NEWS/CLASSICAL,YELLOWSTONE PUBLIC RADIO,MONTANA STATE UNIVERSITY - BILLINGS,0.125,-59.0,,,,,,,,55092.0
FM,K212GR,90.3,THERMOPOLIS,WY,,43.651805555555555,108.25258333333333,D,CONTEMPORARY CHRISTIAN,PILGRIM RADIO,"WESTERN INSPIRATIONAL BROADCASTERS, INC.",0.25,57.7,,,,,,,,71819.0
FM,K253CX,98.5,JACKSON,WY,,43.60913888888889,110.8295,D,VARIETY,,UNIVERSITY OF WYOMING,0.035,221.8,,,,,,,,158303.0
FM,K228GC,93.5,NEWCASTLE,WY,,43.8325,104.21944444444445,D,CONTEMPORARY CHRISTIAN,107-1 KSLT,UNIVERSITY OF NORTHWESTERN - ST. PAUL,0.25,-6.0,,,,,,,,5474.0
FM,K295DD,106.9,CHEYENNE,WY,,41.15958333333333,104.72216666666667,D,CLASSIC HITS,KYOY 92.3,"MOUNTAIN COMMUNITY TRANSLATORS, LLC",0.25,45.2,,,,,,,,157711.0
FM,KAPK,102.7,CORA,WY,,42.84408333333334,109.92375,C3,,,"WIND RIVER BROADCASTING, INC.",4.0,148.0,,,,,,,,199898.0
FM,KBHC,101.1,MEDICINE BOW,WY,,41.89736111111111,106.19930555555555,A,,,,0.1,-26.0,,,,,,,,762582.0
FM,KCHY,89.7,BUFFALO,WY,,44.34091666666667,106.81219444444444,A,,,"CEDAR COVE BROADCASTING, INC.",0.21,274.0,,,,,,,,768916.0
FM,KCYO,88.1,CHEYENNE,WY,,41.15958333333333,104.72216666666667,A,VARIETY,,"COMMUNITY BROADCASTING, INC.",3.5,64.0,,,,,,,,86624.0
FM,KDJY,88.7,DOUGLAS,WY,,42.85802777777778,105.23469444444444,C2,COUNTRY,K ROCKY,"CEDAR COVE BROADCASTING, INC.",26.0,101.0,,,,,,,,176144.0
FM,KEWY,89.5,FORT WASHAKIE,WY,,43.08741666666667,108.77205555555555,A,,,CENTRAL WYOMING COLLEGE,0.65,125.0,,,,,,,,768718.0
FM,KHMN,101.1,CODY,WY,,44.57022222222223,108.81983333333334,C2,ROCK,THE KROW 101.1,HEART MOUNTAIN BROADCASTING LLC,5.4,427.0,,,,,,,,165999.0
FM,KIML-FM,93.3,ANTELOPE VALLEY-CRES,WY,,44.243027777777776,105.53916666666666,C3,TALK,,"LEGEND COMMUNICATIONS OF WYOMING, LLC",13.5,136.2,,,,,,,,166061.0
FM,KJUW,88.9,PINEDALE,WY,,42.84436111111111,109.92402777777778,A,,,UNIVERSITY OF WYOMING,2.0,138.0,,,,,,,,762739.0
FM,KJWS,89.3,KEMMERER,WY,,41.83813888888889,110.50452777777778,A,ADULT ALTERNATIVE,WYOMING SOUNDS,UNIVERSITY OF WYOMING,0.32,261.0,,,,,,,,762743.0
FM,KKBE,89.5,WINCHESTER,WY,,44.06666666666667,107.86444444444444,C3,RELIGIOUS TEACHING,YOUR NETWORK OF PRAISE,,9.0,145.0,,,,,,,,767302.0
FM,KKUW,91.1,KEMMERER,WY,,41.83813888888889,110.50452777777778,C3,,,UNIVERSITY OF WYOMING,1.15,261.0,,,,,,,,762746.0
FM,KRAW-LP,97.9,RAWLINS,WY,,41.78919444444444,107.24547222222222,LP100,VARIETY,,,0.1,-44.0,,,,,,,,788236.0
FM,KRCK,107.5,ATLANTIC CITY,WY,,42.578361111111114,108.71308333333333,C3,,,"CEDAR COVE BROADCASTING, INC.",0.48,387.0,,,,,,,,762456.0
FM,KRKU,89.3,HILLSDALE,WY,,41.16694444444444,104.4475,A,UNKNOWN,,,0.42,38.0,,,,,,,,767299.0
FM,KRWY,90.1,LANDER,WY,,42.57833333333333,108.71333333333334,A,,,"HI-LINE RADIO FELLOWSHIP, INC.",0.24,393.0,,,,,,,,768283.0
FM,KTHE,88.7,THERMOPOLIS,WY,,43.437666666666665,107.99741666666667,C3,,,CENTRAL WYOMING COLLEGE,0.35,598.0,,,,,,,,768706.0
FM,KUYO-FM,106.5,WHEATLAND,WY,,42.043277777777774,104.69633333333334,C2,ADULT CONTEMPORARY,,"BOTT COMMUNICATIONS, INC.",12.0,204.0,,,,,,,,762455.0
FM,KWUW,90.5,DUBOIS,WY,,43.499722222222225,109.6888888888889,C2,,,UNIVERSITY OF WYOMING,3.2,393.0,,,,,,,,762696.0
FM,K201HM,88.1,LARAMIE,WY,,41.31083333333333,105.4538888888889,D,CONTEMPORARY CHRISTIAN,PILGRIM RADIO,"COMMUNITY BROADCASTING, INC.",0.023,-46.9,,,,,,,,12349.0
